Phase Band Mag Sigma
-9.00273926731992 B 15.7332300303 0.059
-8.01667801131527 B 15.5327023268 0.034
-5.0584942433013 B 15.0071527639 0.033
-4.05271176217253 B 14.9827005947 0.067
-3.07651111872993 B 14.9187107536 0.033
-2.10031047528733 B 14.9229295075 0.072
-1.13397044439961 B 14.9011096856 0.055
0.808570229930705 B 14.9057741029 0.064
1.77491026081125 B 14.8471939737 0.013
2.74125029169897 B 14.8873416417 0.011
7.75044147220434 B 15.177214803 0.045
8.70692089052283 B 15.2066147209 0.022
10.7382070778973 B 15.4916794077 0.027
14.6331490391128 B 15.9252111101 0.017
16.6052715511221 B 16.1132443336 0.022
18.5478122254525 B 16.3268062671 0.037
24.4543191489183 B 17.0006851727 0.046
35.3502960277726 B 17.6008909948 0.16
41.2074998884354 B 17.8780880744 0.075
43.1204587250867 B 17.9593692371 0.06
46.0885031056628 B 17.9565502764 0.039
49.0466868736767 B 18.0621455815 0.045
51.9851494165666 B 18.114555352 0.079
54.9433331845806 B 18.1006274438 0.061
62.8022413949388 B 18.1921247094 0.055
-11.3495650566156 V 15.6885274728 0.016
-10.3635038006109 V 15.5038607704 0.016
-7.40532003259697 V 15.0499274695 0.023
-6.39953755146821 V 15.0231545644 0.059
-5.42333690802561 V 14.9270952877 0.01
-4.44713626458301 V 14.8865267344 0.024
-3.48079623369529 V 14.8416428086 0.021
-1.53825555936497 V 14.7997178622 0.014
0.394424502403297 V 14.7395012309 0.012
6.36009510122716 V 14.9558827921 0.01
8.39138128860163 V 15.0693873036 0.025
12.2863232498171 V 15.371344621 0.017
14.2584457618265 V 15.4589859433 0.01
16.2009864361568 V 15.5452005229 0.015
22.1074933596227 V 15.808107015 0.025
33.003470238477 V 16.5839350086 0.082
38.8606740991398 V 16.8138305675 0.034
40.7736329357911 V 16.8526026862 0.033
43.7416773163671 V 16.9316652234 0.034
46.6998610843811 V 17.0491777354 0.031
49.6383236272709 V 17.2040763217 0.05
52.5965073952849 V 17.2414758957 0.071
60.4554156056431 V 17.3978110162 0.036
-10.9945830044533 R 15.5744905715 0.017
-10.0085217484487 R 15.3912054556 0.017
-7.05033798043472 R 15.0316460408 0.029
-6.04455549930596 R 14.9668337736 0.031
-5.06835485586336 R 14.9168086396 0.015
-4.09215421242076 R 14.8925688228 0.025
-3.12581418153304 R 14.8758000929 0.025
-1.18327350720272 R 14.8023527851 0.046
-0.216933476322172 R 14.8392169838 0.01
0.749406554565547 R 14.8328142938 0.016
6.71507715338941 R 15.0864892318 0.016
8.74636334076388 R 15.2554389971 0.024
12.6413053019794 R 15.4806450769 0.013
14.6134278139887 R 15.516853551 0.014
16.555968488319 R 15.5556519977 0.012
22.4624754117849 R 15.6112801886 0.01
33.3584522906392 R 16.1767024006 0.038
41.1286149879533 R 16.5663239473 0.023
44.0966593685294 R 16.6509696408 0.022
47.0548431365433 R 16.7548256824 0.022
49.9933056794332 R 16.866229927 0.041
52.9514894474471 R 16.9951342424 0.035
60.8103976578054 R 17.191942088 0.033
-7.01089553020085 I 15.7252088667 0.052
-6.02483427419619 I 15.5039033223 0.056
-2.06086802505346 I 15.1531833753 0.04
-1.08466738161086 I 15.1271577937 0.014
-0.108466738168261 I 15.1628838323 0.058
0.857873292719459 I 15.1508532369 0.088
2.80041396704978 I 15.171912271 0.015
3.76675399793032 I 15.2007429365 0.024
4.73309402881804 I 15.2044848862 0.033
10.6987646276419 I 15.6063615997 0.036
12.7300508150164 I 15.7217096834 0.033
16.6249927762319 I 15.9175238839 0.049
18.5971152882412 I 15.8381048565 0.052
20.5396559625715 I 15.7240150593 0.075
37.3421397648917 I 15.9649844873 0.048
43.1993436255545 I 16.328210646 0.058
45.1123024622058 I 16.453032942 0.039
48.0803468427818 I 16.4744299787 0.045
51.0385306107958 I 16.7085922934 0.065
53.9769931536857 I 16.7413667973 0.095
56.9351769216996 I 16.9708416555 0.065
64.7940851320579 I 17.2091891016 0.083
