Phase Band Mag Sigma
-2.79430138863967 B 15.5159786989 0.016
-1.74767259995768 B 15.4549928137 0.015
-0.809656232749931 B 15.428196632 0.011
0.098738564968102 B 15.4279977601 0.013
1.20461049262952 B 15.4297258045 0.012
2.13275300334549 B 15.475586621 0.01
4.07790273324655 B 15.601132625 0.012
5.07516223943372 B 15.6721313541 0.014
8.03731918851989 B 15.9672806672 0.017
9.01483098172349 B 16.0271585229 0.05
9.99234277491992 B 16.2743020119 0.028
10.9797284246153 B 16.368986202 0.022
12.9841212934958 B 16.7786121975 0.062
14.8996494539071 B 16.9349496151 0.025
17.891427972483 B 17.3343022937 0.036
22.7888607949713 B 17.7724395449 0.049
24.8623706593302 B 17.9380174672 0.075
26.7482772502518 B 18.1467861641 0.046
30.7471891315138 B 18.390181931 0.065
32.7417081439025 B 18.3965769393 0.071
34.6769840173046 B 18.5267769997 0.07
39.5744168397929 B 18.7313955326 0.078
45.4493614554776 B 18.7380559511 0.103
50.4257851299432 B 18.67 0.205
54.365453872233 B 18.818 0.073
-4.39386614114879 V 15.5750780495 0.012
-3.34723735246679 V 15.5104149228 0.013
-2.40922098525905 V 15.4460801935 0.012
-1.50082618754101 V 15.4298864117 0.015
-0.394954259879592 V 15.4280350363 0.01
0.533188250836372 V 15.431562872 0.015
2.47833798073744 V 15.4363182186 0.021
3.47559748692461 V 15.4880282163 0.011
6.43775443601077 V 15.6567129572 0.016
7.41526622921438 V 15.6622798309 0.056
8.3927780224108 V 15.8032279682 0.025
9.38016367210619 V 15.8945360055 0.02
11.3845565409867 V 16.0264098498 0.036
13.300084701398 V 16.1521552897 0.02
16.2918632199739 V 16.3154171591 0.025
21.1892960424622 V 16.7108647102 0.029
23.2628059068211 V 16.9009880468 0.026
25.1487124977427 V 17.0437836483 0.022
29.1476243790047 V 17.3324379314 0.028
31.1421433913934 V 17.3904754161 0.041
33.0774192647955 V 17.4484906709 0.03
37.9748520872838 V 17.5972593429 0.047
43.8497967029685 V 17.826098301 0.042
48.8262203774341 V 18.034 0.131
52.7658891197239 V 18.064 0.046
-3.84093017732167 R 15.4808511222 0.018
-2.79430138863967 R 15.4561353421 0.012
-1.85628502143193 R 15.3979044329 0.015
-0.947890223713895 R 15.388302321 0.015
0.157981703947526 R 15.3904877113 0.013
1.08612421466349 R 15.3841157283 0.013
3.03127394456455 R 15.4439618691 0.013
4.02853345075172 R 15.4949298144 0.011
6.99069039983789 R 15.7539987357 0.015
7.9682021930415 R 15.8814929106 0.044
8.94571398623792 R 15.9495970288 0.034
9.93309963593331 R 15.9873488829 0.016
11.9374925048138 R 16.055488132 0.037
13.8530206652251 R 16.0771559562 0.015
16.844799183801 R 16.1389657831 0.016
21.7422320062893 R 16.3608521344 0.022
23.8157418706482 R 16.5646082091 0.016
25.7016484615698 R 16.7387257994 0.021
29.7005603428318 R 17.0348051384 0.023
31.6950793552205 R 17.1387000305 0.024
33.6303552286226 R 17.2233129017 0.027
38.5277880511109 R 17.3904042 0.036
44.4027326667956 R 17.6303071079 0.051
49.3791563412612 R 17.739 0.176
53.318825083551 R 17.967 0.051
-1.1453673536501 I 15.6153966176 0.032
-0.098738564968102 I 15.5677028051 0.024
0.839277802239643 I 15.5813112339 0.028
1.74767259995768 I 15.6233800303 0.022
2.8535445276191 I 15.6683606134 0.021
3.78168703833506 I 15.6229263971 0.03
5.72683676823613 I 15.741802963 0.02
6.7240962744233 I 15.8122903167 0.024
9.68625322350946 I 16.0455907116 0.043
10.6637650167131 I 15.9153278379 0.2
11.6412768099095 I 16.2158101985 0.34
12.6286624596049 I 16.1402150063 0.034
14.6330553284854 I 15.7807951735 0.133
16.5485834888967 I 16.0579029597 0.03
19.5403620074726 I 16.0086961897 0.029
24.4377948299609 I 16.0536206844 0.035
28.3972112852414 I 16.4025276273 0.03
32.3961231665034 I 16.7367376274 0.045
34.3906421788921 I 16.8802731257 0.067
36.3259180522942 I 16.9279613658 0.045
41.2233508747825 I 17.2559798271 0.092
47.0982954904672 I 17.5371874909 0.1
52.0747191649328 I 17.482 0.262
56.0143879072225 I 17.908 0.093
