Phase Band Mag Sigma
-7.80877609521986 B 17.6595022309 0.032
-5.85413877476382 B 17.1825629985 0.036
-4.89636648774435 B 17.0046280792 0.025
-3.90927464091206 B 16.8441562691 0.02
-0.928452727213771 B 16.6692994524 0.029
0 B 16.5614390973 0.017
0.967545473623745 B 16.6522612084 0.042
1.92531776065033 B 16.6269025796 0.02
2.84399730125983 B 16.727681533 0.035
3.89950145430779 B 16.7621082761 0.026
4.86704692793865 B 16.8832513737 0.033
5.82481921495812 B 16.9519683231 0.037
6.79236468858187 B 17.0473395178 0.043
7.81854928182413 B 17.1831228683 0.03
8.78609475544787 B 17.1933457415 0.035
10.7211857027025 B 17.548136416 0.031
12.6953693963599 B 17.8158313448 0.053
14.6011407838088 B 18.0797177724 0.048
16.565551290862 B 18.3215814548 0.068
19.4681877117404 B 18.7177873742 0.09
22.419690065633 B 18.9755381288 0.149
25.312553299907 B 19.2469081112 0.162
28.2445092805911 B 19.3707954393 0.118
31.1764652612751 B 19.4469467877 0.291
37.0012844762332 B 19.4525987173 0.188
41.8976509639776 B 19.752 0.23
-10.1445676931642 V 17.5324253211 0.041
-8.18993037270821 V 17.0843662589 0.036
-7.23215808568874 V 16.9102522875 0.021
-6.24506623885645 V 16.7709897375 0.024
-3.26424432515816 V 16.5432528022 0.043
-2.33579159794439 V 16.4899431235 0.019
-1.36824612432064 V 16.4574412491 0.025
-0.41047383729406 V 16.4606526583 0.02
0.508205703315439 V 16.464457582 0.022
1.5637098563634 V 16.4690650456 0.026
2.53125532999426 V 16.4822662252 0.026
3.48902761701373 V 16.5370996693 0.031
4.45657309063748 V 16.5875770766 0.029
5.48275768387974 V 16.6450962767 0.029
6.45030315750348 V 16.6828321406 0.025
8.38539410475808 V 16.9131052799 0.025
10.3595777984155 V 17.0510110029 0.023
12.2653491858644 V 17.1411482947 0.026
14.2297596929176 V 17.3119322655 0.039
17.132396113796 V 17.5829360529 0.038
20.0838984676886 V 17.799632831 0.034
22.9767617019626 V 18.1002036671 0.071
25.9087176826467 V 18.2985927642 0.07
28.8406736633307 V 18.4303278169 0.103
34.6654928782889 V 18.6318483209 0.113
39.5618593660332 V 18.821 0.143
-8.09219850667972 R 17.4081038748 0.03
-6.13756118622369 R 16.9414682654 0.04
-5.17978889920422 R 16.7898303286 0.03
-4.19269705237193 R 16.6387926246 0.031
-1.21187513867364 R 16.4654226587 0.024
-0.283422411459867 R 16.4558197026 0.016
0.684123062163878 R 16.4009574276 0.033
1.64189534919046 R 16.4221229962 0.019
2.56057488979996 R 16.4335588262 0.021
3.61607904284792 R 16.4562505276 0.022
4.58362451647878 R 16.4929798551 0.036
5.54139680349825 R 16.592152872 0.026
6.508942277122 R 16.6233600516 0.024
7.53512687036426 R 16.7119102511 0.018
8.502672343988 R 16.7780269104 0.022
10.4377632912426 R 16.936780926 0.036
12.4119469849001 R 17.028191214 0.018
14.317718372349 R 17.0379600522 0.027
16.2821288794022 R 17.1005179335 0.021
19.1847653002805 R 17.2189819866 0.033
22.1362676541731 R 17.4716406422 0.041
25.0291308884472 R 17.6849202454 0.033
27.9610868691312 R 17.9478473577 0.064
30.8930428498153 R 18.1495893317 0.115
36.7178620647734 R 18.3689340948 0.061
41.6142285525177 R 18.469 0.09
-6.92918930102033 I 17.4299826073 0.067
-4.9745519805643 I 16.9541602079 0.059
-4.01677969354482 I 16.8307738558 0.074
-3.02968784671254 I 16.7636511207 0.073
-0.0488659330142452 I 16.626182204 0.096
0.879586794199525 I 16.615043119 0.025
1.84713226782327 I 16.6710079337 0.09
2.80490455484985 I 16.727423827 0.047
3.72358409545935 I 16.7072407375 0.048
4.77908824850732 I 16.7021314037 0.07
5.74663372213817 I 16.8531596049 0.12
6.70440600915765 I 16.8368257264 0.087
7.67195148278139 I 16.9080329658 0.049
8.69813607602365 I 16.9836936454 0.083
9.6656815496474 I 17.0094219335 0.042
11.600772496902 I 17.135710839 0.052
13.5749561905595 I 17.1874621022 0.062
15.4807275780084 I 16.9958700104 0.085
17.4451380850615 I 16.9362576931 0.062
20.3477745059399 I 16.9352419373 0.06
23.2992768598325 I 17.1865813717 0.049
26.1921400941066 I 17.3811851054 0.085
29.1240960747906 I 17.7820587047 0.079
32.0560520554747 I 17.8659298641 0.146
37.8808712704328 I 18.1492598903 0.9
42.7772377581771 I 18.268 0.235
