Phase Band Mag Sigma
59.0170422241141 B 18.776590664 0.059
62.9442936996661 B 18.6196732628 0.053
66.8617024396955 B 18.7956125632 0.059
70.7791111797178 B 18.8040277762 0.071
77.7477679333342 B 18.7567627056 0.185
-3.85835232686552 B 15.681 0.022
-2.86423603856539 B 15.518 0.019
-1.87996248579496 B 15.5529764461 0.016
-0.885846197494818 B 15.4940219725 0.015
0.0787418842161915 B 15.513172608 0.012
1.09254364357575 B 15.5959056783 0.015
1.99807531212282 B 15.5027320638 0.016
3.08077622016886 B 15.5264880727 0.022
4.05520703740958 B 15.6564880727 0.018
5.98438320083876 B 15.8076072088 0.048
7.97261577743904 B 15.961692253 0.019
9.96084835403216 B 16.1562874008 0.022
11.8703390464091 B 16.3054909186 0.024
13.8684143585319 B 16.622343563 0.025
15.7779050509088 B 16.7674905154 0.039
23.7111498862362 B 17.6695287379 0.064
25.6206405786131 B 17.8549569215 0.07
27.6285586262657 B 17.82890409 0.066
31.4967536886537 B 18.1792088686 0.099
35.4830615773697 B 18.3978917635 0.107
39.3709421108172 B 18.4259881293 0.112
43.2883508508394 B 18.4474592932 0.131
51.2019102151146 B 18.4009011944 0.164
55.0799480130323 B 18.6023638459 0.238
56.3299754250548 V 17.8039447401 0.045
60.2572269006068 V 17.8346713093 0.041
64.1746356406363 V 17.9560547638 0.134
68.0920443806586 V 18.0361418679 0.048
75.0607011342749 V 18.1724395758 0.079
-6.54541912592478 V 15.566 0.01
-5.55130283762465 V 15.47 0.013
-4.56702928485422 V 15.4494872341 0.014
-3.57291299655408 V 15.4040745869 0.011
-2.60832491484307 V 15.385868249 0.014
-1.59452315548351 V 15.3576285899 0.01
-0.688991486936436 V 15.3716299188 0.012
0.393709421109604 V 15.3228759625 0.017
1.36814023835032 V 15.3958759625 0.01
3.2973164017795 V 15.3994309469 0.013
5.28554897837978 V 15.4785763335 0.012
7.2737815549729 V 15.579658663 0.011
9.18327224734982 V 15.6810997777 0.014
11.1813475594726 V 15.8122109185 0.012
13.0908382518496 V 15.9529040932 0.022
21.0240830871769 V 16.3328362045 0.02
22.9335737795539 V 16.4997353396 0.021
24.9414918272064 V 16.6625887999 0.025
28.8096868895945 V 16.9824175404 0.033
32.7959947783104 V 17.1739485435 0.038
36.6838753117579 V 17.3174226989 0.033
40.6012840517802 V 17.3194763561 0.038
48.5148434160553 V 17.5750107576 0.088
52.3928812139731 V 17.7404348327 0.042
56.526830135606 R 17.6312347246 0.027
60.454081611158 R 17.7717194913 0.027
64.3714903511875 R 18.0689933337 0.135
68.2888990912098 R 17.9845762041 0.046
75.2575558448261 R 18.2152848087 0.064
-6.34856441537356 R 15.407 0.011
-5.35444812707343 R 15.361 0.012
-4.370174574303 R 15.3518703638 0.01
-3.37605828600286 R 15.3432350325 0.014
-2.41147020429185 R 15.3385123306 0.013
-1.39766844493229 R 15.288426856 0.013
-0.492136776385214 R 15.3174039686 0.014
0.590564131660825 R 15.2345225284 0.019
1.56499494890154 R 15.3165225284 0.012
3.49417111233073 R 15.3737660211 0.016
5.482403688931 R 15.4814602537 0.016
7.47063626552412 R 15.6500852247 0.014
9.38012695790104 R 15.7706504381 0.016
11.3782022700239 R 15.8530861307 0.011
13.2876929624008 R 15.9607744255 0.016
21.2209377977282 R 16.0525183303 0.017
23.1304284901051 R 16.1696477532 0.016
25.1383465377576 R 16.2705555449 0.015
29.0065416001457 R 16.6089829769 0.02
32.9928494888616 R 16.8102373635 0.028
36.8807300223091 R 16.9460035289 0.026
40.7981387623314 R 17.0978944303 0.03
48.7116981266065 R 17.3665862219 0.054
52.5897359245243 R 17.5241645439 0.029
65.1293809868247 I 17.6582658228 0.048
69.0566324623767 I 17.6849436915 0.049
72.9740412024062 I 17.9537981587 0.192
76.8914499424285 I 18.1414801036 0.096
83.8601066960448 I 18.1927441719 0.082
2.25398643584514 I 15.596 0.021
3.24810272414528 I 15.539 0.021
4.23237627691571 I 15.6101691694 0.013
5.22649256521585 I 15.5921830657 0.021
6.19108064692686 I 15.6079183277 0.024
7.20488240628641 I 15.6109727257 0.015
8.11041407483349 I 15.6800703942 0.018
10.1675458001202 I 15.6628574883 0.025
12.0967219635494 I 15.7371905138 0.021
14.0849545401497 I 15.8151311461 0.047
16.0731871167428 I 16.0259173882 0.022
17.9826778091197 I 16.0626078194 0.029
19.9807531212426 I 16.0308235936 0.03
21.8902438136195 I 15.9813951017 0.022
29.8234886489469 I 15.8433939856 0.018
31.7329793413238 I 15.8648150066 0.027
33.7408973889763 I 15.8986246273 0.019
37.6090924513644 I 16.2484698778 0.03
41.5954003400803 I 16.4320378152 0.047
45.4832808735278 I 16.6813220393 0.043
49.4006896135501 I 16.9503808819 0.059
57.3142489778252 I 17.2294829834 0.061
61.192286775743 I 17.4708864633 0.063
