Phase Band Mag Sigma
-3.39688858477077 B 16.719644233 0.014
-2.41256291532234 B 16.6838733412 0.017
-1.44753774919341 B 16.6360750931 0.014
-0.424611073098979 B 16.6442174485 0.018
0.482512583064469 B 16.6445238367 0.015
1.43788749753015 B 16.650452524 0.015
2.41256291532234 B 16.6778066713 0.014
3.39688858477779 B 16.7035817636 0.014
4.36191375090673 B 16.7210185733 0.014
5.32693891703567 B 16.7363103383 0.015
6.31126458648409 B 16.823780737 0.03
7.21838824264754 B 16.8412264875 0.019
8.18341340877648 B 16.8490835961 0.019
10.2389170126286 B 16.9946140115 0.02
11.0784889071633 B 17.0869480655 0.019
13.9542639022236 B 17.2564652447 0.042
15.8553634794987 B 17.5130355509 0.053
17.9301675866773 B 17.6105890962 0.054
19.7444148989972 B 17.8163433469 0.061
21.7323667412276 B 17.9849076157 0.042
23.6141658151762 B 18.165677786 0.038
25.5345658957708 B 18.3395074935 0.046
28.4392916458209 B 18.5325965495 0.063
30.3500414747523 B 18.8354871863 0.1
33.2354667214829 B 18.9875651948 0.084
36.0919412132237 B 19.1021333778 0.087
39.00631721493 B 19.1069323107 0.13
-4.29436198927096 B 16.7755923514 0.047
-5.7129489834746 V 16.8107819654 0.018
-4.72862331402618 V 16.7511729472 0.01
-3.76359814789724 V 16.7084352748 0.015
-2.74067147180281 V 16.6666094235 0.01
-1.83354781563936 V 16.6919749472 0.014
-0.878172901173682 V 16.6811671688 0.016
0.0965025166185109 V 16.6400555413 0.011
1.08082818607396 V 16.6478033385 0.016
2.0458533522029 V 16.67942304 0.015
3.01087851833183 V 16.6960399968 0.012
3.99520418778026 V 16.7222854151 0.016
4.90232784394371 V 16.7788864555 0.026
5.86735301007265 V 16.7763570336 0.016
7.92285661392476 V 16.8091138368 0.015
8.76242850845946 V 16.8691907857 0.016
11.6382035035198 V 17.0460485931 0.021
13.5393030807949 V 17.0977728789 0.023
15.6141071879735 V 17.2247934224 0.024
17.4283545002934 V 17.3306917696 0.031
19.4163063425238 V 17.3914402164 0.023
21.2981054164724 V 17.4756708949 0.024
23.218505497067 V 17.5702570256 0.037
26.1232312471171 V 17.6741247119 0.039
28.0339810760484 V 17.7368122016 0.109
30.919406322779 V 17.8632399726 0.03
33.7758808145198 V 18.0463191608 0.035
36.6902568162261 V 18.2315298297 0.048
47.324834146971 V 18.7710520132 0.147
55.9714596354854 V 18.8815052385 0.107
-5.61644646686312 R 16.8625495893 0.016
-4.63212079741469 R 16.788473199 0.011
-3.66709563128575 R 16.7729507662 0.013
-2.64416895519132 R 16.7365711766 0.02
-1.73704529902787 R 16.7271993661 0.012
-0.781670384562193 R 16.6975925636 0.016
0.19300503323 R 16.6890634069 0.014
1.17733070268545 R 16.7100515434 0.016
2.14235586881439 R 16.7115128818 0.02
3.10738103494332 R 16.7316820759 0.013
4.09170670439175 R 16.7829860543 0.014
5.96385552668414 R 16.8405474319 0.012
8.01935913053625 R 16.9609179916 0.017
8.85893102507095 R 16.9410245568 0.019
9.81430593953663 R 17.1419712466 0.063
11.7347060201313 R 17.1958765092 0.027
13.6358055974064 R 17.2817748232 0.039
15.710609704585 R 17.3949124428 0.037
17.5248570169049 R 17.3967258392 0.029
19.5128088591353 R 17.4695809534 0.023
21.3946079330839 R 17.4487076724 0.018
23.3150080136785 R 17.4575729077 0.018
26.2197337637286 R 17.4846291004 0.03
31.0159088393905 R 17.5907419522 0.016
33.8723833311313 R 17.7343723935 0.023
36.7867593328376 R 17.9186128881 0.036
47.4213366635825 R 18.2908247564 0.11
56.0679621520969 R 18.7230272566 0.046
60.8834377310783 R 18.8887785304 0.056
77.2502645486243 R 19.3402843804 0.083
-1.85284831896588 I 17.0022637859 0.023
-0.868522649517448 I 16.9441941583 0.021
0.0965025166114895 I 16.9538592569 0.018
1.11942919270592 I 16.9897460958 0.019
2.02655284886936 I 16.979680838 0.02
2.98192776333505 I 17.0257754579 0.03
3.95660318112724 I 17.0066728912 0.02
4.94092885058269 I 17.0921617021 0.031
5.90595401671163 I 17.0655530379 0.027
6.87097918284056 I 17.2018838319 0.03
7.85530485228899 I 17.1951394025 0.024
8.76242850845244 I 17.1696984524 0.044
9.72745367458138 I 17.2135541048 0.03
11.7829572784335 I 17.4387753957 0.044
12.6225291729682 I 17.3278438979 0.031
15.4983041680285 I 17.594252489 0.047
17.3994037453036 I 17.5753734209 0.077
19.4742078524822 I 17.6858356946 0.07
21.2884551648021 I 17.6125969557 0.051
23.2764070070325 I 17.53510368 0.059
25.1582060809811 I 17.5002283918 0.037
27.0786061615757 I 17.4628623086 0.054
29.9833319116258 I 17.4507852919 0.077
31.8940817405572 I 17.3646739482 0.041
34.7795069872878 I 17.3782954402 0.04
37.6359814790286 I 17.3724627513 0.048
40.5503574807349 I 17.6325993674 0.044
59.8315602999941 I 18.7383283769 0.106
64.6470358789756 I 18.8679944044 0.133
