Phase Band Mag Sigma
-11.0808592490672 B 16.645166871 0.026
-10.0663450244871 B 16.2750905424 0.024
-9.11092871589969 B 16.0031141643 0.021
-5.96888951549523 B 15.4139286289 0.018
-5.04302216491138 B 15.3223990171 0.017
-4.14670377231673 B 15.2503263344 0.02
-3.16173850573298 B 15.1741794507 0.015
-2.14722428115286 B 15.129154294 0.016
-1.17210866723696 B 15.1032544677 0.017
-0.216692358649572 B 15.0785713811 0.014
0.7879722132627 B 15.0752136205 0.013
1.76308782718577 B 15.1486704546 0.016
3.76256731834964 B 15.1887663216 0.024
4.71798362693702 B 15.2708669821 0.02
5.67339993552441 B 15.3298814146 0.028
6.68791416010452 B 15.3936316061 0.023
7.65318012135258 B 15.4743360909 0.014
9.62311065452008 B 15.6769107207 0.019
11.6028908403554 B 15.8893474122 0.015
13.5826710261908 B 16.1296372196 0.018
15.5033532960262 B 16.4015685296 0.02
25.293908045871 B 17.401993653 0.042
28.3276010669507 B 17.6512717507 0.035
35.1928089750334 B 18.0647723668 0.039
38.137855122124 B 18.2400046684 0.034
56.812796576551 B 18.4532521971 0.048
84.2933275142391 B 18.861 0.051
-12.3613140956218 V 16.6844418827 0.019
-11.3467998710416 V 16.3232550981 0.018
-10.3913835624543 V 16.031565575 0.017
-7.24934436204981 V 15.4466893766 0.01
-6.32347701146596 V 15.3599520652 0.01
-5.4271586188713 V 15.2693628413 0.01
-4.44219335228755 V 15.2019137125 0.01
-3.42767912770744 V 15.1501025481 0.01
-2.45256351379153 V 15.0980181964 0.01
-1.49714720520415 V 15.0851843537 0.01
-0.492482633291875 V 15.0627521181 0.01
0.482632980631197 V 15.0813189833 0.01
2.48211247179506 V 15.0761846151 0.022
3.43752878038245 V 15.1474967278 0.012
4.39294508896983 V 15.1661174005 0.042
5.40745931354995 V 15.1775616217 0.021
6.37272527479801 V 15.2390954374 0.013
8.34265580796551 V 15.3509610919 0.01
10.3224359938009 V 15.5171214816 0.01
12.3022161796362 V 15.6327640755 0.012
14.2228984494716 V 15.7256285443 0.011
24.0134531993164 V 16.2478960815 0.022
27.0471462203961 V 16.5237123456 0.024
33.9123541284788 V 16.9629359048 0.017
36.8574002755694 V 17.0805942385 0.026
55.5323417299964 V 17.6652168206 0.037
83.0128726676845 V 18.432 0.07
-12.0658245156438 R 16.4791106744 0.013
-11.0513102910637 R 16.1704789321 0.014
-10.0958939824763 R 15.8863964387 0.021
-6.95385478207182 R 15.3426268979 0.013
-6.02798743148796 R 15.2903299559 0.011
-5.13166903889331 R 15.2124253359 0.01
-4.14670377230956 R 15.1695978114 0.01
-3.13218954772945 R 15.1675588926 0.01
-2.15707393381354 R 15.131621556 0.01
-1.20165762522616 R 15.1088957398 0.01
-0.196993053313883 R 15.0860212115 0.01
0.778122560609189 R 15.0999502121 0.011
2.77760205177306 R 15.1329581984 0.016
3.73301836036044 R 15.1723277551 0.019
4.68843466894782 R 15.2630650128 0.025
5.70294889352794 R 15.278141714 0.014
6.668214854776 R 15.3768127519 0.01
8.6381453879435 R 15.5308939574 0.014
10.6179255737788 R 15.6874767574 0.017
12.5977057596142 R 15.7652296283 0.014
14.5183880294496 R 15.8244210392 0.013
24.3089427792944 R 15.9280310704 0.014
27.3426358003741 R 16.1255900176 0.015
34.2078437084568 R 16.6398504965 0.02
37.1528898555474 R 16.8123030827 0.021
55.8278313099744 R 17.3966535591 0.074
83.3083622476625 R 18.321 0.054
-7.25919401471765 I 16.7723709732 0.029
-6.24467979013754 I 16.3006043931 0.021
-5.28926348155015 I 16.0178350994 0.016
-2.1472242811457 I 15.4786307495 0.016
-1.22135693056184 I 15.406319056 0.016
-0.325038537967191 I 15.3576573315 0.012
0.659926728616559 I 15.3613608491 0.015
1.67444095319668 I 15.3470423025 0.013
2.64955656711258 I 15.3680395488 0.014
3.60497287569997 I 15.4002590986 0.013
4.60963744761224 I 15.3995821907 0.011
5.58475306153531 I 15.4666654383 0.014
7.58423255269918 I 15.4973352517 0.047
8.53964886128656 I 15.6161661451 0.038
9.49506516987394 I 15.6010482581 0.044
10.5095793944541 I 15.7230316504 0.01
11.4748453557021 I 15.8285438238 0.013
15.424556074705 I 16.0236677112 0.022
17.4043362605403 I 16.0207230599 0.026
19.3250185303758 I 16.0135563635 0.017
29.1155732802205 I 15.6992509368 0.015
32.1492663013002 I 15.8309372789 0.02
39.0144742093829 I 16.3798747331 0.022
41.9595203564735 I 16.5550262404 0.034
60.6344618109005 I 17.4494357399 0.04
88.1149927485886 I 18.487 0.083
