Phase Band Mag Sigma
-3.21782645290615 B 15.0323796301 0.016
-2.22857197814485 B 15.0316742626 0.055
-1.38886171014787 B 14.9574207774 0.018
-0.394888319967264 B 14.9247585357 0.032
3.58031418621987 B 15.0409215549 0.016
21.5265371140883 B 16.9656783881 0.016
26.2936190405073 B 17.4279821129 0.045
30.2769562460814 B 17.5784168522 0.018
65.730217184568 B 18.3339329571 0.111
-6.32595293052442 V 15.0444943732 0.01
-5.31833614888169 V 14.9621400076 0.013
-4.32908167412039 V 14.8935071119 0.015
-3.48835456870004 V 14.8818313495 0.011
-2.4943713063081 V 14.8361305918 0.013
1.48083119987185 V 14.829419542 0.013
3.42168754808874 V 14.8796007927 0.013
4.49195336169166 V 14.9095007142 0.013
19.4270442555361 V 15.8132430073 0.017
25.2340448281739 V 16.1623806603 0.01
28.177493004156 V 16.3813866556 0.017
32.0473886676153 V 16.6085206139 0.013
54.7540988869607 V 17.3545400241 0.031
63.6314252527841 V 17.5610149639 0.039
64.6446297041568 V 17.5704753186 0.036
116.815359329686 V 18.847 0.047
-5.31242269629952 R 14.9380495492 0.011
-4.30548709700948 R 14.9067585919 0.015
-3.31622275003684 R 14.8581011052 0.015
-2.47481446227098 R 14.8544655052 0.02
-1.48083119987904 R 14.8228708913 0.026
2.49436143409675 R 14.8479687048 0.015
4.43521778231364 R 14.8970707701 0.017
5.49474263361187 R 14.9319770713 0.016
5.50550334033206 R 14.9429579294 0.015
20.4349275867845 R 15.562400339 0.016
20.4406041063879 R 15.5513977388 0.013
26.247584934603 R 15.7824185071 0.011
29.191023238381 R 16.012575142 0.015
33.0609189018402 R 16.2990655705 0.021
55.7683300479538 R 17.1387235826 0.017
64.6456465415658 R 17.4429355168 0.034
65.6588509929386 R 17.4234527955 0.032
117.829570746264 R 19.0129978669 0.049
-2.88419518356685 I 15.0035157783 0.012
-1.8777828113055 I 14.9516245009 0.02
-0.888498719917365 I 14.9239372154 0.021
-0.0465869495454998 I 14.9434895342 0.013
0.947741840128465 I 14.9589957587 0.024
4.92256920241392 I 15.0715936839 0.014
6.86345516725047 I 15.1523453281 0.015
7.92298989076004 I 15.2058200272 0.021
7.93375059748022 I 15.2007862308 0.013
22.8688316191133 I 15.3079079854 0.018
28.6758124473285 I 15.4432035911 0.012
31.6192606233178 I 15.6077926716 0.016
35.4891464145657 I 15.9384341476 0.013
58.1969228323768 I 17.0696998185 0.021
67.0742097093692 I 17.4144890506 0.036
120.258124041856 I 19.1359936605 0.121
