Phase Band Mag Sigma
-4.64643916290238 B 14.7323670019 0.017
-3.67614781633118 B 14.6799370636 0.02
-2.70226989732464 B 14.6543446502 0.02
0.2964109445395 B 14.58417956 0.019
3.22745080886536 B 14.6766209661 0.017
6.23157573173962 B 14.9545692194 0.021
10.1786629121063 B 15.415754344 0.026
31.8767147206442 B 17.2135459505 0.099
32.8647314417038 B 17.1374171507 0.102
41.7809801410298 B 17.4481926571 0.134
-6.09610604971831 V 14.8381099385 0.019
-5.12512307760576 V 14.7557572797 0.018
-4.15125503896019 V 14.72949941 0.019
-4.14012974817593 V 14.6914726236 0.017
-1.15256431673508 V 14.6102791417 0.018
1.77846566722262 V 14.5949687406 0.015
4.78256094900677 V 14.7402706977 0.019
8.72966789010254 V 15.0697552444 0.021
30.4277394593696 V 16.5640542989 0.061
31.4157463000683 V 16.6031826735 0.04
40.3320048797553 V 16.9058381513 0.07
-4.6471110277074 R 14.8095523941 0.017
-3.67614781632399 R 14.7552793756 0.016
-2.70226001695648 R 14.7698769256 0.02
0.2964109445395 R 14.6343904766 0.016
3.2274409284972 R 14.726150034 0.017
6.23152632992038 R 14.9642407592 0.018
10.1786332710161 R 15.1981746352 0.019
31.8767246010124 R 16.4712223474 0.035
32.8647314417038 R 16.398341661 0.029
41.7809603803007 R 17.1192537099 0.065
-1.66256898790352 I 15.0014214727 0.023
-0.691625537249248 I 14.9490997471 0.021
0.282272142486428 I 14.9526336562 0.018
3.28092334326046 I 15.0275859128 0.019
6.21196320757913 I 15.121954355 0.022
9.21603872863415 I 15.3469823712 0.022
13.163165430459 I 15.490596967 0.025
34.8612567604553 I 16.289875948 0.036
35.8492636011539 I 16.22195679 0.042
44.7654826593754 I 16.7107392245 0.036
