Phase Band Mag Sigma
23.8280246016421 B 17.3408298477 0.018
24.7886723100218 B 17.3936743422 0.036
26.7594856498892 B 17.5248764097 0.027
52.4790949144172 B 18.3387607061 0.068
53.4694533766632 B 18.4828497948 0.055
-7.83373543636159 B 16.2016784965 0.038
-6.84337697411566 B 16.0568242621 0.039
-5.8629220964942 B 15.9799557732 0.032
-4.88246721886554 B 15.9561968383 0.047
-2.91165387899815 B 15.7889424223 0.024
0.0891322616058811 B 15.7595569937 0.032
1.06958713922734 B 15.7712710872 0.019
2.07975277072223 B 15.7462035183 0.023
4.05056611058962 B 15.8389167238 0.022
6.03128303508149 B 15.9468415941 0.044
13.9244399791827 B 16.5433223655 0.048
16.905418950545 B 16.7933921614 0.049
19.8764943372828 B 17.0649700927 0.052
22.8475697240206 B 17.3091488209 0.061
25.8186451107584 B 17.5192513471 0.063
32.75115434648 B 18.0976224968 0.096
37.6732359038362 B 18.451921031 0.201
43.6054830926945 B 18.6029680239 0.299
47.5471097724293 B 18.4502403273 0.145
52.4592877451683 B 18.5671068526 0.099
57.4804051487549 B 18.5527098506 0.124
-10.2898244227347 V 15.7290854044 0.018
-9.29946596048874 V 15.585608839 0.019
-8.31901108286729 V 15.4694216603 0.02
-7.33855620523862 V 15.3932108684 0.024
-5.36774286537123 V 15.2827275089 0.014
-2.36695672476721 V 15.1338188375 0.016
-1.38650184714575 V 15.106272713 0.013
-0.376336215650861 V 15.115840503 0.011
1.59447712421653 V 15.1130197151 0.012
3.5751940487084 V 15.1603521141 0.022
11.4683509928096 V 15.5831770166 0.018
14.4493299641719 V 15.7372704067 0.022
17.4204053509097 V 15.850205309 0.022
20.3914807376475 V 15.9227832966 0.019
23.3625561243853 V 16.0383279595 0.017
30.2950653601069 V 16.4274617749 0.024
35.2171469174631 V 16.7548854143 0.035
41.1493941063214 V 16.9039682332 0.051
45.0910207860562 V 17.066184952 0.05
50.0031987587952 V 17.2409405815 0.052
55.0243161623818 V 17.4309308414 0.048
21.371935615269 V 15.9283499412 0.01
22.3325833236487 V 15.9886867641 0.017
24.3033966635161 V 16.0349545695 0.01
50.0230059280441 V 17.2619448687 0.02
51.0133643902901 V 17.2716021913 0.017
22.7584374624219 R 15.6140860152 0.01
23.7190851708016 R 15.6133918243 0.011
25.689898510669 R 15.6172920411 0.01
51.4095077751971 R 16.8116483174 0.024
52.399866237443 R 16.8852374267 0.02
-8.90332257558172 R 15.4117263671 0.014
-7.91296411333579 R 15.2885749924 0.015
-6.93250923571433 R 15.2207566053 0.014
-5.95205435808567 R 15.1791727738 0.025
-3.98124101821828 R 15.0443060906 0.019
-0.980454877614251 R 14.9656379962 0.017
7.20580619414929e-12 R 14.9570955034 0.01
1.01016563150209 R 14.9640164534 0.011
2.98097897136948 R 14.9970179259 0.01
4.96169589586135 R 15.0716427556 0.01
12.8548528399626 R 15.5778735399 0.014
15.8358318113249 R 15.6536484472 0.019
18.8069071980627 R 15.6663788513 0.017
21.7779825848005 R 15.625425758 0.018
24.7490579715383 R 15.6625756287 0.013
31.6815672072598 R 15.8698122325 0.02
36.6036487646161 R 16.2317231709 0.026
41.5950554143364 R 16.4872348935 0.097
42.5358959534744 R 16.5662364492 0.051
46.4775226332092 R 16.7220094071 0.031
51.3897006059481 R 16.837776286 0.03
56.4108180095347 R 16.9995899804 0.037
-7.82383185173711 I 15.4042268092 0.025
-6.83347338949118 I 15.304817172 0.026
-5.85301851186972 I 15.226551578 0.017
-4.87256363424106 I 15.1857084196 0.023
-2.90175029437367 I 15.0994508766 0.011
0.099035846230358 I 15.0823795068 0.023
1.07949072385181 I 15.0923677507 0.011
2.0896563553467 I 15.0914784089 0.024
4.06046969521409 I 15.182562935 0.021
6.04118661970596 I 15.2879996206 0.017
13.9343435638072 I 15.759342095 0.025
16.9153225351695 I 15.7750345522 0.021
19.8863979219073 I 15.7151613603 0.033
22.8574733086451 I 15.5573703971 0.028
25.8285486953829 I 15.4963303128 0.016
32.7610579311044 I 15.5006489236 0.016
37.6831394884607 I 15.8703177989 0.019
43.615386677319 I 16.2585738283 0.08
47.5570133570538 I 16.4914397057 0.033
52.4691913297928 I 16.6692785447 0.043
57.4903087333794 I 16.9887346056 0.093
23.8379281862665 I 15.4631093163 0.011
24.7985758946463 I 15.4501010834 0.01
26.7693892345136 I 15.3869291874 0.011
52.4889984990417 I 16.5711684568 0.033
53.4793569612876 I 16.5873290976 0.025
