Phase Band Mag Sigma
-0.118774821564803 B 14.2232091398 0.01
1.7321328144417 B 14.2226890528 0.01
26.4570915029783 B 16.6032217387 0.01
27.4864732898516 B 16.648898113 0.01
28.4267739605496 B 16.7157010761 0.01
82.7959485306515 B 18.106 0.066
-11.0658542088867 B 15.6686799979 0.015
-10.0760640292016 B 15.3788507496 0.01
-9.07637594771769 B 15.1207411746 0.01
-8.09648366983148 B 14.9105549993 0.01
-7.14628509733466 B 14.7541155819 0.01
-5.15680683616562 B 14.4776750172 0.01
-3.14753277140606 B 14.2920262634 0.01
-1.21744192101582 B 14.2039077773 0.01
0.791832143743746 B 14.1876057316 0.01
2.71202509232791 B 14.2585775148 0.01
7.74015920512987 B 14.6821516057 0.01
12.6792122017564 B 15.1402288722 0.014
15.5693995264423 B 15.4983019431 0.01
18.5486679672893 B 15.8730148134 0.01
22.5474202932179 B 16.2380867843 0.011
26.4768873065688 B 16.61237281 0.016
27.4468816826633 B 16.6365149754 0.015
31.3862465978059 B 16.9448516273 0.021
39.2748743298972 B 17.1696985133 0.047
43.2439329504364 B 17.3626808977 0.018
48.1730880452641 B 17.4878635513 0.028
53.1220389436895 B 17.5792854823 0.023
58.0610919403233 B 17.644842117 0.037
60.060468103284 B 17.6376334258 0.034
69.9385740965443 B 17.843 0.067
74.8776270931708 B 17.798 0.071
-12.0556443885646 V 15.6717790852 0.01
-11.0658542088795 V 15.401480286 0.01
-10.0661661273956 V 15.1296032347 0.01
-9.08627384950936 V 14.9329668975 0.01
-8.13607527701254 V 14.7933025465 0.01
-6.14659701584351 V 14.5204556596 0.01
-4.13732295108394 V 14.333524308 0.01
-2.2072321006937 V 14.2378769142 0.01
-0.197958035934136 V 14.1941657917 0.01
1.72223491265003 V 14.2103526812 0.01
6.75036902545198 V 14.4353421422 0.01
11.6894220220785 V 14.660172983 0.01
14.5796093467645 V 14.853583164 0.01
17.5588777876114 V 14.9950559765 0.01
21.55763011354 V 15.2045096745 0.01
25.4870971268909 V 15.4756460981 0.01
26.4570915029855 V 15.5210556899 0.01
30.3964564181281 V 15.7878438502 0.011
38.2850841502193 V 16.2168960655 0.017
42.2541427707585 V 16.376116817 0.01
47.1832978655862 V 16.4966547042 0.018
52.1322487640116 V 16.687760677 0.015
57.0713017606454 V 16.7612861928 0.019
59.0706779236061 V 16.7732680519 0.02
68.9487839168664 V 17.116 0.032
73.887836913493 V 17.25 0.045
-1.10856500124268 V 14.2549123888 0.01
0.742342634763813 V 14.2354996295 0.01
25.4673013233004 V 15.4778627576 0.01
26.4966831101737 V 15.5458681643 0.01
27.4369837808717 V 15.612382284 0.01
81.8061583509736 V 17.408 0.034
-0.0890811161682007 R 14.281681905 0.01
1.7618265198383 R 14.3083874665 0.01
26.4867852083749 R 15.2062210572 0.01
27.5161669952482 R 15.2603669292 0.01
28.4564676659462 R 15.2993437313 0.01
82.8256422360481 R 17.42 0.027
-11.0361605034901 R 15.5837336846 0.01
-10.046370323805 R 15.309191748 0.01
-9.04668224232109 R 15.0223298283 0.01
-8.06678996443488 R 14.9002077077 0.01
-7.11659139193806 R 14.7596763357 0.01
-5.12711313076902 R 14.4546186726 0.01
-3.11783906600945 R 14.3016187117 0.01
-1.18774821561922 R 14.2350350325 0.01
2.74171879772451 R 14.25712174 0.01
7.76985291052647 R 14.5824171257 0.01
12.708905907153 R 14.8215987723 0.01
15.5990932318389 R 14.9120932514 0.01
18.5783616726859 R 14.9486964645 0.01
22.5771139986145 R 15.0246627227 0.01
26.5065810119654 R 15.2097842106 0.01
27.4765753880599 R 15.215565431 0.01
31.4159403032025 R 15.5083261008 0.01
39.3045680352938 R 15.9842479463 0.021
43.273626655833 R 16.1960482145 0.01
48.2027817506607 R 16.3372983765 0.012
53.1517326490861 R 16.5797497617 0.015
58.0907856457199 R 16.6682208499 0.018
60.0901618086806 R 16.7306179771 0.02
69.9682678019409 R 17.016 0.033
74.9073207985674 R 17.185 0.034
-8.51219554528308 I 15.4908944294 0.02
-7.522405365598 I 15.2275166759 0.01
-6.52271728411404 I 15.0020815192 0.011
-5.54282500622783 I 14.8352473637 0.01
-4.59262643373101 I 14.6976639861 0.012
-2.60314817256198 I 14.452394507 0.01
-0.593874107802408 I 14.3441212744 0.01
1.33621674258783 I 14.3464516031 0.01
3.34549080734739 I 14.4294444593 0.01
5.26568375593156 I 14.5150365452 0.01
10.2938178687335 I 14.8279117247 0.02
15.2328708653601 I 14.9969932299 0.011
18.123058190046 I 14.9942714604 0.01
21.1023266308929 I 14.9276671313 0.01
25.1010789568215 I 14.8922704845 0.01
29.0305459701724 I 14.9119337066 0.01
30.000540346267 I 14.8894988675 0.01
33.9399052614096 I 15.1270350966 0.01
41.8285329935009 I 15.6138898066 0.026
45.7975916140401 I 15.8794004628 0.018
50.7267467088678 I 16.1184875154 0.016
55.6756976072932 I 16.3672098898 0.019
60.6147506039269 I 16.5828187409 0.027
62.6141267668876 I 16.6393499429 0.023
72.4922327601479 I 17.031 0.042
77.4312857567745 I 17.194 0.058
2.43488384203885 I 14.370655245 0.01
4.28579147804534 I 14.4620969584 0.01
29.0107501665819 I 14.9257133418 0.01
30.0401319534553 I 14.9282964341 0.01
30.9804326241532 I 14.9622325614 0.01
85.3496071942552 I 17.838 0.173
