Phase Band Mag Sigma
-11.0058563378974 B 15.5817798323 0.017
-9.02638577352785 B 14.8871900653 0.015
-7.00732579787002 B 14.4570093095 0.017
-4.07770936260392 B 14.12301207 0.019
-1.10850351604955 B 14.0037873811 0.018
0.890761753967749 B 13.9873443122 0.014
2.85043761268959 B 14.0523579337 0.011
4.8497028827069 B 14.1236788748 0.011
6.82917344707647 B 14.2504969091 0.019
8.78884930579832 B 14.4098868894 0.011
10.7683198701679 B 14.5928804899 0.01
12.7477904345375 B 14.7966059045 0.024
15.7070989282752 B 15.1625423069 0.02
17.6964668454614 B 15.3662722989 0.021
-13.6583468941457 V 15.5008103764 0.018
-11.6788763297762 V 14.888803762 0.01
-9.65981635411834 V 14.4414919288 0.01
-6.73019991885223 V 14.116605399 0.015
-3.76099407229787 V 13.9701383748 0.013
-1.76172880228057 V 13.9141328395 0.016
0.197947056441278 V 13.8775626357 0.01
2.19721232645858 V 13.900247755 0.01
4.17668289082816 V 13.9470044787 0.011
6.13635874955 V 14.0509165356 0.01
8.11582931391958 V 14.1898398513 0.01
10.0952998782892 V 14.3167573093 0.01
13.0546083720268 V 14.4907373596 0.01
15.0439762892131 V 14.6077087586 0.016
-13.1634792530606 R 15.3538712715 0.01
-11.184008688691 R 14.8017465822 0.014
-9.16494871303315 R 14.4250940399 0.01
-3.26612643121268 R 14.0128832597 0.01
-1.26686116119538 R 13.9728508971 0.01
0.692814697526471 R 13.9186828725 0.02
2.69207996754377 R 13.9901506225 0.01
4.67155053191335 R 14.1152934441 0.029
6.63122639063519 R 14.2210454082 0.01
8.61069695500477 R 14.3758282065 0.03
10.5901675193743 R 14.5373084916 0.01
13.549476013112 R 14.6083805017 0.017
15.5388439302983 R 14.7654982487 0.129
-12.0945651483065 I 15.5948345657 0.026
-10.1150945839369 I 15.0025900196 0.011
-8.09603460827905 I 14.5517161615 0.019
-2.19721232645858 I 14.3648510513 0.014
-0.197947056441278 I 14.3192661221 0.01
1.76172880228057 I 14.3503210418 0.01
3.76099407229787 I 14.3948562407 0.024
5.74046463666745 I 14.5997875015 0.025
7.70014049538929 I 14.6716081484 0.014
9.67961105975887 I 14.7633303305 0.011
11.6590816241284 I 14.8619554595 0.011
14.6183901178661 I 14.8244687905 0.011
16.6077580350524 I 14.7478403799 0.016
