Phase Band Mag Sigma
14.1938067428569 B 15.6800188309 0.01
40.8690572114865 B 17.5660102729 0.023
99.1784822618246 B 18.484 0.018
-6.53271440047821 B 14.8865223937 0.01
-3.62268707663308 B 14.6087259957 0.01
-2.6328818644392 B 14.5714209123 0.01
-1.65297470436206 B 14.5904855157 0.01
-0.593883127314892 B 14.4980451482 0.01
0.38602403275504 B 14.5303043176 0.01
1.38572729707288 B 14.5414690091 0.01
3.36533772146066 B 14.6368696439 0.01
4.35514293365454 B 14.6564073752 0.01
6.33475335804232 B 14.8346965654 0.01
8.30446573030614 B 14.9714083853 0.01
10.2048917377167 B 15.2217412083 0.01
12.1944002142284 B 15.4180850971 0.01
13.2336956870277 B 15.5509081391 0.01
17.2127126400511 B 16.0741802255 0.011
19.1626289080742 B 16.3083424131 0.014
21.1026471239734 B 16.4870193408 0.017
23.0723594962372 B 16.7013671631 0.013
26.0813673413075 B 16.9992730419 0.018
29.0309868736484 B 17.1920402878 0.02
32.0399947187115 B 17.3276445709 0.048
34.9203278861992 B 17.4622265473 0.024
38.8894467870987 B 17.5843433362 0.024
42.8288715316263 B 17.6835844269 0.021
46.7979904325258 B 17.761111645 0.018
50.7770073855421 B 17.8946474584 0.049
55.6369509774175 B 17.8598982434 0.049
61.6351705633102 B 17.9254170499 0.034
66.5742985721557 B 18.046510397 0.026
77.4423598020477 B 18.267 0.02
89.3992067653516 B 18.486 0.041
-8.90824690975218 V 14.8922776704 0.01
-5.99821958590705 V 14.6087202584 0.01
-5.00841437371317 V 14.5326818018 0.01
-4.02850721363603 V 14.5995880648 0.01
-2.96941563658886 V 14.4520483341 0.01
-1.98950847651893 V 14.473533726 0.01
-0.989805212201089 V 14.4491275818 0.01
0.989805212186685 V 14.4725705385 0.01
1.97961042438057 V 14.4743160751 0.01
3.95922084876835 V 14.5511152603 0.01
5.92893322103216 V 14.6253252116 0.01
7.8293592284427 V 14.7852479513 0.01
9.81886770495443 V 14.8824715031 0.01
10.8581631777537 V 14.9400575892 0.01
14.8371801307771 V 15.2088496139 0.01
16.7870963988003 V 15.333201698 0.01
18.7271146146994 V 15.4377945973 0.01
20.6968269869632 V 15.5473338505 0.01
23.7058348320335 V 15.7318010445 0.011
26.6554543643745 V 15.9123445372 0.013
29.6644622094375 V 16.1890494338 0.032
32.5447953769252 V 16.3191621108 0.015
36.5139142778247 V 16.4870287292 0.01
40.4533390223524 V 16.5995853764 0.014
44.4224579232519 V 16.6989360654 0.017
48.4014748762681 V 16.8654106712 0.023
53.2614184681436 V 16.9303230479 0.024
59.2596380540362 V 17.0486044429 0.029
64.1987660628817 V 17.2443003866 0.025
75.0668272927737 V 17.542 0.021
87.0236742560776 V 17.919 0.04
