Phase Band Mag Sigma
0.809318775097681 B 14.7508385482 0.01
1.81603237338712 B 14.79123994 0.01
31.395646629103 B 17.6085591131 0.012
38.2748562174369 B 17.8301074006 0.117
-11.9423868032806 B 16.9072157681 0.033
-11.0639798400651 B 16.4609130009 0.021
-10.0375267594522 B 16.0836574371 0.012
-8.08331800982225 B 15.4875441213 0.073
-7.07660441153282 B 15.2894068208 0.01
-6.09950003671424 B 15.1366895448 0.01
-5.09278643842481 B 15.002813391 0.01
-4.10581232245168 B 14.8794369707 0.01
-3.14844742995659 B 14.8095782637 0.01
-2.15160357282172 B 14.7832745622 0.01
-1.16462945684858 B 14.7411260767 0.01
-0.197394823198935 B 14.7214866227 0.01
0.789579292774197 B 14.7753114616 0.01
1.79629289107081 B 14.7661560939 0.01
2.78326700704395 B 14.8477262958 0.01
8.67550247939751 B 15.2605431786 0.02
12.6530081667753 B 15.8011915916 0.011
14.5973471752363 B 16.0766955937 0.015
20.5191918710751 B 16.7719284771 0.02
23.4801142189945 B 17.070094398 0.025
26.4410365669139 B 17.3365232339 0.027
29.4019589148333 B 17.502193706 0.022
32.3628812627527 B 17.8053932534 0.148
35.3238036106721 B 17.722909742 0.171
38.2847259585915 B 17.7141086345 0.062
51.1449986897274 B 18.1891074595 0.107
-12.6727476490988 V 16.8884918474 0.032
-11.7943406858832 V 16.5377992229 0.019
-10.7678876052703 V 16.1435373986 0.01
-8.81367885564036 V 15.5600050018 0.017
-7.80696525735092 V 15.3919960041 0.01
-6.82986088253235 V 15.2317878833 0.01
-5.82314728424292 V 15.1092058678 0.01
-4.83617316826978 V 14.9998467308 0.01
-3.8788082757747 V 14.9287113351 0.01
-2.88196441863982 V 14.878510139 0.01
-1.89499030266669 V 14.840389962 0.01
-0.927755669017042 V 14.8102662955 0.01
0.05921844695609 V 14.8175588088 0.01
1.06593204525271 V 14.8013303608 0.01
2.05290616122584 V 14.8265808801 0.01
7.94514163357941 V 15.0877743032 0.033
11.9226473209572 V 15.3856216846 0.01
13.8669863294182 V 15.5168613323 0.013
19.788831025257 V 15.8748353198 0.01
22.7497533731764 V 16.0946362795 0.02
25.7106757210958 V 16.3038620403 0.018
28.6715980690152 V 16.5429242049 0.013
31.6325204169346 V 16.7616088595 0.209
34.593442764854 V 16.7387550667 0.07
37.5543651127734 V 16.9894792733 0.045
50.4146378439093 V 17.3921141221 0.179
62.2385877532634 V 17.6286883675 0.305
0.0789579292795741 V 14.7997339108 0.01
1.08567152756901 V 14.7979633996 0.01
30.6652857832849 V 16.6386930124 0.01
37.5444953716188 V 16.9287314641 0.017
0.710621363501804 R 14.8320139518 0.01
1.71733496179124 R 14.8283558231 0.01
31.2969492175072 R 16.3536854997 0.01
38.176158805841 R 16.6891656641 0.017
-12.0410842148765 R 16.8822766274 0.026
-11.162677251661 R 16.4473683085 0.019
-10.1362241710481 R 16.067168964 0.01
-8.18201542141813 R 15.4507377 0.017
-7.17530182312869 R 15.2983534682 0.01
-6.19819744831012 R 15.1467063359 0.01
-5.19148385002069 R 15.0316681059 0.01
-4.20450973404755 R 14.950953289 0.01
-3.24714484155247 R 14.8858623312 0.01
-2.25030098441759 R 14.8432612 0.01
-1.26332686844446 R 14.8375309263 0.01
-0.296092234794812 R 14.8024805589 0.01
0.69088188117832 R 14.818740715 0.01
1.69759547947494 R 14.8034807305 0.01
2.68456959544807 R 14.8163414188 0.01
8.57680506780164 R 15.2701371337 0.104
12.5543107551794 R 15.5337441444 0.011
14.4986497636404 R 15.5722599513 0.011
20.4204944594792 R 15.6548752778 0.014
23.3814168073986 R 15.7990684793 0.01
26.342339155318 R 15.9856598695 0.013
29.3032615032374 R 16.2268131144 0.015
32.2641838511568 R 16.4462033474 0.2
35.2251061990762 R 16.6018572234 0.061
38.1860285469956 R 16.7619430146 0.057
-8.49784713852924 I 16.766661323 0.029
-7.61944017531373 I 16.3350231089 0.013
-6.59298709470081 I 15.984657583 0.017
-4.63877834507085 I 15.4416357566 0.018
-3.63206474678141 I 15.2800201578 0.012
-2.65496037196284 I 15.1442581199 0.01
-1.64824677367341 I 15.0306845029 0.01
-0.661272657700275 I 14.976938158 0.01
0.296092234794812 I 14.9394528991 0.01
1.29293609192969 I 14.9687162585 0.014
2.27991020790282 I 14.9697712542 0.01
3.24714484155247 I 15.0077865035 0.011
4.2341189575256 I 15.0902212891 0.01
5.24083255582222 I 15.0867750547 0.01
6.22780667179535 I 15.1467347995 0.01
12.1200421441489 I 15.6833960564 0.189
16.0975478315267 I 15.706359677 0.021
18.0418868399877 I 15.646652849 0.02
23.9637315358265 I 15.4814189083 0.023
26.9246538837459 I 15.5071405957 0.014
29.8855762316653 I 15.5969023042 0.012
32.8464985795847 I 15.8842304024 0.017
38.7683432754235 I 16.3122938997 0.066
41.7292656233429 I 16.4500415609 0.074
4.25385843984908 I 15.0588985549 0.01
5.26057203813852 I 15.1067135737 0.01
34.8401862938544 I 16.0664787069 0.013
41.7193958821883 I 16.5049789421 0.054
