Phase Band Mag Sigma
-4.230389135045 B 16.8102628907 0.014
-0.385282219226984 B 16.6593562488 0.015
3.46047967636118 B 16.7343476487 0.015
9.20003852822376 B 17.0325312412 0.017
10.1995569254505 B 17.1823067946 0.016
11.1560489308423 B 17.208537191 0.019
14.0816027740322 B 17.520790822 0.017
20.6786649971073 B 18.2370581234 0.024
21.8012521672093 B 18.2511259715 0.025
23.5333461760739 B 18.5146440938 0.031
41.1164322866462 B 19.3843526363 0.118
78.5397900211876 B 20.08 0.098
-6.06046041225043 V 16.879191731 0.012
-2.2153727605429 V 16.6989785901 0.016
1.63039876710401 V 16.7173123421 0.012
7.37064149489895 V 16.8928168903 0.013
8.36947601618628 V 16.9549133827 0.014
9.3259583895264 V 16.9488770502 0.02
12.2515411288785 V 17.1490562465 0.013
18.8485744557914 V 17.5219538047 0.017
19.9711519938416 V 17.5676244131 0.021
21.7032652668097 V 17.6965851529 0.023
39.286351377389 V 18.5214713468 0.059
45.9961953380867 V 18.7259894708 0.055
65.1659314197678 V 19.1544117883 0.267
76.7096994798717 V 19.6090222029 0.065
-6.24602196108929 R 16.9608577821 0.017
-2.4009439414405 R 16.8318859787 0.019
1.44480832209594 R 16.82488293 0.017
7.18575418994071 R 17.0843509752 0.016
8.18390483528868 R 17.1219724325 0.017
9.14039684068053 R 17.1163845647 0.023
12.0659699479879 R 17.4005299083 0.017
18.6630032748938 R 17.5202286369 0.016
19.7855711808853 R 17.5392559707 0.019
21.5177037179708 R 17.5733246959 0.025
39.1007705644397 R 18.3433764748 0.038
45.8106241571961 R 18.6941243809 0.053
76.5241282989741 R 19.4249546882 0.07
-1.91868618763136 I 17.0141317967 0.027
1.92641109612791 I 17.0113428657 0.029
5.77216335966435 I 17.1518124333 0.028
11.513773839338 I 17.3966378195 0.034
12.5112598728571 I 17.47203263 0.033
13.4677518782489 I 17.4301538708 0.044
16.3932864573283 I 17.6019350221 0.035
22.9903294163 I 17.5520585642 0.032
24.1129262184537 I 17.5098009657 0.032
25.8450394914288 I 17.4853654054 0.039
43.4281159699493 I 17.8331486831 0.059
50.1379406665365 I 18.4146792789 0.099
69.3077152764386 I 19.1642948671 0.245
80.8514448083216 I 19.4349862807 0.128
