Phase Band Mag Sigma
-5.13709480443803 B 15.8934356117 0.025
-3.18826410519618 B 15.8073085131 0.034
-0.0994737843755148 B 15.7544647401 0.023
5.79695415311238 B 15.8204339547 0.034
9.76902194231218 B 16.1615041444 0.024
15.8260701994327 B 16.8638254155 0.027
32.6707420035012 B 18.2732345753 0.035
61.4469460853416 B 19.1095419913 0.109
63.4331092958616 B 19.1765402742 0.065
-6.72872509136977 V 14.8657857428 0.013
-4.77986454999698 V 14.7080093803 0.01
-1.6910543344127 V 14.5558551364 0.012
1.14535110068613 V 14.5749511608 0.01
4.20534376093701 V 14.6400503455 0.025
8.17741155013681 V 14.8262752379 0.011
14.2356932821813 V 15.270707678 0.021
19.13577190059 V 15.419709971 0.013
27.015418624575 V 15.8718256418 0.013
31.0791316113258 V 16.1995578459 0.017
35.0649864670394 V 16.501517546 0.031
50.8773193368456 V 16.8768708799 0.019
59.8560519044102 V 17.2440438281 0.035
61.8421952201737 V 17.2094068265 0.021
-5.68569272528561 R 14.2597721525 0.015
-3.73679239439284 R 14.1523264975 0.011
-0.647992126190361 R 14.1204496428 0.017
2.18842325629028 R 14.1114318821 0.011
5.24839602178479 R 14.2169875967 0.021
9.22047375835915 R 14.5265264072 0.019
15.2787654377855 R 14.862577504 0.029
20.1788540035687 R 14.791151241 0.016
28.0591870966739 R 15.0448141699 0.015
32.12220376693 R 15.3577078329 0.016
36.1087350443747 R 15.6228642662 0.016
60.8998004817455 R 16.6005895173 0.032
62.8859636922654 R 16.6322608532 0.018
64.8671631609437 R 16.651956686 0.02
-3.24206947516351 I 13.8594367276 0.016
-1.29315919689617 I 13.7889191972 0.014
1.79566096606268 I 13.8167922225 0.016
4.63204650641238 I 13.9064704931 0.014
7.69203916665602 I 14.0276208599 0.013
11.6641169032376 I 14.2581684589 0.014
17.7224085826567 I 14.3621162183 0.02
22.6225070958217 I 14.2008449728 0.016
30.5031783997926 I 14.2221665807 0.019
34.5658270170449 I 14.5340800296 0.018
38.552706452737 I 14.9639439612 0.096
63.3437818374895 I 16.202684403 0.035
67.3111345693132 I 16.2883665253 0.021
