Phase Band Mag Sigma
-12.9049964523082 B 18.2641404274 0.029
-11.9522785934152 B 18.0181404274 0.029
-11.0091841472332 B 17.7402467662 0.034
-10.0564662883402 B 17.489105744 0.024
-9.05563136586381 B 17.3066249496 0.016
-8.03554961795828 B 17.1216340248 0.017
-7.13094882264161 B 17.0325297122 0.01
-6.17823096374858 B 16.9350003571 0.013
-5.22551310485555 B 16.8246337824 0.014
-4.26317183324445 B 16.795407505 0.02
-3.29120714891528 B 16.7242599501 0.035
-2.33848929002225 B 16.7343727529 0.029
-1.34727778025694 B 16.6502998427 0.018
-0.38493650864584 B 16.6575029519 0.019
0.567781350247188 B 16.6613600719 0.017
2.48284048075132 B 16.7206717082 0.017
4.38827619854437 B 16.7374015015 0.011
6.28408850361236 B 16.8243809122 0.01
8.2280178722707 B 16.9399903737 0.012
10.1238301773457 B 17.0680074643 0.015
12.067759545997 B 17.2247056953 0.017
14.9451599481123 B 17.5434112426 0.015
17.8129369375164 B 17.8233542007 0.012
20.6903373396316 B 18.1942720233 0.023
23.586984567183 B 18.4195923152 0.032
26.4451381438691 B 18.7691959392 0.062
29.3225385459843 B 18.9188836923 0.045
35.0773393502218 B 19.2535393815 0.07
38.9459512620953 B 19.4999903719 0.071
42.7664461103925 B 19.5710568252 0.07
46.6061877841188 B 19.7466745993 0.065
50.4170592196979 B 19.8392425665 0.104
54.3049179570076 B 19.9277636812 0.107
58.1061659798757 B 20.1457795259 0.09
61.9555310663201 B 20.0626240712 0.067
65.7856493273283 B 20.1147171673 0.102
69.6253910010616 B 19.9641390957 0.13
70.626225923531 B 20.0947303821 0.065
-15.7920202671415 V 18.2287927225 0.044
-14.8393024082485 V 17.9747927225 0.027
-13.8962079620665 V 17.7376261257 0.023
-12.9434901031735 V 17.488743967 0.011
-11.9426551806971 V 17.3144686344 0.015
-10.9225734327916 V 17.1694715638 0.018
-10.0179726374749 V 17.0696640279 0.013
-9.06525477858188 V 16.9780019382 0.014
-8.11253691968885 V 16.9306132335 0.016
-7.15019564807775 V 16.863933906 0.057
-6.17823096374858 V 16.8218336909 0.083
-5.22551310485555 V 16.7760224664 0.029
-4.23430159509024 V 16.7017142309 0.015
-3.27196032347914 V 16.7432644944 0.013
-2.31924246458611 V 16.7168382042 0.013
-0.404183334081983 V 16.7314398082 0.021
1.50125238371107 V 16.7328538157 0.012
3.39706468877906 V 16.7613160535 0.013
5.3409940574374 V 16.8098538339 0.013
7.23680636251239 V 16.9062561975 0.014
9.18073573116373 V 17.0300951212 0.015
12.058136133279 V 17.1835144456 0.011
14.9259131226831 V 17.3769756877 0.013
