Phase Band Mag Sigma
-3.76905041826714 B 17.10319914 0.013
-2.72263025073288 B 17.0398810738 0.011
-5.67779831646554 B 17.3693560122 0.018
-4.71857982955619 B 17.2218880544 0.021
-3.76905041826714 B 17.1042093819 0.02
-2.78076470448282 B 17.0882584369 0.018
-0.872016806284427 B 16.9824312032 0.022
0.106579831879599 B 17.0087680153 0.018
1.0561092431616 B 16.9911225776 0.022
2.0637731082006 B 17.0175029485 0.033
3.03268067073729 B 17.0429233235 0.021
6.01691596335197 B 17.1530985181 0.071
7.84815125654574 B 17.2664446133 0.021
8.81705881908243 B 17.3991325976 0.029
9.78596638161911 B 17.5548099869 0.041
10.7354957929011 B 17.6008224457 0.032
18.438310915072 B 18.4730399066 0.059
22.352697467721 B 19.0892875656 0.189
24.3292688952967 B 19.0584125356 0.104
26.2380167934881 B 19.0867797119 0.055
33.9795882181613 B 19.8208333336 0.104
37.8358403170533 B 19.9169640971 0.16
-8.61358823094352 V 17.3322687828 0.022
-7.65436974403417 V 17.2229149952 0.025
-6.70484033274512 V 17.1170668872 0.025
-5.7165546189608 V 17.0605319103 0.02
-3.80780672076241 V 16.9436138754 0.024
-2.82921008259838 V 16.889911629 0.015
-1.87968067131638 V 16.8679828304 0.018
-0.872016806277377 V 16.8901143294 0.056
0.0968907562593083 V 16.8203996787 0.02
3.08112604887399 V 16.9941453632 0.046
4.91236134206776 V 16.964937038 0.021
5.88126890460445 V 17.0321644814 0.021
6.85017646714113 V 17.0580601929 0.027
7.79970587842314 V 17.0942709332 0.025
13.7100420099026 V 17.4511485885 0.127
15.502521000594 V 17.6281362913 0.032
19.4169075532431 V 17.7778771101 0.056
21.3934789808188 V 17.9253542511 0.071
23.3022268790101 V 18.0090894391 0.037
31.0437983036833 V 18.5628913902 0.064
34.9000504025753 V 18.7567531823 0.144
-6.70484033274512 V 17.1188396013 0.014
-5.65842016521086 V 17.0310778011 0.015
-4.57324369516723 R 17.0156422365 0.01
-3.52682352763297 R 16.9668738235 0.011
-6.48199159336563 R 17.2376567151 0.028
-5.52277310645629 R 17.1710869421 0.021
-4.57324369516723 R 17.0615061941 0.019
-3.58495798138292 R 16.9930991177 0.019
-1.67621008318452 R 16.9337202449 0.014
-0.697613445020492 R 16.8686967657 0.017
0.251915966261512 R 16.8720733683 0.02
1.25957983130051 R 16.7907913749 0.077
2.2284873938372 R 16.8866404144 0.013
5.21272268645188 R 16.9892099421 0.028
7.04395797964565 R 16.9769680278 0.021
8.01286554218233 R 17.0872279577 0.024
8.98177310471902 R 17.0541434488 0.03
9.93130251600102 R 17.2449366113 0.037
15.8416386474804 R 17.4906569962 0.073
17.6341176381719 R 17.5763142176 0.034
21.548504190821 R 17.6524069099 0.045
23.5250756183966 R 17.6667477397 0.046
25.433823516588 R 17.6445852308 0.022
33.1753949412612 R 18.1088937502 0.044
37.0316470401532 R 18.273918178 0.061
-4.70889075392885 I 17.3769038724 0.035
-3.74967226701951 I 17.3347829116 0.035
-2.80014285573046 I 17.2339456641 0.027
-1.81185714194614 I 17.2039372545 0.029
0.0968907562522586 I 17.1266330958 0.037
1.07548739441628 I 17.1884561797 0.022
2.02501680569829 I 17.2420154243 0.039
4.00158823327397 I 17.3062730456 0.04
6.98582352588865 I 17.2061481442 0.152
8.81705881908243 I 17.4186453316 0.048
9.78596638161911 I 17.5559595577 0.049
10.7548739441558 I 17.5630872315 0.051
11.7044033554378 I 17.5931367035 0.127
17.6147394869172 I 17.730826922 0.141
19.4072184776087 I 17.5752604872 0.058
23.3216050302577 I 17.4288304614 0.085
25.2981764578334 I 17.4697767316 0.076
27.2069243560248 I 17.550648057 0.045
32.0417730930879 I 17.6400798488 0.075
34.948495780698 I 17.8427826865 0.082
38.80474787959 I 18.2555571981 0.145
-2.80014285573046 I 17.2414970775 0.019
-1.75372268819619 I 17.1961906732 0.018
