Phase Band Mag Sigma
-8.10596169840024 B 16.4245999022 0.013
-7.1287942534917 B 16.3067942285 0.009
-6.17337024191702 B 16.1974269743 0.008
-5.19029404336843 B 16.121572169 0.006
-4.23187665330411 B 16.0702101889 0.006
-3.26207077438573 B 16.0273357085 0.008
-2.24279127181325 B 15.9762434191 0.007
-1.27481847158313 B 15.9636571672 0.007
0.682529297574355 B 15.9514494705 0.009
1.70018048025331 B 15.9779639262 0.008
2.63732245706881 B 15.9963026021 0.009
3.61193529232851 B 16.0275850745 0.008
4.60224630142594 B 16.0665662273 0.009
5.56350106328726 B 16.1076431433 0.008
6.52765169945532 B 16.1723455895 0.008
7.45986971491002 B 16.2004588202 0.009
8.43353675957071 B 16.2597478516 0.009
9.46185490012186 B 16.3365857825 0.009
10.3694141071065 B 16.4048861621 0.009
11.3944171053538 B 16.4928335079 0.01
12.3355957554479 B 16.5700225615 0.009
13.3099063277299 B 16.6572563546 0.01
14.3505099956462 B 16.7833366722 0.011
15.2985626908089 B 16.9017628373 0.015
16.2011101826575 B 16.9655015668 0.028
18.1834287736845 B 17.1942480469 0.052
20.1331127138671 B 17.3436429912 0.024
21.1078328037245 B 17.3947010824 0.022
22.0395242965844 B 17.5165463371 0.024
23.0301180678229 B 17.5890278804 0.028
23.9093620593685 B 17.670433409 0.021
24.9506287557428 B 17.7486203033 0.02
25.9585880223928 B 17.8610849627 0.011
29.8680475859475 B 18.1310985028 0.014
31.8053874962623 B 18.265068768 0.017
37.6734623833735 B 18.6093479163 0.02
38.6463688953862 B 18.6315744809 0.019
39.6232828294192 B 18.6888026138 0.022
46.3626941186475 B 18.9510305462 0.063
47.3641498561382 B 18.9370034358 0.052
48.3107887406097 B 18.9745465379 0.055
49.2996761886013 B 19.0285408817 0.045
50.2759075933397 B 19.0837042631 0.036
51.2358752999513 B 19.0272070099 0.03
52.2017517601957 B 19.0567049004 0.025
53.174356009238 B 19.0916023983 0.016
57.0615943689377 B 19.1553555337 0.019
58.0953337422073 B 19.1539541452 0.019
59.0643010851243 B 19.2154400052 0.021
64.860905404365 B 19.2724629928 0.017
66.7919952964031 B 19.3482484637 0.022
68.7293839588129 B 19.2776974264 0.03
70.7157392231115 B 19.3457864997 0.035
71.6866664001581 B 19.3510453661 0.052
72.620580988445 B 19.3701682397 0.04
-11.0310872594149 V 16.4539157189 0.008
-10.0539198145064 V 16.3087542843 0.008
-9.09849580293173 V 16.2232864136 0.007
-8.11541960438313 V 16.1510157236 0.006
-7.15700221431881 V 16.098753963 0.006
-6.18719633540043 V 16.0469028271 0.006
-5.16791683282796 V 16.002345175 0.006
-4.19994403259784 V 15.9779193823 0.007
-2.24259626344035 V 15.9411015656 0.009
-1.22494508076139 V 15.9601291918 0.009
-0.287803103945894 V 15.9633492359 0.009
0.686809731313803 V 15.9692856053 0.008
1.67712074041123 V 15.9728690084 0.008
2.63837550227255 V 15.9881421517 0.008
3.60252613844061 V 15.9996894123 0.009
4.53474415389531 V 16.0428402272 0.009
5.50841119855601 V 16.0715698402 0.009
6.53672933910715 V 16.1032351693 0.009
7.44428854609177 V 16.1498460024 0.009
8.46929154433905 V 16.1811822816 0.009
9.41047019443319 V 16.2322908625 0.009
10.3847807667152 V 16.2897660799 0.009
11.4253844346315 V 16.3363270439 0.01
12.3734371297942 V 16.4004084991 0.012
13.2759846216428 V 16.437175037 0.023
15.2583032126698 V 16.5004066788 0.034
16.2262370112268 V 16.6004529362 0.025
17.2079871528524 V 16.6587170168 0.016
18.1827072427098 V 16.7207300765 0.016
19.1143987355697 V 16.7276645638 0.013
20.1049925068082 V 16.7437755266 0.015
20.9842364983538 V 16.8180981675 0.014
22.0255031947281 V 16.8573860583 0.012
23.0334624613781 V 16.9121522625 0.013
26.9429220249328 V 17.1115102393 0.012
28.8802619352475 V 17.2124055289 0.012
34.7483368223588 V 17.5587617387 0.013
35.7212433343715 V 17.6150379984 0.013
36.6981572684045 V 17.6658223701 0.013
43.4375685576328 V 17.9408132032 0.028
44.4390242951235 V 17.9681484414 0.027
45.385663179595 V 17.9742912835 0.029
46.3745506275866 V 18.0222853011 0.025
47.350782032325 V 18.1021620203 0.022
48.3107497389366 V 18.0773762307 0.02
49.276626199181 V 18.1283332043 0.016
50.2492304482233 V 18.1405178989 0.015
54.136468807923 V 18.2479993496 0.015
55.1702081811926 V 18.2759677849 0.014
56.1391755241096 V 18.2958334685 0.017
61.9357798433502 V 18.4400507193 0.014
63.8668697353884 V 18.4746106949 0.016
65.8042583977982 V 18.548412494 0.021
67.7906136620967 V 18.5400499277 0.027
68.7615408391434 V 18.6200140563 0.045
69.6954554274302 V 18.6664041954 0.03
-10.0607548579018 r 16.5378049599 0.008
-9.08358741299326 r 16.4661573898 0.006
-8.12816340141858 r 16.3628504917 0.009
-7.14508720286998 r 16.3104914601 0.004
-6.18666981280566 r 16.2444988351 0.004
-5.21686393388728 r 16.2228342799 0.004
-4.19758443131481 r 16.2025156634 0.006
-3.22961163108468 r 16.1744828252 0.006
-1.2722638619272 r 16.1636842108 0.008
-0.25461267924824 r 16.1541493793 0.008
0.68252929756726 r 16.1493836688 0.008
1.65714213282696 r 16.162548998 0.007
2.64745314192439 r 16.1522492994 0.006
3.60870790378571 r 16.1807284487 0.008
4.57285853995377 r 16.2057036137 0.007
5.50507655540846 r 16.2421998316 0.009
6.47874360006916 r 16.2798986074 0.007
7.50706174062031 r 16.3420862333 0.009
8.41462094760492 r 16.3908660645 0.007
9.4396239458522 r 16.455969677 0.008
10.3808025959463 r 16.507275167 0.008
11.3551131682284 r 16.5777980188 0.008
12.3957168361447 r 16.6220746741 0.009
13.3437695313074 r 16.6887461049 0.01
14.2463170231559 r 16.7097320206 0.011
16.228635614183 r 16.7099574525 0.029
17.1965694127399 r 16.7523570418 0.017
18.1783195543656 r 16.7681380147 0.012
19.1530396442229 r 16.7911447454 0.011
20.0847311370828 r 16.8049815644 0.012
21.0753249083213 r 16.824358912 0.009
21.954568899867 r 16.8416279667 0.009
22.9958355962412 r 16.8758417134 0.009
24.0037948628912 r 16.8818684078 0.01
27.9132544264459 r 16.9900241825 0.008
29.8505943367607 r 17.0418164524 0.009
35.7186692238719 r 17.392138438 0.009
36.6915757358847 r 17.4359499385 0.009
37.6684896699177 r 17.5294852 0.01
44.4079009591459 r 17.8734258134 0.021
45.4093566966366 r 17.8725305213 0.017
46.3559955811082 r 17.8954397544 0.016
47.3448830290997 r 17.9523664864 0.014
48.3211144338382 r 17.9780319114 0.012
49.2810821404497 r 18.0183655008 0.012
50.2469586006942 r 18.0507869091 0.012
51.2195628497364 r 18.0860762221 0.012
55.1068012094362 r 18.1978452681 0.011
56.1405405827058 r 18.2186226625 0.011
57.1095079256228 r 18.2542907458 0.011
62.9061122448634 r 18.4193531129 0.009
64.8372021369015 r 18.4844776169 0.01
66.7745907993113 r 18.534406509 0.016
68.7609460636099 r 18.6091923413 0.017
69.7318732406565 r 18.6464334402 0.035
70.6657878289434 r 18.6244792195 0.021
-5.47315368511694 i 16.836576903 0.03
-4.4959862402084 i 16.7457244777 0.007
-3.54056222863372 i 16.6612191305 0.009
-2.55748603008513 i 16.6092043384 0.006
-1.59906864002081 i 16.5361101101 0.007
-0.629262761102427 i 16.5229372287 0.007
0.390016741470046 i 16.5180262907 0.004
1.35798954170017 i 16.530288805 0.008
3.31533731085766 i 16.5905111848 0.009
4.33298849353661 i 16.6180222745 0.01
5.27013047035211 i 16.6605635676 0.011
6.24474330561181 i 16.6730431088 0.01
7.23505431470924 i 16.7176378733 0.01
8.19630907657056 i 16.7684413759 0.011
9.16045971273862 i 16.788751442 0.015
10.0926777281933 i 16.8058992993 0.012
11.066344772854 i 16.872097366 0.012
12.0946629134052 i 16.8941381681 0.012
13.0022221203898 i 16.9735517054 0.012
14.0272251186371 i 17.0076837297 0.012
14.9684037687312 i 17.0263515774 0.013
15.9427143410132 i 17.0612837231 0.011
16.9833180089295 i 17.0852481744 0.014
17.9313707040922 i 17.0598695221 0.02
18.8339181959408 i 17.0887581094 0.029
20.8162367869678 i 17.0933770493 0.072
21.7841705855248 i 17.0286437625 0.035
22.7659207271504 i 16.9994906194 0.019
23.7406408170078 i 16.9614394235 0.017
24.6723323098677 i 16.9892998606 0.016
25.6629260811062 i 17.0032090645 0.013
26.5421700726518 i 16.9614045191 0.013
27.5834367690261 i 16.9558908769 0.015
28.5913960356761 i 16.9850584516 0.015
32.5008555992308 i 17.024552827 0.012
34.4381955095456 i 17.0246382796 0.012
40.3062703966568 i 17.2671892644 0.012
41.2791769086695 i 17.3290956404 0.012
42.2560908427025 i 17.3929575167 0.013
48.9955021319308 i 17.8565229519 0.029
49.9969578694215 i 17.8600488936 0.019
50.943596753893 i 17.9464186907 0.021
51.9324842018846 i 17.9594258446 0.02
52.908715606623 i 18.0015895146 0.017
53.8686833132346 i 18.0643457068 0.017
54.834559773479 i 18.1137203293 0.016
55.8071640225213 i 18.1614762761 0.016
59.694402382221 i 18.3381625384 0.018
60.7281417554906 i 18.3966514728 0.016
61.6971090984076 i 18.4327253084 0.02
67.4937134176483 i 18.6786178962 0.023
69.4248033096864 i 18.7042058621 0.019
71.3621919720962 i 18.7751031278 0.021
73.3485472363948 i 18.850286148 0.027
74.3194744134414 i 18.8136067503 0.053
75.2533890017283 i 18.968365327 0.037
