Phase Band Mag Sigma
-1.29629406594973 B 18.5149674843 0.01
-0.370353860819611 B 18.4819244498 0.014
0.591834728428466 B 18.5173576762 0.009
1.51109930521419 B 18.5106836001 0.012
2.4334748544263 B 18.5202071446 0.009
3.35424862319378 B 18.5528510847 0.011
4.29394747424929 B 18.6123021441 0.011
5.21881365317648 B 18.6583783824 0.011
6.16878982386607 B 18.6190708944 0.036
7.08186023232777 B 18.7528586313 0.015
7.95664531042783 B 18.8011498201 0.014
9.80975714726775 B 18.9328776353 0.029
10.7182999797774 B 19.0488045466 0.06
11.6910529129113 B 19.105882732 0.045
12.6123544359272 B 19.149024793 0.04
13.55408097437 B 19.2448229813 0.039
14.4531427480465 B 19.2513043854 0.068
15.4031189187361 B 19.4299925437 0.037
16.3486230665648 B 19.6006928494 0.05
17.2634433970185 B 19.6771590258 0.041
20.9171786697626 B 20.0951481984 0.037
28.3604301994823 B 20.7909840129 0.049
29.2757782841911 B 20.8370988286 0.042
30.21114399507 B 20.7733252301 0.062
35.7051583433842 B 21.1083742902 0.158
36.5875171579353 B 21.2286146594 0.226
37.5501038775906 B 21.1703281266 0.274
39.4439916745005 B 21.346543882 0.284
40.355358455205 B 21.173419556 0.211
41.2804561052927 B 21.7635471177 0.311
42.2260158061925 B 21.5762693829 0.255
43.0910142835218 B 21.4978411756 0.183
46.8588833573269 B 21.6971470327 0.139
47.7849068920703 B 21.4872740517 0.096
48.7191152471398 B 21.6615968916 0.204
49.6212972520923 B 21.5454895807 0.077
50.5178035841263 B 21.6067614081 0.054
54.2758490217755 B 21.6161587438 0.072
56.062510117136 B 21.5842233155 0.078
57.0258375445144 B 21.7564265837 0.068
58.8026287094774 B 21.6493068394 0.064
59.8042414672174 B 21.716586277 0.125
60.7403756623617 B 21.5926646535 0.073
61.6829169792979 B 21.9043746309 0.233
-3.61100569606387 V 18.554148967 0.017
-2.68506549093376 V 18.5234939289 0.016
-1.72287690168568 V 18.5369589931 0.011
-0.803612324899961 V 18.5350599197 0.013
0.118763224312147 V 18.5532473961 0.011
1.03953699307963 V 18.5563149012 0.013
1.97923584413514 V 18.5606410432 0.013
2.90410202306233 V 18.5940190834 0.013
3.85407819375192 V 18.6200697378 0.033
4.76714860221362 V 18.6458416704 0.014
5.64193368031369 V 18.6555446721 0.015
7.49504551715361 V 18.7537538345 0.028
8.40358834966329 V 18.8222177299 0.044
9.37634128279717 V 18.7489231327 0.033
10.2976428058131 V 18.8596223801 0.029
11.2393693442559 V 18.9408177646 0.034
12.1384311179323 V 18.8608259985 0.051
13.0884072886219 V 19.0345368201 0.028
14.0339114364507 V 19.1250743927 0.031
14.9487317669043 V 19.171487176 0.026
18.6024670396484 V 19.3557350233 0.021
26.0457185693681 V 19.7728028641 0.032
26.9610666540769 V 19.8247070518 0.031
27.8964323649558 V 19.8066268806 0.032
33.3904467132701 V 20.2897686987 0.082
34.2728055278212 V 20.2818185568 0.093
36.2123579557751 V 20.2889159593 0.156
37.1292800443863 V 20.2804531221 0.09
38.0406468250909 V 20.5114537885 0.124
38.9657444751786 V 20.3479579386 0.095
39.9113041760783 V 20.5024032434 0.081
40.7763026534076 V 20.5985943084 0.097
44.5441717272128 V 20.626112988 0.083
45.4701952619561 V 20.6150976291 0.051
46.4044036170256 V 20.6648307258 0.058
47.3065856219781 V 20.6667816461 0.047
48.2030919540121 V 20.7070066039 0.032
51.9611373916614 V 20.8135512658 0.04
53.7477984870219 V 20.7978521106 0.036
54.7111259144002 V 20.8608061609 0.046
56.4879170793632 V 20.8526561606 0.044
57.4895298371033 V 20.9267753706 0.071
58.4256640322475 V 20.9183441641 0.046
59.3682053491837 V 20.9698223179 0.124
-2.96288643962787 r 18.6908125565 0.018
-2.03694623449776 r 18.6106415497 0.018
-1.07475764524968 r 18.6289984048 0.011
-0.155493068463957 r 18.6265900634 0.011
0.766882480748151 r 18.6158421421 0.011
1.68765624951563 r 18.6246173598 0.01
2.62735510057114 r 18.6288190843 0.011
3.55222127949834 r 18.6755020993 0.012
4.50219745018792 r 18.6668267319 0.022
5.41526785864962 r 18.7201533859 0.013
6.29005293674969 r 18.7342109638 0.015
7.20113269320925 r 18.8855494955 0.076
8.14316477358961 r 18.8151699534 0.018
9.05170760609929 r 18.8701843324 0.039
10.0244605392332 r 18.8928022516 0.022
10.9457620622491 r 18.9747004504 0.023
11.8874886006919 r 19.0014199248 0.025
12.7865503743683 r 19.1312851223 0.022
13.7365265450579 r 19.1720212025 0.022
14.6820306928867 r 19.2018256089 0.021
15.5968510233403 r 19.2212383915 0.019
19.2505862960844 r 19.4891106907 0.015
26.6938378258041 r 19.8070181683 0.019
27.609185910513 r 19.8691676388 0.017
28.5445516213918 r 19.9428442495 0.022
34.0385659697061 r 20.2252181447 0.043
34.9209247842572 r 20.1753212487 0.042
35.8835115039124 r 20.3131065724 0.056
36.8604772122111 r 20.4911915986 0.073
37.7773993008223 r 20.4683653526 0.054
