Phase Band Mag Sigma
-6.17209831655084 B 15.4452894659 0.011
-5.16783674997081 B 15.2572816109 0.01
-1.18239997634913 B 14.9618489899 0.01
3.66645482001201 B 15.0537014158 0.01
9.56318203540948 B 15.5197358073 0.01
19.4839513836563 B 16.7786156076 0.016
20.3877286589204 B 16.8827821281 0.018
20.4041837252581 B 16.824770439 0.017
22.4596875508079 B 17.1083085535 0.023
29.2311641220449 B 17.6393970157 0.029
30.2661188213469 B 17.6915773069 0.029
30.2822782876908 B 17.6865876885 0.029
31.2614040014407 B 17.735262576 0.03
32.2321642353649 B 17.8093570479 0.024
33.2499642816691 B 18.0403120572 0.038
36.1999044226764 B 18.0722814591 0.09
37.2081664425091 B 17.9365072828 0.035
38.1526281302866 B 18.0886847433 0.035
38.1691324632924 B 18.0616836361 0.035
39.1193484976195 B 18.0306124007 0.038
39.135774003955 B 18.0446017278 0.037
39.1524458436233 B 18.0795908947 0.032
40.1287140907642 B 18.0839537764 0.045
40.1451198904339 B 18.0639395929 0.043
41.0969814313999 B 18.0791131736 0.042
41.1161363110132 B 17.9350914187 0.038
41.132719470682 B 18.0180725846 0.044
48.0232144528728 B 18.2093654041 0.054
49.0014336599756 B 18.274825371 0.046
58.844913463104 B 18.4866001996 0.055
59.7518536583002 B 18.5682083095 0.058
65.6319878606995 B 18.478 0.058
66.5883228149039 B 18.638 0.062
77.4850352503027 B 18.766 0.077
77.5031949432765 B 18.874 0.079
79.3721456125635 B 18.889 0.074
81.3768850658016 B 18.956 0.082
83.3644994260514 B 19.037 0.064
89.3270666134654 B 19.195 0.104
-6.66519852003272 V 15.3847780701 0.022
-6.66474526670557 V 15.3647818029 0.012
-5.66087783344821 V 15.2540491027 0.01
-5.66048370012554 V 15.2430488024 0.01
-1.67620961980608 V 14.9760122217 0.011
-1.67506663316247 V 14.9710101993 0.011
3.1732166698697 V 14.9914315577 0.012
3.17381772319375 V 14.9944301643 0.013
9.07013109859561 V 15.3327605765 0.013
9.07051537858897 V 15.3297583667 0.009
9.08664528493063 V 15.3716656096 0.029
15.9499352143348 V 15.7681882116 0.011
15.9745882538427 V 15.7389769017 0.011
17.9340713479857 V 15.8471826418 0.012
17.9502603743318 V 15.8330495291 0.012
18.9872547135881 V 15.9155097092 0.012
19.891031988845 V 15.9574206269 0.011
19.9074870551827 V 15.949323114 0.011
21.9670504539897 V 16.1051181176 0.012
28.7385073185609 V 16.5961225387 0.015
29.7694320046151 V 16.6707526224 0.015
29.7855914709519 V 16.6678072672 0.015
30.7647171847089 V 16.737095728 0.016
31.7395271385395 V 16.7766522064 0.015
32.7362410519414 V 16.8087087861 0.016
32.7532873182667 V 16.8185768094 0.015
34.6982268927023 V 16.8846951868 0.019
36.7114894791066 V 16.9726424467 0.019
37.6559117535455 V 17.0245401417 0.019
37.6724259398877 V 17.0166039646 0.015
38.6226518275441 V 17.0242763957 0.022
38.6390674805503 V 17.024340166 0.019
38.6557393202187 V 17.0314049315 0.019
39.6320075673596 V 17.0611930419 0.023
39.648433073695 V 17.0952343709 0.02
40.6002946146609 V 17.0886286195 0.023
40.619439640945 V 17.1446722714 0.025
40.6360326539431 V 17.0517101046 0.02
41.5823467683537 V 17.1618677627 0.023
