Phase Band Mag Sigma
20.3407206903215 B 17.6044081648 0.015
-6.81909547498441 B 16.6528582808 0.022
-5.76029005222736 B 16.5302441141 0.012
-4.86661942018033 B 16.448263704 0.013
-3.92437973204088 B 16.3588002396 0.011
-2.88500193172363 B 16.3333675595 0.012
-1.02966398910442 B 16.2890896101 0.014
0.971381121792087 B 16.2827915291 0.014
2.88500193172363 B 16.3318981016 0.011
10.685192339713 B 16.6230317557 0.029
12.5988131496445 B 16.7954437091 0.019
14.4541510922637 B 16.9899233282 0.022
18.3785308243046 B 17.3930853281 0.039
20.4087173688467 B 17.5511732078 0.025
25.2364815441545 B 18.0519531892 0.03
31.0453406524742 B 18.4521857773 0.059
32.9006785950935 B 18.4675164912 0.088
37.8158670713662 B 18.7727454414 0.139
40.68144138065 B 19.01892502 0.091
43.5664433123737 B 19.1199601083 0.058
46.5000143001827 B 19.0780884107 0.075
-10.0246531768941 V 16.5928045786 0.019
-8.965847754137 V 16.5227154812 0.013
-8.07217712208998 V 16.4444110671 0.015
-7.12993743395052 V 16.3524575461 0.012
-6.09055963363327 V 16.3055603213 0.01
-4.23522169101406 V 16.2486666811 0.013
-2.23417658011756 V 16.2277570987 0.01
-0.320555770186017 V 16.2524993411 0.014
2.49644948300538 V 16.2482091376 0.026
7.47963463780331 V 16.3879199893 0.028
9.39325544773485 V 16.5368795877 0.01
11.2485933903541 V 16.6357467297 0.02
15.1729731223949 V 16.8431167678 0.023
17.203159666937 V 16.9358398801 0.024
22.0309238422448 V 17.1576565878 0.022
27.8397829505646 V 17.3671002917 0.034
29.6951208931838 V 17.5196348945 0.057
34.6103093694566 V 17.7022739668 0.081
37.4758836787404 V 17.955617572 0.048
40.360885610464 V 18.0985674732 0.038
43.294456598273 V 18.1937875171 0.073
17.1351629884118 V 16.970591865 0.01
17.7471330951312 R 17.0515648251 0.012
-9.41268307017465 R 16.6484091915 0.015
-8.3538776474176 R 16.5105932032 0.015
-7.46020701537058 R 16.4852022895 0.011
-6.51796732723112 R 16.3880615663 0.011
-5.47858952691387 R 16.3905008771 0.013
-3.62325158429466 R 16.3427322477 0.012
-1.62220647339816 R 16.2965413841 0.013
0.291414336533385 R 16.2823960357 0.012
3.10841958972478 R 16.3020480393 0.031
8.09160474452271 R 16.5062379443 0.072
10.0052255544543 R 16.70056886 0.016
11.8605634970735 R 16.8068277394 0.013
15.7849432291143 R 16.9694602819 0.024
17.8151297736564 R 17.0193385739 0.023
22.6428939489642 R 17.0467394518 0.016
28.451753057284 R 17.1473883435 0.02
30.3070909999032 R 17.2354948601 0.034
35.222279476176 R 17.408971933 0.074
38.0878537854598 R 17.664387462 0.036
40.9728557171834 R 17.8581859622 0.036
43.9064267049924 R 17.950621653 0.052
-5.26488568011848 I 16.6867862586 0.06
-4.20608025736143 I 16.589723354 0.024
-3.31240962531441 I 16.5442906592 0.024
-2.37016993717495 I 16.5056115997 0.022
-1.3307921368577 I 16.5564491648 0.019
0.524545805761507 I 16.5001304095 0.022
2.52559091665801 I 16.4943558104 0.026
4.43921172658955 I 16.6248736982 0.021
7.25621697978095 I 16.6828877965 0.069
12.2394021345789 I 16.7008023783 0.079
14.1530229445104 I 17.0195159403 0.032
16.0083608871296 I 17.1717612686 0.052
19.9327406191705 I 17.2403239711 0.046
21.9629271637126 I 17.1393523364 0.044
26.7906913390204 I 17.0456722994 0.042
32.5995504473402 I 16.9497650712 0.033
34.4548883899594 I 16.9225836732 0.045
39.3700768662321 I 17.1462334407 0.113
42.235651175516 I 17.3169610875 0.036
45.1206531072396 I 17.5963849078 0.054
48.0542240950486 I 17.7098552768 0.08
21.8949304851874 I 17.1552506275 0.024
