Phase Band Mag Sigma
65.2510643548946 B 20.3232526516 0.06
-5.41943365851041 B 17.037 0.009
-4.44020397492795 B 16.935 0.009
-3.43579409948763 B 16.855 0.01
-0.580857943801158 B 16.758 0.01
1.43540646973846 B 16.783 0.011
2.35114838006191 B 16.823 0.009
6.26213268239778 B 17.087 0.009
7.23310450221344 B 17.2692632098 0.009
10.0988930204802 B 17.5571083351 0.009
11.0958001474897 B 17.6591083351 0.01
14.0057435504517 B 18.0316757371 0.012
17.9010350073378 B 18.552592477 0.017
27.5578370467989 B 19.3149983558 0.078
32.3663824058189 B 19.6453242529 0.058
37.2252978295306 B 19.8656891789 0.049
41.090142649201 B 20.0395625936 0.031
48.787865739692 B 20.1639890183 0.047
56.5396473428198 B 20.1352792616 0.116
-5.78993389795144 V 17.114 0.009
-4.81070421436898 V 17.019 0.011
-3.80629433892867 V 16.942 0.01
-0.951358183242193 V 16.815 0.006
1.06490623029743 V 16.798 0.012
1.98064814062088 V 16.803 0.01
5.89163244295675 V 16.95 0.009
6.8626042627724 V 17.0636081966 0.009
9.72839278103916 V 17.2062136445 0.009
10.7252999080487 V 17.2732136445 0.009
13.6352433110106 V 17.4990352239 0.011
17.5305347678968 V 17.5832631964 0.011
27.1873368073579 V 18.3224356216 0.027
31.9958821663778 V 18.6397347737 0.033
36.8547975900895 V 18.9062045053 0.028
40.7196424097599 V 19.0407626083 0.021
48.417365500251 V 19.1495101051 0.022
56.1691471033788 V 19.3290827439 0.054
60.0440020416146 V 19.3841903863 0.092
64.8805641154536 V 19.5800045834 0.051
-6.27398218445475 r 17.146 0.008
-5.29475250087229 r 17.055 0.011
-4.29034262543198 r 16.963 0.01
-1.43540646974551 r 16.859 0.012
0.580857943794114 r 16.828 0.011
1.49659985411757 r 16.848 0.011
5.40758415645344 r 17.013 0.01
6.37855597626909 r 17.1863229553 0.008
9.24434449453584 r 17.4375989197 0.008
10.2412516215454 r 17.5035989197 0.008
13.1511950245073 r 17.6437376948 0.009
17.0464864813934 r 17.5861648851 0.009
26.7032885208545 r 18.1081301227 0.018
31.5118338798745 r 18.5392619077 0.016
36.3707493035862 r 18.760742044 0.014
40.2355941232566 r 18.955890455 0.018
47.9333172137477 r 19.1595523184 0.028
55.6850988168755 r 19.3806999171 0.031
59.5599537551113 r 19.4534264256 0.064
64.3965158289503 r 19.6401708796 0.046
-2.3708781882212 i 17.383 0.011
-1.39164850463874 i 17.304 0.013
-0.387238629198424 i 17.3 0.014
2.46769752648805 i 17.376 0.014
4.48396194002767 i 17.459 0.017
5.39970385035112 i 17.464 0.013
9.31068815268699 i 17.736 0.015
10.2816599725026 i 17.9179951041 0.015
13.1474484907694 i 18.1633013928 0.017
14.1443556177789 i 18.2353013928 0.017
17.0542990207409 i 18.3375510229 0.013
20.949590477627 i 18.2484569834 0.016
30.6063925170881 i 18.1633960472 0.021
35.4149378761081 i 18.6330465924 0.023
40.2738532998198 i 18.9554156306 0.027
44.1386981194902 i 19.0397393183 0.03
51.8364212099812 i 19.2653504556 0.033
59.588202813109 i 19.5777134284 0.054
63.4630577513449 i 19.8114782205 0.087
