Phase Band Mag Sigma
-7.44100199088885 B 17.7120573582 0.03
-2.74572173976732 B 16.6906140541 0.015
-0.765747318912769 B 16.578101678 0.024
1.1800546850293 B 16.5493052462 0.019
8.10571696116842 B 17.3741896544 0.022
9.11749584812022 B 17.5702728101 0.029
19.0117135237115 B 18.7142640126 0.085
19.9637128070742 B 18.9441631263 0.098
20.9765537432372 B 18.8424081227 0.091
22.9539615451558 B 19.0899845017 0.089
40.5988963975116 B 19.561 0.132
41.5404718644885 B 19.594 0.139
48.4378226619792 B 19.83 0.282
52.3990302286968 B 19.528 0.295
-10.4479976717044 V 17.4565953242 0.031
-5.7527272543752 V 16.4648193352 0.014
-3.77274299972827 V 16.2992053074 0.024
-2.65512304131951 V 16.1707920339 0.017
-1.82696066336379 V 16.1774288034 0.021
2.13850493400516 V 16.1850041974 0.026
4.26824796196991 V 16.2729710098 0.02
5.09873111414529 V 16.3734593568 0.019
6.11051000108993 V 16.5374783756 0.022
16.004717842896 V 17.590014219 0.028
16.9567269600511 V 17.7239975741 0.027
17.9695678962141 V 17.7374460158 0.03
19.9469855319179 V 17.8624939276 0.035
25.8262638174787 V 18.2699803906 0.06
28.7369572022102 V 18.3498880451 0.048
30.7134111265908 V 18.4130761021 0.048
31.658713599617 V 18.4937016221 0.083
37.5872099993236 V 18.738 0.053
38.5334958512506 V 18.826 0.066
49.3920443816665 V 19.212 0.116
54.317563135624 V 19.4 0.317
68.0333879086999 V 19.75 0.162
-10.5214069069047 r' 17.5466588085 0.019
-1.9003502309865 r' 16.2763078553 0.014
2.06509569880486 r' 16.263839692 0.022
4.19482889298439 r' 16.3875033334 0.019
5.02533171273021 r' 16.4341815812 0.024
6.03708109831204 r' 16.545576534 0.024
15.9312987739105 r' 17.4056930516 0.018
16.8833177248437 r' 17.4817982238 0.017
17.8961488272214 r' 17.5257038177 0.018
19.8735664629252 r' 17.6822670725 0.018
25.752844748486 r' 18.0623510958 0.038
28.6565266416325 r' 18.2621406158 0.031
30.6330002335907 r' 18.225403437 0.035
31.5783322079797 r' 18.2574021576 0.056
37.5067991063234 r' 18.6 0.045
38.4600669484727 r' 18.611 0.059
45.357407912171 r' 18.647 0.139
47.320183036 r' 18.9 0.169
49.3186154788886 r' 19.044 0.166
54.2441440666385 r' 19.033 0.318
56.1602873628209 r' 19.537 0.267
58.1166508561919 r' 19.609 0.275
59.1146034357495 r' 19.043 0.297
67.9529671819146 r' 19.691 0.286
-13.0047631550212 i' 17.5712563471 0.034
-6.32953798441508 i' 16.5053931034 0.03
-5.2119081922211 i' 16.466826414 0.023
-4.38371631289542 i' 16.4949025744 0.029
-0.418280216896437 i' 16.6208887237 0.046
1.71146281107547 i' 16.5521930756 0.023
2.5419459632437 i' 16.5457779289 0.035
3.55371501640312 i' 16.5813963285 0.025
13.4479228582092 i' 17.1281343878 0.035
14.3999418091495 i' 17.2040987895 0.029
15.4127729115201 i' 17.3318114015 0.041
17.3901905472311 i' 17.5055528951 0.031
23.2694589989995 i' 18.0403695092 0.065
26.173868592531 i' 18.15593662 0.048
28.1503225169187 i' 18.2273235876 0.045
35.0241312234367 i' 18.641 0.099
35.9767008665638 i' 18.601 0.155
42.8740319964769 i' 18.798 0.2
44.8375151531133 i' 19.005 0.169
46.8352395631945 i' 19.283 0.21
51.7607878185148 i' 19.022 0.338
55.63397313952 i' 19.562 0.265
56.6319355528628 i' 19.376 0.281
65.4702894652355 i' 19.797 0.271
