Phase Band Mag Sigma
-3.85861715683787 B 16.3928902527 0.02
0 B 16.2794232829 0.025
4.96485013960934 B 16.4508452725 0.021
6.89563876233649 B 16.5384522219 0.017
14.7232267424546 B 17.3951241792 0.02
15.7028499946105 B 17.5502090926 0.021
16.5795149172074 B 17.5951329974 0.02
17.6450686624589 B 17.785309905 0.021
18.6205692829516 B 17.8406666628 0.02
26.2683343223594 B 18.8711168217 0.173
30.3446596464035 B 18.8975410676 0.075
31.2610952644771 B 19.0060628147 0.063
36.0265448476266 B 19.1176074595 0.07
44.9520619315824 B 19.4239604465 0.084
46.8869536474274 B 19.3234296934 0.09
49.7541755825664 B 19.5553242232 0.125
62.3482779961899 B 19.6624971826 0.13
74.2148336144014 B 19.927 0.261
75.0912445359948 B 19.713 0.262
76.0767000419439 B 19.766 0.255
76.9259523947809 B 19.933 0.286
78.9330390110379 B 19.721 0.256
82.8878639323185 B 19.957 0.283
-5.54525220026385 V 16.2950738514 0.021
-5.53238607254 V 16.2800402889 0.017
-5.51980325363757 V 16.2800074655 0.019
-5.50720089618985 V 16.2959745911 0.018
-3.57709612232042 V 16.1288460851 0.016
-1.66077578748365 V 16.1235937268 0.018
3.30008849023691 V 16.1671366683 0.018
5.23489228266367 V 16.2036851638 0.014
13.058494400893 V 16.6890812298 0.015
14.0380981145036 V 16.7246903098 0.016
15.980316782352 V 16.8410745468 0.015
16.9558076335791 V 16.9002800473 0.016
19.8655551981355 V 17.0315968465 0.018
24.6036019807978 V 17.5903693102 0.044
27.6088929994844 V 17.6711201451 0.03
28.6799077662966 V 17.7793151804 0.05
29.5963531536429 V 17.7822147932 0.029
34.3657983679537 V 18.0298881477 0.043
43.2873002822099 V 18.3072017057 0.032
45.2215276877426 V 18.430208747 0.026
48.0934095643483 V 18.4048629947 0.034
49.9826690231196 V 18.5576275163 0.043
52.8556352886194 V 18.5877700053 0.05
55.8391994522996 V 18.70516029 0.097
60.6828324979668 V 18.7869175753 0.038
72.5519965110932 V 19.198 0.055
73.4330771434332 V 19.174 0.054
74.4185424186478 V 19.176 0.057
75.2677752329467 V 19.2 0.051
77.2748716184692 V 19.393 0.251
-4.26797884991197 r' 16.4590613637 0.021
-4.25538626173689 r' 16.4461932052 0.022
-4.24278390428917 r' 16.381325149 0.016
-4.22996662291433 r' 16.440459343 0.02
-3.2567813192567 r' 16.3156483682 0.019
-2.31268889968528 r' 16.296600971 0.018
-2.29628629646505 r' 16.3807421445 0.022
-0.390770773520546 r' 16.2691279033 0.015
4.56451525141023 r' 16.3950804126 0.019
6.50487775808148 r' 16.4936228626 0.016
12.2947524625771 r' 16.9789665405 0.017
15.3025053371388 r' 17.0282870394 0.02
16.1887539129524 r' 16.989186227 0.016
17.2446849279108 r' 16.9772728051 0.017
18.2202246254798 r' 17.0149704116 0.019
21.1355504428331 r' 17.0528743885 0.024
25.8680189726985 r' 17.2769375648 0.023
29.9443345274699 r' 17.5500424825 0.032
35.6357643048405 r' 17.8921052068 0.031
44.5517075048451 r' 18.2986654264 0.03
45.5042991887392 r' 18.3499779383 0.044
46.4845476741312 r' 18.4878143293 0.027
49.3634048090459 r' 18.421241112 0.029
51.2457280865775 r' 18.6103172453 0.032
54.1186845828118 r' 18.7831510108 0.037
57.102248746499 r' 18.6776630473 0.059
61.9458524843554 r' 18.8685752933 0.039
73.8226560660961 r' 19.199 0.055
74.6960873605491 r' 19.19 0.043
75.6815526357638 r' 19.268 0.053
78.5379111433889 r' 19.359 0.084
82.492726295404 r' 19.29 0.18
83.4186185661926 r' 19.494 0.158
-1.67505845925773 i' 16.7447373426 0.021
-1.66220210081363 i' 16.7745842125 0.025
-1.64961928190409 i' 16.7604343406 0.027
-1.63701692445637 i' 16.710284236 0.019
-1.62419964308864 i' 16.7921315714 0.023
-0.651014339431009 i' 16.7285333433 0.024
0.29307808014041 i' 16.6932196956 0.021
2.2149864370396 i' 16.7785404022 0.02
7.17028223123592 i' 17.0229076143 0.029
9.11063496864163 i' 17.1117200206 0.02
14.9005194424028 i' 17.4606434437 0.025
16.928688141892 i' 17.3742620977 0.024
17.9082723169644 i' 17.3569687034 0.028
18.7945111235125 i' 17.3245341789 0.025
19.8504812155473 i' 17.2346408212 0.028
20.8259916053055 i' 17.2037289163 0.022
23.7413271919314 i' 17.1277412428 0.025
28.4737761832586 i' 17.1305546348 0.028
32.5501015072956 i' 17.5234305026 0.031
38.241560592477 i' 17.8757571025 0.037
47.157494023209 i' 18.3895657059 0.033
49.0910082720801 i' 18.4935994429 0.033
51.9691913274098 i' 18.5968502556 0.04
53.8521789152609 i' 18.6993563526 0.04
56.7251354114952 i' 18.961305162 0.05
59.7086898059098 i' 19.1233349104 0.089
64.5523130823044 i' 19.3711140395 0.075
76.4291362025904 i' 19.628 0.214
77.3025577277707 i' 19.925 0.199
78.2880230029854 i' 19.804 0.13
79.137285125088 i' 19.836 0.131
85.0991868933529 i' 20.023 0.148
