Phase Band Mag Sigma
-9.42097929475986 B 17.7277650379 0.027
-5.5527195747858 B 16.971707298 0.019
-2.6607123476977 B 16.6193571921 0.021
-1.66202255038294 B 16.5061631516 0.015
2.26799597224378 B 16.6185360525 0.019
4.22547724906235 B 16.6134179947 0.016
-13.8352036459236 V 17.4779822014 0.025
-11.9914731477703 V 17.0724526141 0.047
-9.97157803588803 V 16.7942114234 0.017
-7.07698000893986 V 16.469983372 0.014
-6.07828043501854 V 16.4091064787 0.014
-4.99573671173764 V 16.378091897 0.025
-2.1508527122519 V 16.3280643434 0.014
-0.193390988639306 V 16.3446097978 0.013
-10.0146635263522 r' 17.4595006637 0.019
-5.19167939381794 r' 16.6532239065 0.016
-3.25576530374424 r' 16.5427461063 0.015
-2.25706572982293 r' 16.4901806353 0.013
-1.18284189588971 r' 16.4600121008 0.019
1.66202255038294 r' 16.4344073128 0.013
3.61948427399553 r' 16.5988851029 0.018
-6.11586169786739 i' 17.3150865791 0.071
-4.09596658597801 i' 17.0707724876 0.025
-3.12894320654987 i' 17.0379495588 0.022
-1.19369392549375 i' 16.9237560126 0.021
-0.195004128178983 i' 16.9131012399 0.019
0.879894291378365 i' 16.9122093025 0.087
5.68222046126361 i' 17.1072411164 0.024
