Phase Band Mag Sigma
-11.5807890290339 B 16.5996832927 0.009
-10.4550080553211 B 16.2239514576 0.008
-8.57537624267471 B 15.7459140294 0.009
-7.56658414868231 B 15.5550024624 0.009
-5.71357420722863 B 15.3036687405 0.004
-3.68854375416693 B 15.1493103634 0.007
-2.70687453337647 B 15.0750171312 0.006
1.08059255767007 B 15.0499642462 0.004
4.145270934033 B 15.1437603941 0.008
5.13081064089593 B 15.1934482018 0.006
7.17982042516727 B 15.3267291055 0.007
8.00690596880917 B 15.3929686602 0.007
11.0432629965897 B 15.6655092396 0.011
12.9698612912161 B 15.8309740851 0.008
14.0108157491545 B 15.9518381389 0.007
17.8225274077626 B 16.3726474104 0.008
22.7895300404814 B 16.904344107 0.007
30.5967916224643 B 17.5439108842 0.009
33.5395496876195 B 17.6775878877 0.012
38.4406263507486 B 17.8861183049 0.015
39.4895968407486 B 17.962049813 0.02
42.3878836103621 B 18.0158828149 0.013
43.3394141223662 B 18.0405336615 0.013
44.3191972179698 B 18.0727051366 0.013
62.0261798106075 B 18.3787533546 0.016
62.943357302846 B 18.4172555443 0.02
63.9412157648696 B 18.4405039339 0.011
69.8386184132999 B 18.498051132 0.01
-13.0543243349469 V 16.632150041 0.01
-10.0489115485878 V 15.8700456761 0.008
-9.04011945459539 V 15.6850114734 0.009
-5.16207906008001 V 15.266631606 0.007
-4.18040983928955 V 15.1876463686 0.006
-0.392942748243011 V 15.1007075494 0.002
2.67173562811993 V 15.1390855281 0.008
3.65727533498286 V 15.1670899274 0.006
5.7062851192542 V 15.2421570876 0.006
6.5333706628961 V 15.2737235143 0.006
9.56972769067665 V 15.4396763523 0.006
11.4963259853031 V 15.5501081616 0.007
12.5372804432414 V 15.6010670139 0.006
16.3489921018495 V 15.810426991 0.006
21.3159947345683 V 16.0535338624 0.005
29.1232563165512 V 16.4965088768 0.009
32.0660143817064 V 16.673452653 0.008
36.9670910448355 V 16.914771131 0.009
38.0160615348355 V 16.9672524506 0.011
40.914348304449 V 17.0723318915 0.01
41.8658788164531 V 17.1027502775 0.011
42.8456619120568 V 17.137370262 0.012
60.5526445046944 V 17.6417622044 0.011
61.4698219969329 V 17.664345529 0.013
62.4676804589565 V 17.686284737 0.006
68.3650831073868 V 17.8552790348 0.007
-11.7772604031589 r 16.7675124712 0.01
-8.77184761679979 r 15.9860109751 0.008
-7.76305552280739 r 15.8115687198 0.008
-3.88501512829201 r 15.4321549967 0.006
-2.90334590750155 r 15.3798883011 0.006
0.884121183544987 r 15.3212166785 0.002
3.94879955990793 r 15.3743370277 0.009
4.93433926677085 r 15.4140630948 0.006
6.98334905104219 r 15.5140758085 0.006
7.81043459468409 r 15.5585679967 0.005
10.8467916224646 r 15.8014973793 0.006
12.7733899170911 r 15.9396305732 0.005
13.8143443750294 r 15.9772721806 0.006
17.6260560336375 r 16.0932662528 0.006
22.5930586663563 r 16.1145213173 0.006
30.4003202483392 r 16.360067304 0.007
33.3430783134944 r 16.5301526498 0.007
38.2441549766235 r 16.8493527309 0.008
39.2931254666235 r 16.9041218771 0.009
42.191412236237 r 17.0448488667 0.007
43.1429427482411 r 17.0748636591 0.007
44.1227258438448 r 17.1117662549 0.01
61.8297084364824 r 17.7381299852 0.009
62.7468859287209 r 17.7580699182 0.011
63.7447443907445 r 17.7851263602 0.004
69.6421470391748 r 17.9847966706 0.005
-7.9897933121124 i 17.0184841661 0.01
-4.98438052575325 i 16.2307013099 0.01
-3.97558843176085 i 16.0591259603 0.01
-0.0975480372454718 i 15.736519533 0.008
0.884121183544987 i 15.718724919 0.007
4.67158827459153 i 15.8219354397 0.003
7.73626665095447 i 15.9735217905 0.009
8.72180635781739 i 16.0091412777 0.008
10.7708161420887 i 16.1168373161 0.009
11.5979016857306 i 16.1701514044 0.006
14.6342587135112 i 16.4084407968 0.008
16.5608570081376 i 16.4747747821 0.008
17.6018114660759 i 16.5134264515 0.008
21.413523124684 i 16.4232252536 0.007
26.3805257574029 i 16.3035783882 0.007
34.1877873393857 i 16.277206938 0.008
37.1305454045409 i 16.4246987896 0.007
42.03162206767 i 16.7588029514 0.011
43.0805925576701 i 16.8072762107 0.01
45.9788793272836 i 16.9978392132 0.008
46.9304098392876 i 17.0448349012 0.009
47.9101929348913 i 17.1118872039 0.013
65.617175527529 i 17.941352094 0.012
66.5343530197674 i 17.9544399666 0.015
67.532211481791 i 17.9960794799 0.007
73.4296141302214 i 18.2535898704 0.009
