Phase Band Mag Sigma
-5.7976871198346 B 16.9189204787 0.02
-0.969495062772711 B 16.5308524397 0.02
1.09879661929781 B 16.546727176 0.018
2.03140239492926 B 16.5695855089 0.03
3.00834317978643 B 16.6109295049 0.017
4.75449104239655 B 16.6868630731 0.021
5.83643783749873 B 16.813856227 0.019
6.6760884265108 B 16.8688580683 0.019
6.73522762534141 B 16.8647933901 0.036
7.71258529307562 B 16.923666322 0.025
11.5920488716138 B 17.3891217689 0.049
13.5462212898397 B 17.7366616692 0.051
14.4949012936149 B 17.6573827078 0.036
15.3700257069771 B 17.8189132536 0.028
17.350927104082 B 18.0863831801 0.025
19.3042269767593 B 18.3477931739 0.035
21.2931170131842 B 18.5746799873 0.032
22.2709109536962 B 18.673791291 0.034
24.1774520794885 B 18.8445490591 0.038
30.1128462780453 B 19.3809696913 0.083
31.9213714529915 B 19.5538149189 0.062
32.8409666048847 B 19.674867692 0.085
34.0442069272912 B 19.4668208713 0.067
34.8517866196257 B 19.2867219225 0.116
39.6864645986665 B 19.2573776608 0.178
-8.12341852086705 V 17.0070440577 0.015
-3.29523615875202 V 16.5851488295 0.017
-1.23090001654349 V 16.587613351 0.015
0.67864654394513 V 16.5105723969 0.028
2.42479440655525 V 16.655101182 0.019
3.51069674151943 V 16.6298596285 0.015
4.34639179067656 V 16.6709477482 0.015
4.40551159960639 V 16.6346336463 0.014
5.38289835218823 V 16.7174549668 0.019
7.36857935995529 V 16.8835372264 0.036
7.42243481068971 V 16.860173901 0.039
8.28875620888561 V 16.889355588 0.018
9.26234254082567 V 16.9807373108 0.031
10.2290260679168 V 16.9950727959 0.027
11.2165052640976 V 17.1027961623 0.028
12.1651949628268 V 17.1125530133 0.025
13.0403581559905 V 17.2021948121 0.019
14.1275693092881 V 17.356993817 0.024
15.0212207733009 V 17.3476325295 0.019
16.0474506871458 V 17.388499411 0.022
16.9745206459711 V 17.4593560915 0.02
18.9634203773499 V 17.4704411973 0.021
19.9412240128088 V 17.5989382077 0.021
21.8496459590248 V 17.7504802716 0.021
27.7850789373831 V 18.3216629312 0.035
29.5988975553723 V 18.2989295967 0.028
30.5184830123116 V 18.6445475719 0.048
31.7164008068275 V 18.531374258 0.039
32.5293127220065 V 18.390706195 0.033
35.5629112481786 V 18.5489982953 0.046
36.3389338762235 V 18.7619464602 0.073
37.3639810060934 V 18.8234979533 0.054
-5.52969929459517 r' 17.082306533 0.018
-0.701536322380905 r' 16.789988075 0.017
1.35729308787615 r' 16.7725435707 0.015
2.28987947360684 r' 16.8037712541 0.031
5.01293903621945 r' 16.8571685857 0.02
6.10439657789054 r' 16.9022764282 0.017
6.99370470401899 r' 16.9407792214 0.016
7.97104298185243 r' 16.9776515185 0.02
9.95677246437494 r' 17.1241680738 0.026
10.0106182201554 r' 17.1928215107 0.031
10.8769493133053 r' 17.3013347386 0.02
11.8505259502914 r' 17.3513047076 0.024
12.8227065143872 r' 17.3557230667 0.024
13.8046983685172 r' 17.337527927 0.023
14.7533686773386 r' 17.3921584478 0.021
15.6285318705094 r' 17.4449421636 0.021
16.7157430237999 r' 17.4427710803 0.019
17.6094041827666 r' 17.4763815891 0.017
18.6356244016576 r' 17.4773492043 0.017
19.5627331402845 r' 17.5098545351 0.02
21.5516037868156 r' 17.4810052747 0.02
22.5293977273206 r' 17.5338836629 0.019
24.4440341368907 r' 17.6998621934 0.019
30.379467115249 r' 18.0408288002 0.024
31.2120791701068 r' 18.2435421567 0.032
32.1870615749372 r' 18.2508029851 0.026
33.1066373369227 r' 18.2327049028 0.028
34.3107986796402 r' 18.2852936813 0.028
35.1174476567239 r' 18.4068509681 0.032
38.1572994260445 r' 18.6878826252 0.033
38.9270978957884 r' 18.6633804812 0.065
39.9521741105131 r' 18.9983597467 0.101
-4.24648532445282 i' 17.3045845481 0.021
0.581697037662216 i' 17.1456385941 0.021
2.64050705801145 i' 17.2647157165 0.021
3.57311283364996 i' 17.2383426808 0.057
6.29619178616334 i' 17.301278366 0.026
7.38761054802584 i' 17.4094457719 0.021
8.27690897920743 i' 17.4533720384 0.026
9.2542763418885 i' 17.5003491094 0.031
11.2399864345102 i' 17.5672622139 0.056
11.2938321902978 i' 17.576819402 0.044
12.1601632834406 i' 17.6415367908 0.025
13.1337496153806 i' 17.7169994159 0.035
15.0879123386596 i' 17.6489580981 0.036
16.036582647481 i' 17.618545098 0.038
16.9117458406447 i' 17.6481265993 0.031
17.9989666888891 i' 17.5115702091 0.029
18.8926278478558 i' 17.5799654286 0.025
19.9188577617007 i' 17.5069909234 0.037
20.8459277205261 i' 17.5060521091 0.028
22.8348177569509 i' 17.5429261187 0.023
23.8126020025091 i' 17.4886698795 0.023
25.7279461434747 i' 17.5519272357 0.024
31.6633597319322 i' 17.9417225598 0.037
32.4952834452952 i' 18.0408961113 0.031
33.4702949349733 i' 18.0607766534 0.036
34.3898803919197 i' 18.1745715827 0.034
35.5947106862243 i' 18.2391671542 0.038
36.40068101676 i' 18.3735553256 0.042
39.4412017376817 i' 18.4304749831 0.041
40.2103312558316 i' 18.6345319041 0.073
41.2353880806484 i' 18.4669847769 0.047
44.1434854709442 i' 18.725365946 0.168
