Phase Band Mag Sigma
-4.95543903638799 B 14.6744834529 0.004
-3.97283671909347 B 14.5689981751 0.005
-2.98565112850996 B 14.4809381426 0.004
-1.98991273421358 B 14.4210566274 0.004
-0.981473822367086 B 14.3886209478 0.004
0 B 14.3751412909 0.005
1.99508005311533 B 14.4374220262 0.006
4.91666434640379 B 14.6116278898 0.004
7.92293525515535 B 14.9065603296 0.005
11.8421882630206 B 15.4052371157 0.005
12.8317496324109 B 15.5479755855 0.006
16.769810889182 B 16.0774514574 0.007
19.8027004196751 B 16.4187266051 0.007
24.6937063549403 B 16.9422394805 0.028
27.67339823827 B 17.1518349605 0.009
28.6391721223334 B 17.2132997469 0.009
32.5968335542816 B 17.3956664231 0.013
33.581940338402 B 17.4394730521 0.015
36.5649781102231 B 17.5109123292 0.018
37.5366716431543 B 17.5440005705 0.016
38.516739796385 B 17.5829607412 0.014
52.3678470240874 B 17.8729702895 0.006
57.2906191018541 B 17.9346329863 0.014
58.2890995408585 B 17.9507579849 0.007
59.2881343282521 B 17.978938855 0.007
-5.94534687352328 V 14.7189848846 0.001
-4.96274455622876 V 14.6108512926 0.003
-3.97555896564525 V 14.5269474718 0.003
-2.97982057134887 V 14.4679964461 0.004
-1.97138165950238 V 14.4324024393 0.003
-0.98990783713529 V 14.4102354446 0.003
1.00517221598004 V 14.4166929097 0.005
3.9267565092685 V 14.4861861195 0.004
6.93302741802006 V 14.6463124488 0.005
10.8522804258854 V 14.9300359244 0.004
11.8418417952756 V 14.9887330019 0.005
15.7799030520467 V 15.2388556791 0.005
18.8127925825398 V 15.4162633499 0.006
23.703798517805 V 15.8084714114 0.008
26.6834904011347 V 16.0546005521 0.005
27.6492642851981 V 16.1465928879 0.007
31.6069257171463 V 16.3589553146 0.009
32.5920325012667 V 16.4006057857 0.009
35.5750702730879 V 16.5017421829 0.009
36.546763806019 V 16.5504820074 0.008
37.5268319592497 V 16.5883167891 0.009
51.3779391869521 V 17.0264084309 0.005
56.3007112647188 V 17.1744928316 0.008
57.2991917037232 V 17.2020085623 0.005
58.2982264911168 V 17.2355770601 0.004
-5.25241138752425 r 14.7757793736 0.004
-4.26980907022974 r 14.6902632639 0.004
-3.28262347964622 r 14.629506683 0.002
-2.28688508534984 r 14.5925671697 0.003
-1.27844617350335 r 14.5814166366 0.005
-0.296972351136266 r 14.5546437006 0.005
4.61969199526752 r 14.6677470596 0.004
7.62596290401908 r 14.9255253955 0.004
11.5452159118844 r 15.1984850935 0.004
12.5347772812746 r 15.227567778 0.004
16.4728385380457 r 15.3010611083 0.004
19.5057280685389 r 15.3626473305 0.006
24.396734003804 r 15.6340407116 0.004
27.3764258871337 r 15.888595868 0.004
28.3421997711971 r 15.9763118414 0.005
32.2998612031453 r 16.2586021207 0.005
33.2849679872658 r 16.3041945821 0.008
36.2680057590869 r 16.4403148545 0.006
37.2396992920181 r 16.4906586034 0.006
38.2197674452487 r 16.5242764914 0.009
52.0708746729512 r 17.0443441361 0.004
56.9936467507178 r 17.2290338621 0.007
57.9921271897222 r 17.2586373193 0.004
58.9911619771158 r 17.2989723539 0.004
-1.3758432055983 i 14.9995767098 0.003
-0.39324088830378 i 14.9148650443 0.004
0.593944702279734 i 14.9030074057 0.004
1.58968309657611 i 14.9227467171 0.003
2.5981220084226 i 14.9543808261 0.007
3.57959583078969 i 15.0111413195 0.006
8.49626017719348 i 15.228001135 0.004
11.502531085945 i 15.5322152921 0.007
15.4217840938103 i 15.623926672 0.005
16.4113454632006 i 15.5963668 0.006
20.3494067199717 i 15.4366940902 0.004
23.3822962504648 i 15.3882920916 0.008
28.27330218573 i 15.5082559104 0.004
31.2529940690597 i 15.7773580103 0.005
32.2187679531231 i 15.8577269761 0.008
36.1764293850713 i 16.1540649845 0.008
37.1615361691917 i 16.2162154873 0.009
40.1445739410128 i 16.397662412 0.008
41.116267473944 i 16.4654241402 0.008
42.0963356271747 i 16.5233405565 0.01
55.9474428548771 i 17.2501419796 0.005
60.8702149326438 i 17.4828198308 0.013
61.8686953716482 i 17.5294998117 0.005
62.8677301590418 i 17.5867776394 0.006
