Phase Band Mag Sigma
-3.88424223780995 B 17.1195391589 0.01
-1.95859122262199 B 17.0289512072 0.006
0.96854476442614 B 17.0091004559 0.008
3.89642653094166 B 17.0890722007 0.008
4.8262101338951 B 17.1440843638 0.008
8.66418498830389 B 17.3842143271 0.012
9.68434350322966 B 17.4762733802 0.015
12.6095811425381 B 17.741482784 0.019
13.5190446763328 B 17.8531857907 0.016
14.5189799765738 B 17.9370535927 0.015
27.9941495750872 B 19.1156150455 0.012
31.8938304164326 B 19.3071306841 0.027
32.8811940056318 B 19.36585308 0.035
34.8027287055728 B 19.3837306209 0.029
35.7305461626513 B 19.4327780199 0.031
38.5793559346022 B 19.4988421107 0.04
39.5730925483524 B 19.4868259012 0.032
-6.61841505143601 V 16.9930035571 0.01
-4.69276403624805 V 16.8617624791 0.006
-1.76562804919992 V 16.7910793266 0.007
1.1622537173156 V 16.7888044588 0.007
2.09203732026905 V 16.8000871068 0.008
5.93001217467783 V 16.9171661469 0.009
6.9501706896036 V 16.948417277 0.009
9.87540832891208 V 17.1136170208 0.011
10.7848718627068 V 17.1759534803 0.009
11.7848071629478 V 17.2503412519 0.009
25.2599767614611 V 18.0276096685 0.006
29.1596576028065 V 18.2437005148 0.044
30.1470211920058 V 18.2765008325 0.016
32.0685558919467 V 18.3512504325 0.011
32.9963733490252 V 18.3945018678 0.014
35.8451831209762 V 18.4559383622 0.017
36.8389197347264 V 18.4673694677 0.012
-5.43391386089037 r 17.1444291541 0.008
-3.5082628457024 r 17.0485612728 0.005
-0.581126858654275 r 16.9964038081 0.007
2.34675490786124 r 17.0057787004 0.005
3.27653851081469 r 17.0167251911 0.007
7.11451336522348 r 17.1248309997 0.008
8.13467188014925 r 17.1712128814 0.009
11.0599095194577 r 17.3333918491 0.009
11.9693730532524 r 17.372667775 0.008
12.9693083534934 r 17.4244207953 0.009
26.4444779520068 r 17.91570842 0.004
30.3441587933522 r 18.0697259627 0.021
31.3315223825514 r 18.1562718623 0.01
33.2530570824924 r 18.2215091929 0.005
37.0296843115218 r 18.374096338 0.008
38.023420925272 r 18.4357521848 0.007
-4.65907804935368 i 17.4007146383 0.009
-2.73342703416572 i 17.2700312557 0.005
0.193708952882409 i 17.2340206993 0.009
3.12159071939792 i 17.2788509197 0.008
4.05137432235137 i 17.3199245917 0.008
7.88934917676016 i 17.4041390782 0.01
8.90950769168593 i 17.4144184791 0.012
11.8347453309944 i 17.465276504 0.013
12.7442088647891 i 17.4525674825 0.01
13.7441441650301 i 17.4541373837 0.011
27.2193137635434 i 17.6153616553 0.004
31.1189946048889 i 17.8625052605 0.017
32.1063581940881 i 17.8750667239 0.01
34.027892894029 i 17.9746134236 0.006
34.9557103511075 i 18.0169546678 0.009
37.8045201230585 i 18.1115503342 0.009
38.7982567368087 i 18.1774343936 0.009
