Phase Band Mag Sigma
-8.99987530933371 B 18.635917552 0.041
-7.88259499185889 B 18.5049275238 0.044
-7.10350101936242 B 18.3527344929 0.079
-5.98347114069528 B 18.2153276 0.032
-2.23649694565521 B 17.9384367722 0.026
-1.19892485806611 B 17.9100558822 0.026
-0.290446604721122 B 17.8741752454 0.022
0.676372689963763 B 17.8912754857 0.023
3.67984230314146 B 17.9780444012 0.019
4.6678738815132 B 17.9650761718 0.025
4.70513818090463 B 18.006939195 0.022
5.63090768878379 B 18.0775345715 0.023
6.62498055653603 B 18.0606499764 0.02
8.51281571633299 B 18.2023994918 0.025
12.4057199671382 B 18.4988723562 0.031
16.3224505210842 B 18.9676912962 0.04
17.2564299863273 B 18.9474881251 0.048
20.1591243092205 B 19.1825116635 0.095
32.7367402585848 B 20.5647865275 0.173
-11.4277184781759 V 18.207587178 0.03
-10.3078628674672 V 18.0684118597 0.024
-9.53137323286082 V 17.9563717306 0.051
-8.41131430953042 V 17.7109450299 0.023
-5.4464256870138 V 17.6963628048 0.066
-5.42598792759367 V 17.7341611434 0.038
-4.65714672024187 V 17.4845924744 0.015
-3.61958431420954 V 17.4855499047 0.017
-3.58562142456305 V 17.4745697785 0.016
-2.71110606086455 V 17.453074108 0.016
-1.74427708462994 V 17.409030375 0.015
-1.54904855849621 V 17.407416372 0.017
1.25918284699099 V 17.4469040392 0.016
2.2472241069195 V 17.4588138233 0.02
2.28450776941742 V 17.4885930635 0.016
3.21025791419008 V 17.497122274 0.016
4.20433078194232 V 17.5196035462 0.016
6.09217562328901 V 17.6037376887 0.017
9.98507019254449 V 17.8057604693 0.019
13.9017910649407 V 18.0205188326 0.024
14.8357802117336 V 18.1367224508 0.026
17.73846485307 V 18.3956236339 0.035
22.5484929844908 V 18.311335627 0.045
25.4539852763461 V 18.6694424629 0.043
30.3160808024343 V 18.8979451228 0.049
38.083281358241 V 19.4927033273 0.092
-10.3394053687388 r' 18.1803661969 0.023
-9.21197878320145 r' 17.9264663048 0.019
-8.44307948653018 r' 17.8650608069 0.034
-7.32302056320682 r' 17.703079936 0.019
-4.35577932319154 r' 17.5600696081 0.022
-4.33533188221464 r' 17.4582863035 0.03
-3.56649067486284 r' 17.4954342388 0.016
-2.52893795038728 r' 17.4813668506 0.016
-2.49498474229052 r' 17.4085774141 0.016
-1.62046937859201 r' 17.4200076692 0.016
-0.653611357701187 r' 17.4259749471 0.016
-0.458411876223678 r' 17.4464245116 0.015
0.290446604721122 r' 17.3661492095 0.049
2.34981952926352 r' 17.4582369747 0.015
3.3378704707488 r' 17.4380580011 0.022
3.37512508858347 r' 17.4821604012 0.016
4.30090427801234 r' 17.528713342 0.016
5.29498682732135 r' 17.5691100751 0.016
7.18280262401182 r' 17.7143844636 0.016
11.0757262379235 r' 17.98847642 0.016
14.9924180656565 r' 18.2472038956 0.021
15.9264459386623 r' 18.2672456619 0.025
18.8291015353426 r' 18.2419935937 0.024
23.6391490298699 r' 18.1947295832 0.023
26.5446316401684 r' 18.2942856216 0.026
31.4067174847069 r' 18.5707269075 0.028
39.1739567667265 r' 19.0526278353 0.043
-5.9036467321706 i' 18.2118519563 0.02
-4.77621046507653 i' 17.9811008553 0.022
-4.00730148685553 i' 17.9134814473 0.037
0.0959635581979089 i' 17.7214876159 0.036
1.90237685313176 i' 17.7517331965 0.022
1.93631069812203 i' 17.7066733456 0.021
2.81084542492703 i' 17.7511308831 0.019
3.77768408271136 i' 17.7712596264 0.024
3.97290292729536 i' 17.7999399359 0.02
6.78112465123284 i' 17.9192825993 0.021
7.80643989210251 i' 17.9271578546 0.018
8.73219003686812 i' 17.985434495 0.019
9.72629194929067 i' 18.0068489967 0.018
11.6140980644244 i' 18.1188098944 0.021
15.5070313598858 i' 18.3772317778 0.025
19.4237425507323 i' 18.4929175547 0.029
20.3577413790749 i' 18.4892904719 0.039
23.2604163388616 i' 18.3530765173 0.036
28.0704347887257 i' 18.2791574503 0.035
30.975927080581 i' 18.202287328 0.026
35.8380226066692 i' 18.2740924667 0.024
43.605252207139 i' 18.7797007918 0.054
56.135399499737 i' 19.2952588716 0.12
57.1158891479434 i' 19.4244725619 0.131
