Phase Band Mag Sigma
-12.7721683729246 B 17.8228867454 0.075
-11.8242721738622 B 17.5014152246 0.058
-9.86984702115867 B 16.8233968924 0.044
-7.91542186845511 B 16.479021507 0.031
-5.96099671575155 B 16.2582028074 0.055
-4.00657156304799 B 16.0165309787 0.035
-2.05214641034443 B 15.9759731848 0.017
-0.0879491318824677 B 15.9997556704 0.019
5.77532632622822 B 16.1538383281 0.01
6.7427667768216 B 16.2854320144 0.031
9.68417663163534 B 16.4829936393 0.031
12.6060422349323 B 16.8502622891 0.062
18.4790898188014 B 17.4937916177 0.07
21.4107275478567 B 17.7974222696 0.111
24.3325931511536 B 17.8719153599 0.21
-14.4432018784711 V 17.7500190388 0.058
-13.4953056794087 V 17.3802511299 0.046
-11.5408805267051 V 16.8515588665 0.037
-9.58645537400158 V 16.4406240972 0.02
-5.67760506859446 V 16.0369862722 0.068
-3.7231799158909 V 15.9430596494 0.017
-1.75898263742894 V 15.8396155432 0.012
4.10429282068174 V 15.9190767681 0.012
5.07173327127513 V 15.9362311355 0.021
8.01314312608887 V 16.0993196239 0.023
10.9350087293858 V 16.302214273 0.036
16.8080563132549 V 16.5686875995 0.032
19.7396940423102 V 16.7439854613 0.046
22.6615596456072 V 16.9028337584 0.089
-14.3454806208444 R 17.6679511737 0.086
-13.3975844217821 R 17.2791694162 0.043
-11.4431592690785 R 16.7369214607 0.029
-9.48873411637494 R 16.4074800327 0.023
-7.53430896367137 R 16.2999702852 0.063
-5.57988381096781 R 16.080724764 0.063
-3.62545865826425 R 15.9917541311 0.01
-1.66126137980229 R 15.9216315259 0.017
4.20201407830839 R 16.0085798911 0.013
5.16945452890177 R 16.0789006066 0.02
8.11086438371551 R 16.3282979932 0.022
11.0327299870125 R 16.5309908938 0.028
16.9057775708815 R 16.6123811084 0.033
19.8374152999369 R 16.5879128577 0.029
22.7592809032338 R 16.6485097687 0.053
-11.2184003765073 I 17.8378609131 0.107
-10.270504177445 I 17.460862242 0.087
-8.31607902474142 I 16.899395428 0.068
-6.36165387203786 I 16.5992312943 0.044
-4.4072287193343 I 16.435779927 0.205
-2.45280356663074 I 16.347331956 0.065
-0.498378413927179 I 16.3164928428 0.019
1.46581886453478 I 16.3085239714 0.044
7.32909432264546 I 16.4950713172 0.051
8.29653477323885 I 16.58100768 0.051
11.2379446280526 I 16.8177760471 0.072
14.1598102313495 I 16.9200684112 0.055
20.0328578152186 I 16.7579037724 0.054
22.964495544274 I 16.6780477348 0.081
25.8863611475709 I 16.6191619014 0.095
