Phase Band Mag Sigma
-4.67087937400466 B 18.6109091432 0.034
-3.74388510617174 B 18.4009283729 0.036
-2.82917516604617 B 18.4157810819 0.032
-1.79540174198198 B 18.3106078183 0.038
0.0047247414237896 B 18.3464721716 0.039
0.957232612960302 B 18.3296363592 0.031
2.90382608057918 B 18.3843185541 0.031
12.3221256396993 B 19.4658178028 0.139
16.0508915733039 B 20.166927394 0.106
17.0033994448404 B 20.2088948048 0.148
-7.51800855747774 V 18.5449829232 0.033
-6.59101428963794 V 18.4945975544 0.041
-5.67630434951925 V 18.3635378524 0.028
-4.64253092544818 V 18.3182784508 0.029
-2.84240444204241 V 18.2449632593 0.033
-1.8898965705059 V 18.2244525073 0.03
0.0566968971129768 V 18.2629371291 0.028
7.59549431686364 V 18.5837596275 0.049
8.49697498099297 V 18.6726104287 0.047
9.4749964562262 V 18.7072781007 0.054
13.2037623898377 V 19.0945381468 0.066
14.1562702613742 V 19.3168669593 0.098
15.1153927709054 V 19.3480610841 0.115
15.9734058139111 V 19.5823164868 0.108
18.881956635921 V 19.62871987 0.097
26.4415429179445 V 20.1094109738 0.114
-6.28957578663928 r' 18.6602423043 0.039
-5.36258151880636 r' 18.5856842684 0.042
-4.44881652696967 r' 18.492973294 0.032
-3.41409815461659 r' 18.449056044 0.034
-1.61397167121083 r' 18.4355537859 0.051
-0.661463799674314 r' 18.3160158389 0.03
1.28512966794456 r' 18.3651260106 0.033
8.82392708769522 r' 18.806166853 0.049
9.72540775182456 r' 18.853270919 0.054
10.7024842787758 r' 18.9654925085 0.046
14.4321951606693 r' 19.2175318274 0.045
15.3847030322058 r' 19.2164758074 0.049
16.3428805934481 r' 19.4258642395 0.066
17.2008936364607 r' 19.4297599103 0.048
20.1094444584705 r' 19.7605788354 0.084
27.6690307404941 r' 20.0264917456 0.066
28.6130340774582 r' 20.2858305825 0.105
-3.44717134460375 i' 18.9067564848 0.048
-1.60546713664525 i' 18.8018709336 0.047
-0.570748764292176 i' 18.826460732 0.052
1.22843277083158 i' 18.6359465291 0.071
2.1818855906501 i' 18.7852289891 0.046
4.12753410998697 i' 18.8381946309 0.055
11.6663315297308 i' 19.4579649329 0.098
12.568757142149 i' 19.4086778043 0.088
13.5458336691002 i' 19.3180548542 0.077
17.2755445509937 i' 18.9657038816 0.07
20.0432980785031 i' 19.1450831257 0.069
22.9518489005061 i' 19.0650840311 0.059
30.5114351825297 i' 19.8272606837 0.114
31.4554385195006 i' 20.0805228424 0.148
37.1147337998818 i' 20.7730357476 0.234
