Phase Band Mag Sigma
-7.60273785523348 B 16.4540156184 0.018
-6.63050645700192 B 16.3355729819 0.017
-5.7227344924868 B 16.2072645346 0.017
-0.78097148222755 B 15.9466045499 0.017
3.05913363091663 B 15.9903522908 0.018
4.95930558218675 B 16.0839421452 0.02
4.96290781314633 B 16.0629353379 0.019
4.96646123339306 B 16.0599286228 0.02
5.09644417446846 B 16.0806829876 0.018
5.10002688114147 B 16.0586762172 0.02
6.00784765637655 B 16.1259532224 0.019
11.7416036089156 B 16.5091031897 0.025
13.7869093480172 B 16.6883125646 0.022
14.654402708338 B 16.8054274502 0.022
14.7428379665571 B 16.806687218 0.021
17.5599387729745 B 17.0991215235 0.02
24.3753792769779 B 17.8001623857 0.022
26.4603876538096 B 17.9972307108 0.024
28.3727622844939 B 18.1857611043 0.026
30.3912807017569 B 18.3071932333 0.027
41.1146732164141 B 18.9629042899 0.209
45.8964054078252 B 19.0853241967 0.052
53.5802666757789 B 19.1326214794 0.042
68.3483397833467 B 19.3913528604 0.107
73.1484540910217 B 19.554 0.06
78.9573883108629 B 19.528 0.066
84.8693814799348 B 19.607 0.066
-9.58804546021541 V 16.4697200708 0.012
-8.61581406199095 V 16.3176696019 0.011
-7.708032335329 V 16.2349852453 0.01
-2.76626932506976 V 15.9390167345 0.012
1.07383578807442 V 15.9388705618 0.012
2.97401750149138 V 15.9907648006 0.013
3.11111704519285 V 15.9890018572 0.012
4.02254005138751 V 15.9999319741 0.013
9.75628624178682 V 16.2348209085 0.015
11.801611505175 V 16.3939905283 0.013
15.5746506922792 V 16.5896778016 0.013
22.363206253004 V 16.8714732929 0.015
22.3900814341357 V 16.881370118 0.014
24.4750898109674 V 16.9713753192 0.015
26.3874546795048 V 17.0868074636 0.015
28.4059730967678 V 17.2071008319 0.016
32.2531655261118 V 17.4313059697 0.021
33.3235455153723 V 17.5252400312 0.02
34.1461134911762 V 17.5552590718 0.031
35.166433208426 V 17.5705318935 0.034
36.11150632336 V 17.7205391075 0.051
39.1293753735719 V 17.7559343489 0.04
42.0552362210385 V 17.9382783332 0.02
43.9110978028362 V 17.9997346798 0.024
51.5949785950835 V 18.2532081921 0.024
61.377368808658 V 18.5556449974 0.061
66.3630321783648 V 18.7217296752 0.044
71.1624631359888 V 18.806 0.037
76.9714071179768 V 18.953 0.037
81.9630937302408 V 19.102 0.039
82.8833905249019 V 19.122 0.041
93.6813951025438 V 19.19 0.237
-8.87179698958355 r' 16.6033925074 0.016
-7.89957535349882 r' 16.4754067939 0.013
-6.99181315112344 r' 16.3730017022 0.013
-2.05005014086419 r' 16.1262931944 0.014
1.79007449655945 r' 16.1481533128 0.013
3.69022692355011 r' 16.1863669683 0.017
3.82737527797155 r' 16.1857874396 0.015
4.73876899773991 r' 16.2165911197 0.016
10.4724956638456 r' 16.5908668982 0.016
12.5178306893806 r' 16.7468405852 0.017
13.4737593079204 r' 16.8112651392 0.017
16.290899162911 r' 16.8672758134 0.015
23.0794254372096 r' 16.9106386375 0.016
23.106310380481 r' 16.9324155445 0.015
25.1912797087396 r' 16.951119057 0.014
27.1036641015707 r' 17.0009909173 0.015
29.1222020431202 r' 17.0806650345 0.015
32.9694139967437 r' 17.2870702291 0.019
34.0397744617176 r' 17.3627178409 0.018
34.8623424375215 r' 17.4183915708 0.023
35.8826523926244 r' 17.5023408226 0.025
36.8277352697053 r' 17.5775860171 0.034
37.9491615074728 r' 17.5054776125 0.06
39.845614082064 r' 17.7431290837 0.03
42.7714651673838 r' 17.8639872649 0.017
44.6273267491886 r' 17.9394636245 0.022
52.3112075414288 r' 18.1933739143 0.022
62.0935977550033 r' 18.5363061615 0.044
67.0792708868569 r' 18.6661595276 0.048
71.8773449065329 r' 18.745 0.03
77.686279126374 r' 18.854 0.036
82.6779462143515 r' 19.1 0.042
83.5982430090126 r' 19.136 0.041
94.396267110941 r' 19.176 0.266
-5.16219221111933 i' 16.8583780916 0.018
-4.1899705750275 i' 16.7247133538 0.017
-3.28220837265922 i' 16.6480626487 0.016
1.65956439974686 i' 16.5576650667 0.016
5.4996890371705 i' 16.6797564934 0.019
7.39984146416116 i' 16.7773101522 0.018
7.5369898185826 i' 16.7717605278 0.017
8.44838353835096 i' 16.8321081015 0.019
14.1821199665963 i' 17.1184791032 0.025
16.2274354678448 i' 17.2661912331 0.02
17.1833738485315 i' 17.3029109179 0.02
20.000474654949 i' 17.2608367992 0.019
26.7890302156738 i' 17.0744023347 0.022
26.8159249210921 i' 17.0774021072 0.021
28.9008942493506 i' 17.008384478 0.018
30.8132786421817 i' 17.0156740156 0.019
32.8318068215845 i' 17.0137306413 0.016
36.679018775215 i' 17.1884818323 0.019
37.7493792401818 i' 17.2552075146 0.024
38.5719472159928 i' 17.3304894495 0.022
39.5922474089489 i' 17.3978476246 0.022
40.5373400481766 i' 17.4409561767 0.034
43.5552188605353 i' 17.6644996122 0.026
44.4249575138606 i' 17.7281557458 0.039
46.4810601837083 i' 17.8534368844 0.024
48.3369315276528 i' 17.9425370256 0.027
56.0208318441867 i' 18.3646902225 0.033
65.8032122956143 i' 18.7385438855 0.068
70.7888854274679 i' 19.0771206306 0.063
75.585592747049 i' 19.264 0.06
81.3945269668902 i' 19.409 0.052
86.3861940548677 i' 19.655 0.067
87.306481087389 i' 19.638 0.067
98.1045051893175 i' 20.146 0.394
