Phase Band Mag Sigma
-8.60964606426002 B 13.9513520929 0.006
-7.60411282276686 B 13.769947439 0.006
-4.60847371669959 B 13.3615110067 0.006
-3.61008636644621 B 13.2904559161 0.007
-2.60780306437233 B 13.2246716441 0.007
-1.61754553197707 B 13.1785093021 0.009
0.397546105321563 B 13.1602988169 0.007
4.30172714183892 B 13.305227167 0.008
5.35336579289972 B 13.3675834794 0.006
7.31974809364156 B 13.5149464479 0.006
8.28791200123136 B 13.5996651946 0.008
11.3060124622531 B 13.9081173696 0.006
16.2263213439703 B 14.4965749599 0.007
20.2263109918719 B 14.9508899958 0.006
23.203016964678 B 15.2144058356 0.006
25.1363830613754 B 15.3764808278 0.007
28.2122270941969 B 15.6228556057 0.008
30.2144879309414 B 15.7606938982 0.008
33.1105218603277 B 15.9294597067 0.009
37.1058304028382 B 16.1228148337 0.008
39.0586663200399 B 16.1883824789 0.009
44.0429403701071 B 16.3273315813 0.007
50.0246377211068 B 16.4365202032 0.01
52.0437147581154 B 16.4840311062 0.009
56.9871906391171 B 16.5512805133 0.008
64.8538329711946 B 16.6841329913 0.009
71.7832007280591 B 16.727 0.007
81.7425356971931 B 16.867 0.008
-11.0943092225107 V 13.9304890171 0.006
-10.0887759810176 V 13.7549102809 0.005
-7.09313687495032 V 13.3500039832 0.006
-6.09474952469694 V 13.2720825952 0.008
-5.09246622262306 V 13.2001774576 0.008
-4.1022086902278 V 13.1424167972 0.008
-2.08711705292917 V 13.1107012727 0.009
2.86870263464899 V 13.1487781637 0.008
4.83508493539084 V 13.2128555009 0.007
5.80324884298063 V 13.2424589919 0.008
8.82134930400234 V 13.4131983857 0.007
13.7416581857196 V 13.7262528682 0.006
17.7416478336212 V 13.9563894529 0.008
20.7183538064272 V 14.1062553701 0.007
22.6517199031247 V 14.2024880691 0.009
25.7275639359462 V 14.3990162208 0.008
27.7298247726907 V 14.5506882862 0.007
30.625858702077 V 14.7652459242 0.008
34.6211672445874 V 14.9849369299 0.007
36.5740031617892 V 15.0659273532 0.008
41.5582772118564 V 15.2375782485 0.006
47.5399745628561 V 15.419422862 0.007
49.5590515998647 V 15.4778932354 0.007
54.5025274808663 V 15.590555659 0.006
62.3691698129439 V 15.789198564 0.007
69.2985375698084 V 16.003 0.007
79.2578725389424 V 16.243 0.006
-8.60964606426725 r 13.9716829188 0.009
-7.60411282277409 r 13.7966635761 0.005
-4.60847371670683 r 13.4142458625 0.006
-3.61008636645344 r 13.3592238717 0.007
-2.60780306437956 r 13.3050053861 0.007
-1.6175455319843 r 13.2762740929 0.008
0.397546105314332 r 13.2578268091 0.008
4.30172714183169 r 13.2738945179 0.007
5.35336579289249 r 13.3290747036 0.008
7.31974809363433 r 13.4196501363 0.008
8.28791200122413 r 13.4740091647 0.011
11.3060124622458 r 13.7124294126 0.006
16.226321343963 r 13.9187054055 0.005
20.2263109918647 r 13.9760810826 0.006
23.2030169646707 r 14.0407956655 0.006
25.1363830613682 r 14.0889144382 0.007
28.2122270941897 r 14.2166261263 0.007
30.2144879309342 r 14.338946291 0.009
33.1105218603205 r 14.5652366977 0.008
37.1058304028309 r 14.8408321253 0.006
39.0586663200327 r 14.9321719357 0.007
44.0429403700999 r 15.141702458 0.005
50.0246377210996 r 15.3513743361 0.007
52.0437147581082 r 15.4086123005 0.006
56.9871906391098 r 15.5748527863 0.006
64.8538329711874 r 15.8268038716 0.006
71.7832007280519 r 15.968 0.006
81.7425356971859 r 16.299 0.005
-6.59816215786642 i 14.2118229755 0.006
-5.59262891637326 i 14.0293765002 0.006
-2.596989810306 i 13.7008045363 0.008
-1.59860246005261 i 13.6437710199 0.008
-0.596319157978729 i 13.6123047139 0.011
0.39393837441653 i 13.6169314772 0.011
2.40903001171516 i 13.6609065194 0.01
6.31321104823252 i 13.8285862018 0.009
7.36484969929332 i 13.8954411052 0.01
9.33123200003516 i 13.9694544033 0.01
10.299395907625 i 14.0383331951 0.01
13.3174963686467 i 14.2500099348 0.006
18.2378052503639 i 14.2162130647 0.006
22.2377948982655 i 14.0727976354 0.008
25.2145008710716 i 14.0546970515 0.009
27.147866967769 i 14.0479734806 0.008
30.2237110005905 i 14.0977575876 0.008
32.225971837335 i 14.1962677016 0.01
35.1220057667213 i 14.4220582178 0.01
39.1173143092318 i 14.6906054286 0.006
41.0701502264335 i 14.8046997648 0.009
46.0544242765007 i 15.096491414 0.006
52.0361216275004 i 15.3841992351 0.009
54.055198664509 i 15.5067095524 0.007
58.9986745455107 i 15.7061427874 0.006
66.8653168775882 i 16.0108551438 0.007
73.7946846344528 i 16.236 0.008
83.7540196035867 i 16.579 0.007
