Phase Band Mag Sigma
-5.05320651627808 B 16.768766844 0.017
-4.08054245979671 B 16.6774357117 0.02
-3.08008661009809 B 16.5991996731 0.017
-0.386503673191632 B 16.5509730512 0.02
0.779300195479963 B 16.535714635 0.015
1.69054565530819 B 16.5606928322 0.018
2.69988552723763 B 16.596143737 0.016
2.76208342408782 B 16.5919074574 0.017
4.76840151859283 B 16.6557198318 0.032
5.48094491107374 B 16.7339929153 0.017
7.57873336602982 B 16.8959961481 0.016
8.53821750795146 B 16.9385882083 0.018
11.4587813680395 B 17.2384283256 0.023
12.4444402552782 B 17.4098718702 0.034
12.5195453116195 B 17.3791296152 0.026
13.3915237828371 B 17.3765017603 0.034
14.3986329079602 B 17.529176368 0.039
15.3158302730263 B 17.6940055116 0.044
19.1688755232644 B 17.979430986 0.097
23.2151969632306 B 18.5264044909 0.069
24.9596214857927 B 18.5993463502 0.07
27.0244455424765 B 18.7433952148 0.052
27.0897021925946 B 18.7952626182 0.07
-7.62047463274811 V 16.7019793242 0.016
-6.64847298143034 V 16.6197066005 0.016
-5.64802687298037 V 16.5600403844 0.014
-2.95374256590861 V 16.447441651 0.016
-1.78794843848567 V 16.4057581777 0.013
-0.876702978657446 V 16.4263217298 0.015
0.132617410767602 V 16.3997372651 0.014
0.194825048866447 V 16.3942971191 0.014
1.23138198012287 V 16.4159650033 0.021
2.18998940933258 V 16.4160138043 0.016
2.20116262588294 V 16.4319359329 0.018
2.9136962771081 V 16.4539902876 0.015
5.01146524955979 V 16.5268442598 0.013
5.97097861524157 V 16.6196293879 0.013
8.89153273407382 V 16.7276325488 0.015
9.87719162131252 V 16.783363758 0.019
9.95228693639808 V 16.783271635 0.017
10.8242654076228 V 16.8392076451 0.022
11.8313842739946 V 16.920220159 0.022
12.7485816390607 V 17.0619394927 0.027
14.6918640890053 V 17.1743047259 0.029
16.6016366305474 V 17.1826435813 0.043
20.6479385880092 V 17.3287948538 0.027
22.3923728518271 V 17.4311374705 0.03
24.4571774260065 V 17.6027796941 0.027
24.5224632998847 V 17.5738366348 0.032
27.2974441422008 V 17.7912569022 0.045
27.3287427863013 V 17.6842842 0.073
-6.35342992742695 r' 16.7784940937 0.016
-5.38208094002413 r' 16.69796471 0.015
-4.38164457282989 r' 16.6526538167 0.015
-0.521585620832504 r' 16.5770543904 0.013
0.389698803997425 r' 16.5738640754 0.012
1.39899971091808 r' 16.5703184975 0.018
1.46118786651962 r' 16.5564995786 0.013
2.49774479777604 r' 16.5745178518 0.019
3.45636196822731 r' 16.6085984761 0.018
3.46753518478476 r' 16.5936107088 0.021
4.18006883600993 r' 16.6434041682 0.013
6.27782806720587 r' 16.7652227596 0.013
7.23736091539204 r' 16.8431442775 0.012
10.1578955517199 r' 17.0597945724 0.015
11.1435446977099 r' 17.1485762283 0.015
11.2186692365556 r' 17.1312073371 0.018
12.0906574490291 r' 17.1539186268 0.019
13.0977568328964 r' 17.2689490587 0.021
14.0149347154581 r' 17.2686799113 0.022
15.9582366479071 r' 17.271681216 0.03
17.868018930705 r' 17.2581274882 0.028
17.9526801556894 r' 17.2514189149 0.024
21.9143208881668 r' 17.3312571649 0.02
23.6587648932333 r' 17.3249899144 0.022
25.7235694674127 r' 17.3933381421 0.018
25.7888261175308 r' 17.3808061307 0.02
28.5624431845109 r' 17.5581939348 0.021
-2.8478454105953 i' 17.1199254989 0.016
-1.87716856961181 i' 17.0862757664 0.017
-0.876712719913187 i' 17.0548793778 0.018
1.81978285146762 i' 17.0935860197 0.02
2.98333649082846 i' 17.1218668853 0.018
3.89459169190534 i' 17.151158001 0.016
4.90391208133039 i' 17.224848487 0.038
4.96610023693193 i' 17.2361762441 0.038
7.68500068892663 i' 17.3258810104 0.019
9.78274043761818 i' 17.4638438718 0.022
10.7422830270601 i' 17.5223864454 0.02
13.6628274046366 i' 17.7119425783 0.024
14.6484375856179 i' 17.7176549644 0.032
14.723581606968 i' 17.7135919826 0.027
15.5955405956812 i' 17.718257315 0.025
16.6026789445645 i' 17.6947279969 0.024
17.5198373446147 i' 17.7651494989 0.031
19.4631685008238 i' 17.626094536 0.043
21.3729313011173 i' 17.5828975443 0.04
21.4575827848459 i' 17.5692044283 0.029
25.4192429998277 i' 17.4505664914 0.028
27.1636772636456 i' 17.4138940332 0.029
29.228481837825 i' 17.411407746 0.022
29.2937579704475 i' 17.4112916983 0.028
32.0659917795802 i' 17.5333632327 0.023
