Phase Band Mag Sigma
-11.3579298857021 B 15.5531994568 0.006
-10.5898071691715 B 15.2096407326 0.005
-6.5729817027493 B 14.2437462078 0.006
-4.58811195118601 B 14.0430538157 0.008
-3.59382744727524 B 13.982216746 0.008
-0.696096606264295 B 13.9079593803 0.009
1.37336877143503 B 13.9186733079 0.007
4.32686689484673 B 14.0109402952 0.007
8.36101522253129 B 14.253526878 0.006
10.3083255900656 B 14.4238090237 0.008
12.3009021254882 B 14.6142489146 0.006
14.3036416713587 B 14.8261859989 0.007
18.3169269893288 B 15.2731450048 0.008
27.1983142019857 B 16.0902422825 0.01
29.1970163875406 B 16.2623805767 0.013
31.1662736866528 B 16.399794793 0.01
36.1304667457225 B 16.6708268844 0.009
41.1213401932816 B 16.8190367507 0.01
44.1758220457866 B 16.8834664259 0.011
46.0832361335471 B 16.8997135435 0.011
50.0590018444434 B 16.9379333053 0.011
56.0117415825374 B 17.0314602086 0.014
57.0233489477033 B 17.0834402486 0.017
57.9961240664705 B 17.0744506653 0.022
66.9466336721375 B 17.1481408248 0.022
70.9408558873337 B 17.2760743593 0.013
-13.5268376357156 V 15.2434314904 0.007
-12.758714919185 V 14.9284541296 0.005
-8.74188945276279 V 14.0333547913 0.006
-6.75701970119951 V 13.8337634445 0.008
-5.76273519728874 V 13.7609659059 0.006
-2.86500435627779 V 13.6426628221 0.007
-0.795538978578463 V 13.6011339636 0.006
2.15795914483324 V 13.6101944188 0.006
6.1921074725178 V 13.7367680848 0.005
8.13941784005212 V 13.8418418091 0.007
10.1319943754747 V 13.9641275605 0.006
12.1347339213452 V 14.1004604576 0.004
16.1480192393153 V 14.2943444671 0.006
25.0294064519722 V 14.7083950821 0.006
27.0281086375271 V 14.8179183412 0.006
28.9973659366394 V 14.9473581915 0.008
33.961558995709 V 15.2929571109 0.006
38.9524324432681 V 15.5057546034 0.006
42.0069142957731 V 15.6020715654 0.005
43.9143283835336 V 15.6593502611 0.008
47.8900940944299 V 15.7828147163 0.006
53.8428338325239 V 15.9371513592 0.008
54.8544411976898 V 15.9661720366 0.008
55.827216316457 V 16.0108210651 0.01
64.7777259221239 V 16.2530759958 0.014
68.7719481373202 V 16.3686408615 0.01
-13.3279528910728 r 15.1096285557 0.005
-12.5598301745422 r 14.7932765508 0.004
-8.54300470811999 r 13.9845420793 0.007
-6.5581349565567 r 13.8100010875 0.006
-5.56385045264593 r 13.7599064153 0.006
-2.66611961163498 r 13.6798160155 0.006
-0.596654233935656 r 13.6480112327 0.004
2.35684388947605 r 13.6729794893 0.005
6.3909922171606 r 13.8768490453 0.004
8.33830258469493 r 14.0185072425 0.006
10.3308791201175 r 14.1731790429 0.006
12.333618665988 r 14.3001619615 0.004
16.3469039839581 r 14.3757842542 0.006
25.228291196615 r 14.4748075132 0.006
27.2269933821699 r 14.5473886749 0.004
29.1962506812822 r 14.6466036403 0.007
34.1604437403518 r 14.9948155705 0.005
39.1513171879109 r 15.2670672304 0.005
42.2057990404159 r 15.3811696122 0.004
44.1132131281764 r 15.444318601 0.008
48.0889788390727 r 15.5808117478 0.004
54.0417185771667 r 15.7796753798 0.006
55.0533259423326 r 15.8163342402 0.009
56.0261010610998 r 15.8495813717 0.007
64.9766106667668 r 16.1358990317 0.007
68.970832881963 r 16.2724579219 0.008
-10.8607180240879 i 15.4068485173 0.007
-10.0925953075572 i 15.0798225518 0.004
-6.07576984113505 i 14.2998142349 0.009
-4.09090008957176 i 14.1353129808 0.008
-3.09661558566099 i 14.0927750329 0.006
-0.198884744650042 i 14.0797582638 0.008
1.87058063304928 i 14.1249275938 0.006
4.82407875646099 i 14.2231525162 0.005
8.85822708414554 i 14.3995253125 0.007
10.8055374516799 i 14.5299463453 0.009
12.7981139871025 i 14.6647748724 0.009
14.8008535329729 i 14.7222224977 0.005
18.814138850943 i 14.611830581 0.008
27.6955260635999 i 14.4169881088 0.008
29.6942282491548 i 14.4387422274 0.004
31.6634855482671 i 14.4869050668 0.009
36.6276786073367 i 14.8666198864 0.006
41.6185520548959 i 15.1730143042 0.006
44.6730339074008 i 15.3361505091 0.006
46.5804479951614 i 15.4375933979 0.01
50.5562137060576 i 15.6420921375 0.006
56.5089534441517 i 15.9449389309 0.009
57.5205608093176 i 15.9774151062 0.009
58.4933359280848 i 16.0204172283 0.009
67.4438455337517 i 16.3668780891 0.009
71.4380677489479 i 16.5517431659 0.01
