Phase Band Mag Sigma
-4.11841288426355 B 15.865056101 0.0305
0.593264555960983 B 15.7263632602 0.0178
2.71970270389843 B 15.780363151 0.0184
4.67629909720562 B 15.905225822 0.0195
5.66849451608228 B 15.9644743791 0.0171
6.54661504859043 B 16.0446798784 0.0199
7.62487337905057 B 16.1435806897 0.0182
9.62538123724379 B 16.3466891865 0.0328
11.5944164107433 B 16.5958835026 0.0251
12.4966135964806 B 16.7349493601 0.0363
16.4880480902821 B 17.2502647371 0.0501
21.4293386891474 B 18.0374683452 0.2794
23.4177835013647 B 17.9552611377 0.2069
26.3618984112985 B 18.2287989536 0.1283
35.2220573610379 B 18.66369197 0.0895
58.9490206857413 B 19.623383699 0.1757
62.9099811568516 B 19.2871922152 0.2347
-5.79931923841545 V 16.0494650555 0.028
-1.08765168592967 V 15.808547635 0.0156
1.03878646200778 V 15.8304530505 0.0154
2.99540263079966 V 15.8863150619 0.0158
3.98826052843173 V 15.9092551463 0.0152
4.86569880669977 V 15.9619265155 0.0175
5.94394724941397 V 16.0270156891 0.0159
7.94514724958606 V 16.1495718093 0.0163
9.91419231083152 V 16.3138415165 0.0162
10.8163894965688 V 16.3832960729 0.0176
14.8078239903703 V 16.6457869753 0.0182
16.7819711267905 V 16.8049440072 0.0227
21.737559401453 V 17.0532446552 0.046
24.681654535902 V 17.3881945401 0.0416
28.6747996091768 V 17.6221867936 0.1296
33.5418233733802 V 17.9261840499 0.0547
57.2681044438507 V 18.6611285068 0.0692
61.2290649149609 V 18.8280368177 0.0959
-4.51391270050118 r' 16.1274991854 0.0218
0.197754851984596 r' 16.0291510319 0.0173
2.3242028876608 r' 16.0576425167 0.0171
4.28081905645268 r' 16.1257277629 0.0162
5.27256952691282 r' 16.1851826143 0.0153
6.15110534460684 r' 16.2595536777 0.015
7.22934389958229 r' 16.3573996873 0.0163
8.24617957302003 r' 16.4613418804 0.0382
9.23124592947918 r' 16.5534520034 0.019
11.2002811029787 r' 16.6784233103 0.0168
12.102488176462 r' 16.7021053193 0.0179
16.0939226702634 r' 16.8630841414 0.0347
18.0680698066836 r' 16.7653907822 0.0275
21.0352429323594 r' 16.9876357377 0.0489
23.023667969092 r' 16.9879389088 0.0446
25.9677532157952 r' 17.2547568091 0.0335
29.9608982890699 r' 17.4721849595 0.0279
34.8279220532733 r' 17.8264012839 0.0291
58.5528188397789 r' 18.8194180932 0.0903
62.5137891986279 r' 18.8272071484 0.0691
-2.23973190264955 i' 16.5641343977 0.0279
2.47193564983623 i' 16.5561682616 0.0275
4.59837379776649 i' 16.6735213862 0.0209
6.55498996655837 i' 16.7603759028 0.0271
7.5467404370185 i' 16.8067446997 0.0261
8.42528614245848 i' 16.9527621989 0.0305
9.50350492194923 i' 17.0393801557 0.0346
10.5199154224551 i' 17.1045698097 0.0348
11.5212965542084 i' 17.2090707797 0.0327
13.4751540428164 i' 17.2288650449 0.0571
14.3773611162924 i' 17.2013714315 0.0362
18.3687956100939 i' 16.9742763512 0.0391
20.3429328587753 i' 16.9696462564 0.0327
23.3101059844511 i' 16.9151475101 0.0431
25.2985211334378 i' 16.9103533767 0.04
28.2426063801481 i' 17.12963722 0.0459
32.2357811166463 i' 17.4543001134 0.0708
37.102785105365 i' 17.7437820385 0.061
60.8415642824748 i' 19.2623698782 0.2929
