Phase Band Mag Sigma
-5.47234482604831 B 16.6047317295 0.0195
-4.61667406464942 B 16.4866325587 0.0192
-1.56358293540193 B 16.3351385103 0.0263
0.325860456129709 B 16.3705543133 0.058
2.1179219479692 B 16.3487919639 0.0316
9.05021347798015 B 16.7772906378 0.0347
10.0806146324118 B 16.8512392969 0.0344
10.8625331412231 B 16.9445002797 0.0229
12.9289057142953 B 17.1352339938 0.0264
16.8281883833935 B 17.527302281 0.0364
17.8308163959328 B 17.5922745106 0.026
18.8173492766285 B 17.6799445042 0.0352
21.7619472949419 B 17.9331653971 0.0381
23.6246534182781 B 18.1172896276 0.0673
25.5419188136712 B 18.2373561811 0.071
34.2936540816758 B 18.7671337068 0.3799
48.0280493175425 B 19.1827338841 0.1367
49.0447886660728 B 19.1293151049 0.1626
50.9400759488272 B 19.1475974005 0.1488
52.8779415493929 B 19.3891167991 0.2326
-7.26475812404649 V 16.6713541269 0.0366
-6.41032845660322 V 16.4224332499 0.0457
-3.35530239347228 V 16.2006698827 0.0229
-1.46585900194064 V 16.1479313502 0.03
0.326202489898854 V 16.1565560532 0.029
7.2584940199098 V 16.3278996744 0.0322
8.28889517434148 V 16.3862183265 0.0285
9.07083322793893 V 16.4403924464 0.0187
11.1364924162971 V 16.5346383655 0.0193
15.0357750853953 V 16.7333543408 0.0199
16.0429668056294 V 16.7804107613 0.023
17.0249555234165 V 16.8242713618 0.03
19.9695535417299 V 17.0015640479 0.0273
21.8286536519235 V 17.090935366 0.0273
23.7495250604592 V 17.2410441878 0.0287
32.5012505560743 V 17.8444559607 0.1368
46.235645791941 V 18.1996922457 0.0553
47.2500886280325 V 18.2065055659 0.0613
49.1476626508362 V 18.2986195245 0.0701
51.0855380237914 V 18.365727186 0.074
-6.09230545993832 r' 16.6391536772 0.0181
-5.23709400102577 r' 16.5272425827 0.0171
-2.18262496431926 r' 16.3963510575 0.0167
-0.293171800390972 r' 16.3913147262 0.0306
1.49887014666232 r' 16.4464264963 0.0252
8.43118122145946 r' 16.5890864209 0.0197
9.46156283110495 r' 16.6659469863 0.0192
10.2435008847024 r' 16.712569774 0.0224
12.3084955503156 r' 16.805035623 0.0197
16.2026086233256 r' 16.8716768007 0.0221
17.2048457401338 r' 16.8972406864 0.0207
18.1969488850384 r' 16.8977293117 0.0256
21.1415469033517 r' 16.9320782109 0.0211
22.9974123513477 r' 16.9978237459 0.0277
24.9215281944777 r' 17.085049809 0.0269
33.6732536900928 r' 17.7353553726 0.0683
47.407658698349 r' 18.1492204917 0.0555
48.423371945579 r' 18.2426437427 0.0671
50.3196755572442 r' 18.2957135703 0.0368
52.2575411578099 r' 18.3154656207 0.071
-4.69171627315462 i' 16.8641999855 0.021
-3.8369445719422 i' 16.7723606599 0.0224
-0.781791467704519 i' 16.6538037469 0.0209
1.10765192382712 i' 16.7280178344 0.0375
2.89970364327707 i' 16.7365020145 0.0294
9.83198540089136 i' 16.9774959005 0.0211
10.8623963277197 i' 17.0278387422 0.0251
11.6443246089276 i' 17.0572265796 0.0234
13.7086352070025 i' 17.0473717485 0.0234
17.6027482800125 i' 16.9568685161 0.0247
18.6053567477656 i' 16.9031151972 0.0333
19.5970983141219 i' 16.852052333 0.0258
22.5416963324353 i' 16.8334859282 0.0236
24.3946398348199 i' 16.8699768309 0.0237
26.3216678511646 i' 16.9139134841 0.0286
35.073383574383 i' 17.4487880282 0.0953
48.8077983550359 i' 18.0195780133 0.0453
49.824791785794 i' 18.0920079218 0.0599
51.7198152139311 i' 18.2400634661 0.0587
53.6576808144968 i' 18.3080539617 0.0507
