Phase Band Mag Sigma
-5.74876020229581 B 15.2368888582 0.0152
-4.78947369034271 B 15.2264219092 0.031
-3.9767638710704 B 15.2069208593 0.0336
-2.00507441345791 B 15.1120600161 0.0267
-0.997711999101702 B 15.1441148548 0.0515
0.11982762075498 B 15.1173656302 0.0424
2.05536227716991 B 15.1013209096 0.0287
4.0545446520921 B 15.1958793875 0.0501
4.78045945863768 B 15.2061423124 0.0197
6.04148294031266 B 15.2110176484 0.0255
8.68287793990907 B 15.3692874665 0.0582
16.526835297792 B 15.9211664121 0.026
18.4625657029903 B 16.0840239814 0.057
20.4077605621025 B 16.1997014896 0.0251
21.5809907122343 B 16.3025616222 0.0374
22.5631113203392 B 16.3767960062 0.0545
23.4917435720495 B 16.4431821141 0.024
27.274745505011 B 16.7740880398 0.0371
28.4176345929533 B 16.7858102936 0.0343
30.330344940652 B 16.9205846139 0.029
35.128969886841 B 17.2042069955 0.0394
36.2062733432638 B 17.260320217 0.0352
37.3136927507646 B 17.3028505219 0.0368
39.2193561420844 B 17.4364708271 0.0537
45.8954175043209 B 17.6242448484 0.029
46.9294311162113 B 17.5895177512 0.0716
47.8344267017224 B 17.6624511164 0.0484
50.0187776429505 B 17.7085422506 0.0475
52.7805092101457 B 17.7143853409 0.0603
55.7714234586921 B 17.8941018233 0.0627
57.6608201257019 B 17.8793356842 0.0727
60.6253180752612 B 17.8694112541 0.0592
77.1851076815682 B 18.1944857198 0.056
138.815948132579 B 19.143 0.1415
142.737618507182 B 19.144 0.1735
-9.92486485193614 V 15.8282930013 0.0424
-5.07570735603816 V 15.2507234442 0.0181
-4.11641105664945 V 15.2382427485 0.0405
-3.30371102481275 V 15.1721007842 0.0353
-1.33201177976465 V 15.1053482095 0.0151
-0.324659152844053 V 15.0875786639 0.0157
0.782995153203855 V 15.0795361375 0.0153
2.72842491086317 V 15.0796698299 0.0169
4.72759749835688 V 15.1183437163 0.0158
5.45420721309405 V 15.1394252946 0.0176
6.71522090733342 V 15.1582708375 0.0166
9.35661590692271 V 15.2474026833 0.0251
10.3944368327455 V 15.2635173753 0.017
12.3054931031785 V 15.3035711278 0.0167
13.2812910254244 V 15.3123634593 0.0177
14.3633413899611 V 15.3746370103 0.0181
17.1998881440497 V 15.4591589043 0.0151
19.1356087618124 V 15.5472999119 0.0155
21.0808134083602 V 15.6293588245 0.0152
22.2515771237575 V 15.6884677791 0.0343
23.186620148283 V 15.6942037365 0.0229
24.1641210849868 V 15.7620485703 0.0164
27.9471132305126 V 15.9237089839 0.0248
29.0866648016097 V 15.9447853704 0.0173
31.0027126661465 V 16.0392225733 0.0168
35.8013473997854 V 16.2463963692 0.0162
36.8720149722815 V 16.2906215799 0.0162
37.9860800511446 V 16.3582832052 0.0165
38.7002988675819 V 16.3866094268 0.0165
39.8917140801433 V 16.440169702 0.0331
41.6615278123809 V 16.6261725228 0.0247
43.7013378483179 V 16.5713272044 0.0253
46.5677950172582 V 16.6750433049 0.0223
47.5980991896078 V 16.6553338316 0.021
48.50500332581 V 16.667239833 0.0183
50.689354267031 V 16.748376692 0.0198
53.451095621669 V 16.7853933958 0.03
56.4420000827726 V 16.8899983673 0.0447
58.3313869623468 V 16.9203420436 0.0379
60.3037909030363 V 17.0276451598 0.0351
61.2977053756412 V 16.9679033798 0.0211
74.1082107777638 V 17.302580076 0.0291
75.0987681586451 V 17.3606647096 0.0533
77.8574754070627 V 17.3281918104 0.0244
87.7735217760772 V 17.497 0.041
91.5599395254044 V 17.6775 0.0629
96.5158975601938 V 17.827 0.0488
139.492338495675 V 18.659 0.0727
143.409996020119 V 18.7185 0.0624
-7.41235085455642 r' 15.4826210963 0.0167
-6.4530545551677 r' 15.4683749124 0.0361
-5.64035452333101 r' 15.426528331 0.0174
-3.6686552782829 r' 15.4076794684 0.0369
-2.6613026513623 r' 15.3711240946 0.0243
-1.56599030641483 r' 15.3554545629 0.0242
0.391781412344917 r' 15.3559436967 0.0241
2.39095399983862 r' 15.3764887597 0.0349
3.11824883533179 r' 15.3934168455 0.0186
4.37925274213556 r' 15.4035139577 0.0336
7.02065752916045 r' 15.4512817481 0.0208
8.03757248439372 r' 15.4829723914 0.0395
9.96951515053792 r' 15.5433792991 0.0389
10.9453326476621 r' 15.6014722786 0.0272
12.0273732247633 r' 15.5823632811 0.0197
14.8639297662874 r' 15.654926948 0.0241
16.7996503840501 r' 15.6979962119 0.0254
18.7448648180406 r' 15.7453026261 0.0169
19.9149336252393 r' 15.7756531969 0.0375
20.8569746689442 r' 15.8136959591 0.0184
21.8135304853019 r' 15.8122044942 0.017
25.6104697319944 r' 15.8959462072 0.015
26.7463216509934 r' 15.9347172502 0.0177
28.6660887425137 r' 15.9802395057 0.019
33.4647039012671 r' 16.1446335691 0.022
34.5353910486416 r' 16.1976988342 0.0188
35.6494365526263 r' 16.2541557326 0.0209
36.3636651564993 r' 16.2610927247 0.0248
37.5550705816251 r' 16.3484092581 0.0246
39.324903888741 r' 16.3999967231 0.0269
41.3646943497996 r' 16.4633757564 0.0191
44.23115151874 r' 16.6032812076 0.031
45.2614556910896 r' 16.6089774542 0.0269
46.1683696147345 r' 16.6414007324 0.0328
48.3527303433982 r' 16.723040244 0.0219
51.1144325482724 r' 16.8089394901 0.0216
54.1053565842544 r' 16.8842458493 0.0282
55.9947336763858 r' 16.9336479102 0.0251
57.9671669793964 r' 16.9671761562 0.0302
58.9610912394369 r' 16.9911301643 0.0206
71.7715574918029 r' 17.412581594 0.0258
72.7386837427252 r' 17.4579379787 0.0773
75.5208319085445 r' 17.4738818623 0.0261
85.4474291372525 r' 17.669 0.0803
88.3711526142131 r' 17.6675 0.0893
89.2199193602842 r' 17.79 0.0362
94.1785787283551 r' 17.8285 0.0462
137.154001770142 r' 19.0115 0.0835
141.087622608271 r' 19.148 0.0909
-37.2070096611432 i' 16.2097322827 0.0414
-32.3578521652523 i' 15.8802746075 0.0213
-31.3985558658565 i' 15.8098754362 0.0389
-30.5858656214625 i' 15.7454626428 0.0185
-28.6141663764144 i' 15.7088483636 0.0206
-27.6067941746155 i' 15.6702044072 0.0201
-26.5115014045463 i' 15.6500303932 0.0193
-24.5537296857866 i' 15.6735383484 0.0194
-22.5545473108573 i' 15.6803091926 0.0188
-21.826567354601 i' 15.7119242227 0.0184
-20.56557323524 i' 15.7158324695 0.0195
-17.924168448208 i' 15.7318061269 0.0175
-16.9177162657122 i' 15.7429370879 0.0494
-14.9753108268305 i' 15.7595177772 0.0192
-13.9994933297063 i' 15.7330869126 0.0189
-12.9174625400478 i' 15.7218680244 0.0213
-10.0809059985237 i' 15.7029343961 0.0194
-8.14516580588267 i' 15.710044007 0.0203
-6.19996115932778 i' 15.665396058 0.0185
-4.11105732727865 i' 15.6842001366 0.0353
-3.13198061282966 i' 15.6469004522 0.0203
0.664968421305609 i' 15.6766941876 0.0205
1.79839305532694 i' 15.6936854992 0.0196
3.72057764438223 i' 15.7273673229 0.02
8.5192025905712 i' 15.8922266622 0.0205
9.58987016306735 i' 15.9306002396 0.0195
10.7039254544948 i' 15.9908911656 0.0415
11.4181736332532 i' 16.0065247934 0.0205
12.6095594834936 i' 16.0665420859 0.032
14.3793927906095 i' 16.0953692675 0.02
16.4191930391108 i' 16.1863722128 0.0245
20.3159348055224 i' 16.3497721394 0.0489
21.2228487291602 i' 16.3603965463 0.0176
23.4072192452667 i' 16.5130382529 0.0243
26.1689312375836 i' 16.5903411898 0.0239
29.1598356986872 i' 16.7148998473 0.0297
31.0263101825891 i' 16.7992989288 0.0313
33.0216558812649 i' 16.8905601251 0.0265
46.8260463936713 i' 17.4045637676 0.0309
47.8040954269828 i' 17.4758102632 0.1031
50.5753110229773 i' 17.5157367886 0.0372
60.5014971792261 i' 17.6965 0.1251
64.2692307067083 i' 17.9515 0.1015
69.2324020843459 i' 18.083 0.0645
112.230209000075 i' 19.115 0.1202
116.141445964254 i' 19.207 0.1123
