Phase Band Mag Sigma
-10.0727700493967 B 17.3448670819 0.0261
-9.18832179340425 B 17.061972772 0.0309
-8.13546749165913 B 16.8365197721 0.0256
-7.20132870534986 B 16.6359317289 0.0248
-2.25732213543631 B 16.1358128609 0.0251
-0.166865178033799 B 16.1450571764 0.0337
2.60464549651837 B 16.2228065924 0.0383
9.30751821659082 B 16.8136700672 0.0314
11.3666082107546 B 17.109381707 0.0279
12.3958097022957 B 17.2415492296 0.0321
13.3484879734471 B 17.3322867852 0.0283
17.2974178738393 B 17.7814919744 0.0426
19.269856141335 B 18.0686720867 0.0558
21.1682836861229 B 18.2536967798 0.0773
23.2690163664648 B 18.4502103493 0.0605
28.1000488707231 B 18.8088446096 0.0898
-10.8873590925205 V 17.3040700958 0.0258
-10.0029206509683 V 17.043031917 0.0266
-8.95005653478291 V 16.7848843307 0.021
-8.01589811958601 V 16.6081274054 0.0195
-7.0399007293347 V 16.4606258 0.0207
-3.07371703626567 V 16.1146565982 0.0187
-2.08673728310578 V 16.1243884354 0.0303
-0.981444406710197 V 16.0941118514 0.0222
1.78880020455716 V 16.0995944406 0.0189
2.75354042746582 V 16.1446338518 0.0197
3.72877229107781 V 16.1002719792 0.0251
6.84362166243577 V 16.3517004978 0.0372
8.49292917346703 V 16.4611941106 0.0256
10.5520289820782 V 16.6153773427 0.0209
11.5812304736193 V 16.6564267201 0.0221
12.5339087447636 V 16.7146282604 0.0206
16.4828288307155 V 16.9378386437 0.0228
18.455286727106 V 17.0524424204 0.0261
20.3537044574465 V 17.1772140711 0.0284
22.4544273233481 V 17.3444892681 0.0292
27.2268872254083 V 17.7312116932 0.0488
59.5684836463937 V 19.0038344645 0.1925
-8.10808519271098 r' 17.3671026929 0.0205
-7.22368600893406 r' 17.1355075369 0.0214
-6.1707924494208 r' 16.8554529479 0.0208
-5.23663403422389 r' 16.6674952569 0.0203
-4.26064645841283 r' 16.5183126839 0.0187
-0.294433322015915 r' 16.2577815384 0.0206
0.692526802256332 r' 16.3041665094 0.0343
1.79782949309217 r' 16.2979393029 0.0233
4.56806428991928 r' 16.2947564693 0.0206
5.53280451282794 r' 16.3489915429 0.0208
6.50803637643993 r' 16.4483928538 0.0338
9.62289556223813 r' 16.6726150858 0.0261
11.2722030732694 r' 16.8146682882 0.0212
13.3312930674403 r' 16.9314863943 0.0201
14.3604945589814 r' 16.9589612859 0.0208
15.3131728301257 r' 16.9710958183 0.0202
19.2620929160776 r' 17.0207037357 0.0205
21.2345409980207 r' 17.0704280735 0.0244
23.1329685428087 r' 17.1507820991 0.0301
25.2337012231505 r' 17.2099049607 0.0222
30.0012735320745 r' 17.6257571213 0.0321
-7.02849634532405 i' 17.5431189497 0.0518
-6.14409716154713 i' 17.3686917602 0.0437
-5.09119378758648 i' 17.0817998696 0.0319
-4.15704518683696 i' 16.9295544425 0.0351
-3.18104779658565 i' 16.8214139421 0.0344
0.785155525371014 i' 16.5941030009 0.0249
1.77211564964326 i' 16.6716591746 0.05
2.8774183404791 i' 16.7248099065 0.0327
5.64765313730621 i' 16.831178041 0.0282
6.61240317466225 i' 16.9372985259 0.0342
7.587625223834 i' 17.0028613714 0.0421
12.3517919206563 i' 17.4351046933 0.0479
14.3678946498139 i' 17.4147305494 0.0384
15.4400834063684 i' 17.348356951 0.0456
16.39277149196 i' 17.3887211745 0.0472
20.341691577912 i' 17.231053648 0.0404
22.3141494742953 i' 17.1770637329 0.0408
24.2125573901956 i' 17.1476936676 0.0494
26.3132998849848 i' 17.1488657921 0.0471
31.0914423501627 i' 17.5352428067 0.0561
