"","Gen_Method","Fit_Method","Mean1","Mean2","YPC1","YPC2","ZPC1","ZPC2","Ind1","Ind2"
"1","t_0.04_550","t",244.84,289.26,61.03,65.3,62.9,65.4,112.26,114.92
"2","t_0.04_550","slash",244.84,289.26,60.69,65.09,62.17,64.72,112.27,115
"3","t_0.04_550","norm",246.89,289.93,172.52,180.73,191.91,198.59,131.94,144.91
"4","t_0.04_550","t",43.41,53.81,52.29,55.9,54.94,58.01,30.34,31.27
"5","t_0.04_550","slash",43.42,53.82,52.21,55.79,54.96,58.06,30.35,31.29
"6","t_0.04_550","norm",43.72,54.2,72.63,76.75,76.1,118.94,31.16,41.88
"7","t_0.04_550","t",20.67,24.01,51.48,54.94,52.25,55.07,13.95,14.36
"8","t_0.04_550","slash",20.67,24.02,51.77,55.35,52.76,55.53,13.97,14.38
"9","t_0.04_550","norm",20.73,24.16,54.91,59.14,57.22,107.03,14.19,20.45
"10","t_0.25_550","t",246.96,291.22,67.18,78.09,70.84,78.06,272.07,279.32
"11","t_0.25_550","slash",246.83,291.12,66.87,77.98,70.28,77.47,272.24,279.32
"12","t_0.25_550","norm",260.62,297,189.46,206.04,213.68,248.15,324.2,357.55
"13","t_0.25_550","t",45.27,55.03,57.25,66.49,62.1,70.93,73.48,75.8
"14","t_0.25_550","slash",45.3,55.07,57.5,66.57,61.98,70.91,73.55,75.85
"15","t_0.25_550","norm",46.68,56.41,78.77,89.57,85.02,200,75.27,100.81
"16","t_0.25_550","t",21.98,24.99,57.23,65.56,59.73,68.39,33.71,34.82
"17","t_0.25_550","slash",22,25,57.53,65.82,59.95,68.55,33.74,34.83
"18","t_0.25_550","norm",22.27,25.31,62.43,74.3,65.06,130.98,34.59,41.17
"19","s_0.04_550","t",268.43,314.68,56.48,60.12,60.18,63.02,127.07,131.4
"20","s_0.04_550","slash",268.56,314.64,56.99,60.75,59.84,62.64,130.54,131.44
"21","s_0.04_550","norm",271.93,314.72,160.49,166.51,161.35,168.08,151.9,163.94
"22","s_0.04_550","t",116.36,145.79,52.18,55.57,51.47,53.98,85.14,87.84
"23","s_0.04_550","slash",116.35,145.77,52.36,55.71,51.89,54.4,85.15,87.81
"24","s_0.04_550","norm",116.72,146.04,64.99,69.25,67.1,70.09,86.35,90.13
"25","s_0.04_550","t",102.17,124.04,52.99,56.84,50.66,53.44,71,73.02
"26","s_0.04_550","slash",102.18,124.04,53.13,56.98,50.87,53.68,71.01,73.03
"27","s_0.04_550","norm",102.23,124.04,53.64,57.38,51.66,54.42,71.03,73.12
"28","s_0.25_550","t",272.24,314.32,61.49,71.02,66.8,75.06,307.2,318.98
"29","s_0.25_550","slash",272.05,314.24,61.61,71.06,66.51,74.65,307.12,318.86
"30","s_0.25_550","norm",293.01,317.84,168.31,187.22,180.47,211.31,381.95,408.37
"31","s_0.25_550","t",122.11,149.76,57.72,66.01,58.7,67.34,205.94,213.6
"32","s_0.25_550","slash",122.08,149.63,57.79,66.2,59.09,66.59,205.87,212.79
"33","s_0.25_550","norm",123.99,151.05,72.01,81.88,76.09,85.33,208.61,217.93
"34","s_0.25_550","t",107.95,127.97,58.4,66.95,58.14,66.55,171.74,176.94
"35","s_0.25_550","slash",107.96,127.95,58.53,67,58.24,66.71,171.71,176.91
"36","s_0.25_550","norm",108.1,127.95,59.28,67.91,59.37,67.72,171.88,177.14
"37","n_0.04_550","t",87.72,108.51,51.34,55.01,49.81,52.42,63.56,65.48
"38","n_0.04_550","slash",87.7,108.52,51.14,54.79,49.77,52.36,63.56,65.47
"39","n_0.04_550","norm",87.7,108.52,51.09,54.79,49.77,52.37,63.57,65.47
"40","n_0.25_550","t",92.75,112.41,57.31,66.65,57.58,65.45,153.6,158.62
"41","n_0.25_550","slash",92.76,112.4,57.02,66.3,57.38,65.33,153.58,158.62
"42","n_0.25_550","norm",92.71,112.39,57.01,66.38,57.41,65.42,153.6,158.61
