Phase Band Mag Sigma
-9.21931882914329 B 14.955139045 0.016
-8.21700321908302 B 14.7175781124 0.016
-6.22229591590299 B 14.3379811726 0.023
-5.26959989049473 B 14.2006039165 0.01
-4.23751252964903 B 14.0920529041 0.01
-3.24512083652205 B 14.0390395261 0.01
-2.27257697725443 B 13.9510349238 0.01
-1.28018528412745 B 13.9043309517 0.01
-0.297717507933762 B 13.8854856261 0.01
0.684750268267147 B 13.8959575542 0.01
2.65960973758782 B 13.9639149206 0.01
3.62222967992214 B 13.9935257319 0.01
8.59411206248311 B 14.3354955871 0.013
9.60635158947668 B 14.4591499855 0.01
11.5812110587973 B 14.6473563981 0.01
12.5239831672651 B 14.7786812129 0.01
13.5461466111919 B 14.8884622938 0.01
14.5583861381783 B 15.0247759724 0.01
16.5530934413655 B 15.2426674771 0.01
18.4287137413749 B 15.4752923796 0.01
20.4134971276289 B 15.6545978596 0.011
22.4578240154682 B 15.8677828445 0.02
24.3731399832035 B 16.0809784903 0.023
26.3579233694575 B 16.2291344874 0.027
28.3724785065041 B 16.3664517511 0.023
30.3076423081061 B 16.466727781 0.026
40.2811788240279 B 16.9486254414 0.021
44.1912020949505 B 17.0459627933 0.045
46.2355289827898 B 17.0800844302 0.029
47.2080728420574 B 17.0639227551 0.029
48.1905406182511 B 17.0813110389 0.024
52.0608682214477 B 17.1255855414 0.051
66.0535910945367 B 17.3681363774 0.058
69.8742991130741 B 17.3985256057 0.083
73.9431050549005 B 17.41 0.032
77.8829000766086 B 17.464 0.023
101.630833293137 B 17.846 0.059
113.529609693735 B 18.02 0.073
134.340063498602 B 18.299 0.102
135.332455191729 B 18.32 0.043
-12.0476351545682 V 14.9499708242 0.019
-11.0453195445079 V 14.7044872863 0.016
-10.0330800175216 V 14.5079554263 0.011
-9.05061224132788 V 14.344703681 0.01
-8.09791621591962 V 14.1973039724 0.01
-7.06582885507392 V 14.1001593418 0.01
-6.07343716194694 V 14.0290168613 0.01
-5.10089330267932 V 13.945988857 0.01
-4.10850160955234 V 13.8918726706 0.01
-3.12603383335865 V 13.8815042817 0.01
-2.14356605715774 V 13.847636898 0.01
-0.168706587837074 V 13.8354684819 0.01
0.793913354497252 V 13.8302294794 0.01
5.76579573705822 V 13.9825655982 0.021
6.77803526405179 V 14.0383165069 0.011
8.75289473337245 V 14.1608077607 0.01
9.6956668418402 V 14.2094892228 0.01
10.7178302857671 V 14.3036636553 0.01
11.7300698127534 V 14.3706619632 0.01
13.7247771159406 V 14.4805082228 0.027
15.6003974159501 V 14.5806438408 0.01
17.585180802204 V 14.6919600033 0.01
19.6295076900433 V 14.8063977079 0.01
21.5448236577787 V 14.9064663653 0.014
23.5296070440326 V 15.0229462095 0.012
25.5441621810792 V 15.1388695472 0.015
27.4793259826812 V 15.2870008765 0.013
37.452862498603 V 15.8548496187 0.014
41.3628857695256 V 15.952134399 0.022
43.4072126573649 V 16.0271480026 0.017
44.3797565166325 V 16.0569982712 0.02
45.3622242928262 V 16.0795489867 0.021
49.2325518960228 V 16.1850858885 0.018
63.2252747691118 V 16.5405459283 0.026
67.0459827876492 V 16.5520102373 0.055
71.1147887294756 V 16.807 0.027
75.0545837511837 V 16.93 0.038
98.8025169677126 V 17.496 0.035
110.70129336831 V 17.78 0.128
131.511747173177 V 18.154 0.078
132.504138866304 V 18.186 0.058
-10.0926235191069 R 14.7556342278 0.01
-9.0903079090466 R 14.4266750353 0.016
-8.07806838206026 R 14.3211678296 0.011
-7.09560060586657 R 14.2027273289 0.01
-6.14290458045832 R 14.062055244 0.01
-5.11081721961261 R 13.9827910196 0.01
-4.11842552648563 R 13.9166276535 0.01
-3.14588166721801 R 13.9011196083 0.022
-2.15348997409103 R 13.8550349281 0.028
-1.17102219789735 R 13.8347534327 0.01
-0.188554421696437 R 13.8162458283 0.01
1.78630504762423 R 13.8149509852 0.013
2.74892498995856 R 13.8374087002 0.01
7.72080737251953 R 14.0467495189 0.015
8.73304689951309 R 14.1377117079 0.013
10.7079063688338 R 14.2810480217 0.011
11.6506784773015 R 14.343247325 0.01
12.6728419212284 R 14.3850139742 0.01
13.6850814482147 R 14.4255546314 0.012
15.679788751402 R 14.4909447501 0.035
17.5554090514114 R 14.5018211054 0.01
19.5401924376653 R 14.5302489002 0.01
21.5845193255046 R 14.5711607875 0.01
25.4846186794939 R 14.7052026038 0.013
27.4991738165405 R 14.7822117733 0.01
29.4343376181425 R 14.9298194533 0.018
39.4078741340643 R 15.565303212 0.013
43.3178974049869 R 15.7175717418 0.017
45.3622242928262 R 15.778272368 0.024
46.3347681520938 R 15.799630689 0.014
47.3172359282875 R 15.8484875322 0.02
51.1875635314841 R 15.948196453 0.022
65.1802864045731 R 16.3805724394 0.018
69.0009944231105 R 16.474106728 0.086
73.0698003649369 R 16.642 0.031
77.009595386645 R 16.722 0.032
100.757528603174 R 17.447 0.052
112.656305003772 R 17.821 0.091
133.466758808638 R 18.407 0.105
134.459150501765 R 18.367 0.092
-6.74826351326635 I 14.8023880155 0.027
-4.73370837621974 I 14.3491476238 0.025
-3.75124060002605 I 14.200464861 0.023
-2.79854457461779 I 14.1175335383 0.012
-1.76645721377209 I 14.0860113027 0.021
-0.77406552064511 I 14.0234764134 0.024
0.198478338622508 I 14.0221509407 0.017
1.19087003174949 I 14.0413801526 0.022
2.17333780794318 I 14.0411095555 0.014
3.15580558414409 I 14.0721862818 0.015
5.13066505346475 I 14.109610848 0.018
6.09328499579908 I 14.120777641 0.015
11.0651673783601 I 14.3867593673 0.023
12.0774069053536 I 14.4709936309 0.026
14.0522663746743 I 14.5828057648 0.02
14.995038483142 I 14.5941630296 0.029
16.0172019270689 I 14.5902984448 0.027
17.0294414540552 I 14.6242163043 0.023
19.0241487572425 I 14.523228213 0.019
20.8997690572519 I 14.5561803003 0.021
22.8845524435059 I 14.5228064051 0.02
