Phase Band Mag Sigma
-6.23358352226852 B 15.39047113 0.01
-5.24053630499607 B 15.1942539328 0.011
-4.28681769038864 B 15.1664441471 0.039
-3.30360262378423 B 15.0218863707 0.01
-0.29496451997703 B 14.8245942541 0.01
0.658754094630391 B 14.8841250749 0.01
1.62230485989871 B 14.9058924005 0.01
3.57890284244663 B 14.9546045096 0.01
4.51295715571796 B 15.0433156396 0.017
14.3647721230981 B 15.9783376436 0.011
16.3508665576359 B 16.2178015771 0.014
19.2316867027871 B 16.5323127223 0.018
22.2501569572624 B 16.9463344644 0.021
25.1408092530816 B 17.2850632183 0.026
40.9115789214172 B 18.0581892727 0.047
48.7183065502513 B 18.1966697398 0.044
49.7310180688527 B 18.2583937084 0.051
51.7564411060627 B 18.2810764709 0.038
68.3432792796745 B 18.393 0.106
73.2593546126965 B 18.457 0.055
-7.28562364354211 V 15.4451905628 0.01
-6.29257642626965 V 15.2870817172 0.011
-5.33885781166223 V 15.1648655478 0.012
-4.35564274505782 V 15.0845593695 0.01
-1.34700464125062 V 14.906296111 0.013
-0.393286026643195 V 14.9033768606 0.01
0.570264738625121 V 14.904640167 0.01
2.52686272117305 V 14.9083122314 0.031
3.46091703444437 V 14.9335148538 0.01
13.3127320018246 V 15.4862556471 0.01
15.2988264363623 V 15.5822058213 0.011
18.1796465815135 V 15.6618680154 0.026
21.1981168359888 V 15.8691981045 0.018
24.088769131808 V 16.0692834806 0.021
28.0314615488866 V 16.420849029 0.02
39.8595388001436 V 16.9387930092 0.024
43.7530704638962 V 16.9665765617 0.043
47.6662664289778 V 17.1742170267 0.042
48.6789779475792 V 17.1225915155 0.046
50.7044009847891 V 17.2212860927 0.032
53.4967317739422 V 17.337819376 0.056
67.2912391584009 V 17.713 0.112
72.207314491423 V 17.776 0.069
-7.65924536884921 R 15.2840367734 0.013
-6.66619815157675 R 15.1542782366 0.01
-5.71247953696933 R 15.0576834735 0.012
-4.72926447036492 R 15.0404110651 0.01
-1.72062636655772 R 14.8990023987 0.01
-0.766907751950295 R 14.9218954529 0.011
0.19664301331802 R 14.8981940826 0.01
2.15324099586595 R 14.9071031397 0.01
3.08729530913727 R 14.9388550895 0.011
12.9391102765175 R 15.6272300956 0.032
14.9252047110552 R 15.6119308899 0.015
17.8060248562064 R 15.6063698934 0.014
20.8244951106817 R 15.6415507164 0.015
23.7151474065009 R 15.7238878742 0.021
27.6578398235795 R 16.0866044261 0.015
39.4859170748365 R 16.6690925951 0.029
43.3794487385891 R 16.6882319891 0.047
48.3053562222721 R 16.8353456144 0.052
50.330779259482 R 16.9861616651 0.021
53.1231100486351 R 16.9244923032 0.039
-3.9131959650887 I 15.2508925091 0.029
-2.92014874781624 I 15.1576703347 0.037
-1.96643013320882 I 15.1248426604 0.032
-0.983215066604409 I 15.1075066947 0.021
2.02542303720279 I 15.1283347206 0.03
2.97914165181022 I 15.1695421297 0.038
3.94269241707853 I 15.2191544189 0.024
5.89929039962646 I 15.2599296566 0.026
6.83334471289778 I 15.3063298649 0.029
16.685159680278 I 15.7957363708 0.048
18.6712541148157 I 15.6744679355 0.039
21.5520742599669 I 15.5778739447 0.121
24.5705445144422 I 15.4777090329 0.035
27.4611968102614 I 15.4864202086 0.083
31.40388922734 I 15.6887623549 0.065
43.231966478597 I 16.3431274856 0.063
47.1254981423496 I 16.4023521189 0.28
52.0514056260326 I 16.6533704921 0.177
54.0768286632425 I 16.7414884228 0.065
56.8691594523956 I 16.807492813 0.124
