Phase Band Mag Sigma
-8.00843438335996 B 14.883393793 0.011
-5.0065181325588 B 14.0363643337 0.01
-3.96931118876023 B 13.8401680993 0.02
-2.99194310710876 B 13.7343152426 0.022
-2.00460188175765 B 13.6633437789 0.01
-1.00728751272139 B 13.6105769587 0.011
0 B 13.5695159509 0.01
0.987341225351116 B 13.5702623393 0.01
1.98465559438737 B 13.6196165676 0.01
2.98196996342362 B 13.7215310013 0.014
3.97928433245988 B 13.8260520024 0.01
4.97659870149613 B 13.984583067 0.012
5.96393992683999 B 14.1580084794 0.01
6.97122743956864 B 14.3335705708 0.01
7.96854180860489 B 14.5469131543 0.011
8.96585617764115 B 14.714064558 0.012
9.9631705466774 B 14.8728024026 0.014
10.9505117720213 B 15.0629209015 0.012
11.967772428435 B 15.176505632 0.017
13.9524280228224 B 15.4078255854 0.017
14.9597155355438 B 15.5044214577 0.018
15.9470567608949 B 15.6048843635 0.012
19.9363142370399 B 15.8379843486 0.028
20.9336286060762 B 15.881258954 0.027
21.9309429751124 B 15.9540393518 0.014
25.9202004512575 B 16.1019526954 0.022
28.9121435583662 B 16.2690018514 0.032
-10.0928214146495 V 14.6071456644 0.021
-7.09090516384835 V 13.7893839182 0.011
-6.05369822004977 V 13.5782597687 0.016
-5.07633013839831 V 13.4545174078 0.01
-4.08898891304719 V 13.3229846875 0.01
-3.09167454401094 V 13.247380399 0.016
-2.08438703128954 V 13.1580940262 0.01
-1.09704580593843 V 13.1049766532 0.01
-0.0997314369021741 V 13.0810772012 0.01
0.89758293213408 V 13.0998288419 0.015
1.89489730117033 V 13.0980229702 0.01
2.89221167020659 V 13.1786842133 0.014
3.87955289555045 V 13.2429188001 0.01
4.8868404082791 V 13.3407198299 0.01
5.88415477731535 V 13.441829491 0.01
6.8814691463516 V 13.5495364948 0.01
7.87878351538786 V 13.6745179937 0.01
8.86612474073172 V 13.7785395522 0.01
9.8833853971455 V 13.8730359666 0.013
11.8680409915329 V 14.0881739766 0.01
12.8753285042543 V 14.1725183017 0.01
13.8626697296054 V 14.2520983491 0.014
17.8519272057504 V 14.5719880964 0.014
18.8492415747866 V 14.6546247636 0.01
19.8465559438229 V 14.7174163494 0.012
23.8358134199679 V 14.9469783549 0.015
24.8231546453118 V 15.0416516548 0.024
26.8277565270767 V 15.1157232811 0.015
-10.2922842884611 R 14.4803801575 0.011
-7.29036803765995 R 13.6284280242 0.01
-6.25316109386138 R 13.4230344255 0.014
-5.27579301220991 R 13.3035626902 0.01
-4.28845178685879 R 13.1572785384 0.01
-3.29113741782254 R 13.0684282269 0.016
-2.28384990510115 R 12.9861273239 0.01
-1.29650867975003 R 12.9193425562 0.012
-0.299194310713779 R 12.9210508292 0.01
0.698120058322475 R 12.9233069161 0.014
1.69543442735873 R 12.9295428979 0.01
2.69274879639498 R 12.9560099105 0.01
3.68009002173884 R 13.0079993812 0.01
4.68737753446749 R 13.0691994553 0.01
5.68469190350374 R 13.1467352691 0.013
6.68200627254 R 13.2306850461 0.01
7.67932064157625 R 13.3013931419 0.01
8.66666186692011 R 13.3784703908 0.01
9.6839225233339 R 13.4607296264 0.01
11.6685781177213 R 13.6186103564 0.01
12.6758656304427 R 13.684147219 0.01
13.6632068557938 R 13.7685312936 0.01
17.6524643319388 R 14.0783124851 0.012
18.649778700975 R 14.2071224812 0.01
19.6470930700113 R 14.2846407247 0.013
23.6363505461563 R 14.5765386767 0.01
24.6236917715002 R 14.6159617691 0.021
26.6282936532651 R 14.7307586991 0.011
-10.6912100360698 I 14.3952706835 0.018
-7.68929378526865 I 13.5471750489 0.01
-6.65208684147007 I 13.3457774018 0.014
-5.67471875981861 I 13.2217181918 0.01
-4.68737753446749 I 13.1138880318 0.01
-3.69006316543124 I 13.0365592666 0.015
-2.68277565270985 I 12.9526339122 0.013
-1.69543442735873 I 12.9038253513 0.01
-0.698120058322475 I 12.8934801966 0.014
0.299194310713779 I 12.8845326532 0.01
1.29650867975003 I 12.8846557631 0.01
2.29382304878629 I 12.9302647582 0.015
3.28116427413015 I 12.9274765789 0.011
4.28845178685879 I 12.9652405323 0.014
5.28576615589505 I 12.96802968 0.018
6.2830805249313 I 13.0109924506 0.01
7.28039489396756 I 13.0643635943 0.011
8.26773611931142 I 13.0836462073 0.01
9.2849967757252 I 13.1189763291 0.012
11.2696523701126 I 13.2296580318 0.01
12.276939882834 I 13.286665027 0.01
13.2642811081851 I 13.374366569 0.014
17.2535385843301 I 13.6659877949 0.01
18.2508529533663 I 13.7763264567 0.017
19.2481673224026 I 13.8265620715 0.011
23.2374247985476 I 14.1432732951 0.012
24.2247660238915 I 14.2345825756 0.022
26.2293679056564 I 14.3230158155 0.02
