Phase Band Mag Sigma
-5.1083669523811 B 15.1506471898 0.01
-4.08669356190055 B 15.040596393 0.011
-3.12453512621705 B 14.9394234917 0.01
-2.11278089486934 B 14.9062620186 0.011
0.892724321768051 B 14.8930452348 0.014
2.81704119314949 B 14.9368052639 0.016
3.81887626535714 B 14.9753079459 0.017
4.82071133757201 B 15.0217342808 0.016
5.8027080915212 B 15.0770509042 0.01
6.81446232286891 B 15.1792320941 0.012
9.77037174384931 B 15.4108515474 0.06
11.7442844108877 B 15.6368798485 0.021
13.7380353961774 B 15.8308756531 0.019
15.7218672223415 B 16.0959664978 0.026
17.6957798893799 B 16.2792516453 0.027
20.671527628626 B 16.6587722795 0.073
23.6472753678721 B 16.8795670549 0.029
26.6329422662438 B 17.0833823951 0.035
30.6006059185719 B 17.6627831612 0.386
35.560185483982 B 17.532176937 0.142
38.5260140641025 B 17.7227891435 0.074
41.5017618033486 B 17.7602776438 0.07
-7.14179457418771 V 14.1671301395 0.025
-6.12012118370716 V 14.0178648002 0.023
-5.15796274802365 V 13.9423290659 0.029
-4.14620851667594 V 13.8720067922 0.026
-1.14070330003856 V 13.7824116702 0.017
0.783613571342885 V 13.7887115328 0.033
1.78544864355054 V 13.7717318822 0.023
2.7872837157654 V 13.7996265075 0.029
3.76928046971459 V 13.8150675702 0.02
4.7810347010623 V 13.839134803 0.025
7.7369441220427 V 14.0226183826 0.036
9.71085678908113 V 14.1532648962 0.026
11.7046077743708 V 14.2756605314 0.032
13.6884396005349 V 14.3756627949 0.029
15.6623522675733 V 14.484843697 0.023
18.6381000068194 V 14.608900613 0.017
21.6138477460655 V 14.7713037881 0.041
24.5995146444372 V 14.9703007905 0.024
28.5671782967653 V 15.2610002339 0.035
33.5267578621754 V 15.4987194095 0.05
36.4925864422959 V 15.6428994876 0.028
39.4683341815419 V 15.7226929083 0.027
-6.23915109329403 R 13.5735338284 0.018
-5.21747770281348 R 13.4619543453 0.01
-4.25531926712998 R 13.4261398908 0.014
-3.24356503578227 R 13.3783943366 0.011
-0.238059819144883 R 13.3291569393 0.015
1.68625705223656 R 13.3239596796 0.01
2.68809212444421 R 13.3276232612 0.01
3.68992719665908 R 13.3620415229 0.01
4.67192395060826 R 13.4165572347 0.01
5.68367818195597 R 13.470360939 0.01
8.63958760293637 R 13.708493206 0.05
10.6135002699748 R 13.8137554398 0.011
12.6072512552645 R 13.8407579195 0.014
14.5910830814285 R 13.8981803171 0.015
16.564995748467 R 13.9229584676 0.01
22.5164912269591 R 14.0456078478 0.026
25.5021581253308 R 14.181179376 0.01
29.4698217776589 R 14.4978771183 0.044
34.4294013430691 R 14.7369426266 0.046
37.3952299231895 R 14.9533391936 0.018
40.3709776624356 R 15.0551459505 0.016
-4.88022629236906 I 13.2992875593 0.022
-3.85855290188851 I 13.2233923299 0.021
-2.896394466205 I 13.1987924168 0.015
-1.88464023485729 I 13.1977260221 0.012
1.12086498178009 I 13.2303347415 0.032
3.04518185316153 I 13.2419813535 0.01
4.04701692536919 I 13.2921471392 0.01
5.04885199758405 I 13.3264898102 0.01
6.03084875153324 I 13.3584703137 0.011
7.04260298288095 I 13.426251905 0.01
9.99851240386135 I 13.574652846 0.156
11.9724250708998 I 13.6151668497 0.01
13.9661760561895 I 13.6070351582 0.039
15.9500078823535 I 13.5163985961 0.014
17.9239205493919 I 13.4811159985 0.01
20.899668288638 I 13.4461183877 0.011
23.8754160278841 I 13.4642364413 0.014
26.8610829262558 I 13.5247819945 0.01
35.788326143994 I 14.0347271239 0.092
38.7541547241145 I 14.3471969947 0.019
41.7299024633606 I 14.4917305009 0.019
