Phase Band Mag Sigma
-4.29792611657178 B 16.9355334729 0.024
-3.34941828394959 B 16.7873074379 0.023
-2.34162871179076 B 16.7343769075 0.02
-1.35359971947507 B 16.6553257535 0.022
0.494014496157841 B 16.6056826572 0.023
2.57875566994451 B 16.7305484135 0.021
3.55690437233502 B 16.840443256 0.026
7.42009773229279 B 17.4296047783 0.035
8.45752817421994 B 17.6756324592 0.048
9.45543745646079 B 17.8135771701 0.057
10.4632270286268 B 18.070194815 0.061
11.421615151167 B 18.0673210763 0.062
12.3800032737144 B 18.2045179024 0.068
13.4174337156487 B 18.4290073634 0.099
15.3638508305117 B 18.7494820502 0.108
17.3893102647546 B 18.6846941876 0.122
19.3456076695428 B 18.8130791267 0.072
21.3414262340173 B 18.9047842721 0.124
23.2186813194185 B 19.175646291 0.084
25.2441407536686 B 19.1416494303 0.124
30.1250039757031 B 19.2577614779 0.434
33.0890909526502 B 19.2768751012 0.213
37.9995950444603 B 19.475 0.218
39.0172649065443 B 19.725 0.199
39.995413608942 B 19.709 0.152
-6.77787888728616 V 16.6179139875 0.016
-5.82937105466396 V 16.474210725 0.012
-4.82158148250513 V 16.3573447056 0.015
-3.83355249018945 V 16.2431597475 0.012
-2.86528407771692 V 16.1478323508 0.012
-1.98593827455653 V 16.114321833 0.011
0.0988028992301305 V 16.036727784 0.014
1.07695160162064 V 16.0445006508 0.013
4.94014496157841 V 16.2625676881 0.017
5.97757540350557 V 16.4319882915 0.019
6.97548468574642 V 16.5504453477 0.016
7.98327425791244 V 16.671223389 0.022
8.94166238045261 V 16.7448653545 0.02
9.90005050299998 V 16.8581861641 0.016
10.9374809449343 V 16.9618108274 0.024
12.8838980597974 V 17.1015040975 0.026
14.9093574940402 V 17.2602445174 0.106
16.8656548988284 V 17.4667896623 0.049
18.8614734633029 V 17.6618295645 0.042
20.7387285487042 V 17.7597571699 0.042
22.7641879829542 V 17.9140920763 0.047
30.6091381819358 V 18.2034788942 0.084
35.5196422737459 V 18.461 0.059
36.5373121358299 V 18.432 0.064
37.5154608382276 V 18.53 0.072
-7.1632101942887 R 16.4810970695 0.015
-6.21470236166651 R 16.3275553007 0.016
-5.20691278950767 R 16.201960543 0.013
-4.21888379719199 R 16.0922202033 0.016
-3.25061538471946 R 16.0158378143 0.017
-2.37126958155908 R 15.9460599447 0.018
-0.286528407772411 R 15.8959051672 0.017
0.691620294618102 R 15.8854067837 0.016
4.55481365457587 R 16.022224817 0.017
5.59224409650303 R 16.1024802737 0.015
6.59015337874388 R 16.2020848161 0.016
7.5979429509099 R 16.2851541283 0.018
8.55633107345007 R 16.3524616006 0.013
9.51471919599743 R 16.426586591 0.02
10.5521496379318 R 16.5112217856 0.014
12.4985667527948 R 16.6544807908 0.021
14.5240261870377 R 16.730543624 0.057
16.4803235918259 R 16.9818794233 0.026
18.4761421563004 R 17.1956134545 0.039
20.3533972417016 R 17.3508313469 0.025
22.3788566759516 R 17.482160175 0.035
27.2597198979862 R 17.7770216985 0.188
30.2238068749333 R 17.8164698366 0.054
36.1519808288274 R 18.083 0.072
37.1301295312251 R 18.224 0.067
-7.65722469044654 I 16.7143122467 0.056
-6.70871685782435 I 16.5304395571 0.069
-5.70092728566551 I 16.3830452142 0.058
-4.71289829334983 I 16.1488311581 0.024
-3.7446298808773 I 16.0434710514 0.023
-2.86528407771692 I 15.9724600413 0.027
-0.780542903930252 I 15.9229034035 0.023
0.197605798460261 I 15.8992158513 0.031
4.06079915841803 I 15.9368991584 0.023
5.09822960034518 I 15.9770190269 0.026
6.09613888258604 I 16.0173621589 0.03
7.10392845475206 I 16.043603878 0.033
8.06231657729223 I 16.0902232609 0.028
9.02070469983959 I 16.1176631146 0.024
10.0581351417739 I 16.2385694333 0.029
12.004552256637 I 16.2964735979 0.034
14.0300116908798 I 16.5343629784 0.084
15.986309095668 I 16.5728655574 0.039
17.9821276601425 I 16.7658924375 0.05
19.8593827455438 I 16.9235541606 0.08
21.8848421797938 I 17.1571376707 0.077
26.7657054018284 I 17.2057930861 0.244
29.7297923787754 I 17.5354445974 0.164
34.6402964705855 I 17.764 0.113
35.6579663326695 I 17.891 0.223
36.6361150350672 I 17.889 0.199
