Phase Band Mag Sigma
-10.8812984925239 B 15.584778262 0.025
-9.84545412106644 B 15.3408298411 0.017
-8.88853122553826 B 15.1242850999 0.021
-7.89214759204187 B 14.9586212269 0.01
-6.95495506548344 B 14.8325435656 0.01
-5.93884106301012 B 14.721231588 0.01
-4.93259224502886 B 14.616023903 0.01
-3.96580416500145 B 14.5509777723 0.01
-2.99901608498122 B 14.5160033589 0.01
-2.02236282046176 B 14.4949116724 0.018
-0.986518449011514 B 14.4680998705 0.01
1.94344134453251 B 14.5012236554 0.015
2.9200946090448 B 14.5123706013 0.011
3.90661305804913 B 14.5174263717 0.01
7.88228240753546 B 14.627130122 0.015
9.72707190717615 B 14.7949284504 0.014
15.7251040771242 B 15.3573774979 0.034
17.7277365286019 B 15.6109704719 0.017
19.6613126886495 B 15.8455771583 0.018
22.6110028511705 B 16.204843696 0.017
23.5876561156899 B 16.2467264468 0.023
25.6297493051286 B 16.450256459 0.029
27.5534602806842 B 16.6224823129 0.02
29.4870364407319 B 16.7904141418 0.027
31.4995340767016 B 16.9333752747 0.038
33.4035146832802 B 17.0947475808 0.039
35.425877503742 B 17.1309656026 0.032
37.3890492172586 B 17.2433369441 0.058
44.2552176223279 B 17.5960029082 0.066
47.224638153833 B 17.4893524109 0.057
-13.4067857219655 V 15.4914285139 0.01
-12.3709413505081 V 15.2406289915 0.012
-11.4140184549799 V 15.0400181528 0.01
-10.4176348214835 V 14.8873477469 0.01
-9.48044229492507 V 14.7736223009 0.01
-8.46432829245175 V 14.665172203 0.01
-7.45807947447049 V 14.576203933 0.01
-6.49129139444308 V 14.5204174817 0.01
-5.52450331442285 V 14.4767924892 0.01
-4.54785004990339 V 14.439038241 0.01
-3.51200567845314 V 14.4191306294 0.01
-0.582045884909113 V 14.3771021583 0.011
0.39460737960317 V 14.389584121 0.01
1.38112582860751 V 14.3639915806 0.01
5.35679517809383 V 14.447667064 0.01
7.20158467773453 V 14.5262770591 0.01
13.1996168476826 V 14.8636529729 0.016
15.2022492991603 V 14.9577505807 0.01
17.1358254592079 V 15.0690580984 0.012
20.0855156217289 V 15.2172552255 0.011
21.0621688862483 V 15.2624435721 0.01
23.104262075687 V 15.3478139332 0.012
25.0279730512426 V 15.4347159966 0.015
26.9615492112902 V 15.552979263 0.011
28.9740468472599 V 15.6842996465 0.017
30.8780274538386 V 15.7688952957 0.017
32.9003902743004 V 15.9209921365 0.012
34.863561987817 V 16.050915979 0.024
41.7297303928863 V 16.2853969344 0.023
44.6991509243914 V 16.3726360168 0.022
-13.0121783423695 R 15.4303287016 0.011
-11.9763339709121 R 15.1856005808 0.01
-11.0194110753839 R 14.9845978001 0.01
-10.0230274418875 R 14.8567166386 0.01
-9.08583491532907 R 14.7493983745 0.01
-8.06972091285576 R 14.6563857635 0.01
-7.06347209487449 R 14.577197519 0.01
-6.09668401484709 R 14.5461750826 0.01
-5.12989593482686 R 14.5062244965 0.01
-4.15324267030739 R 14.4765809104 0.01
-3.11739829885715 R 14.4397430287 0.01
-0.187438505313121 R 14.4304906759 0.01
0.789214759199162 R 14.4021190982 0.01
1.7757332082035 R 14.4112892665 0.01
5.75140255768983 R 14.5195123848 0.01
7.59619205733052 R 14.6408350979 0.014
13.5942242272786 R 14.9668429656 0.01
15.5968566787563 R 15.0133573165 0.01
17.5304328388039 R 15.0430732535 0.013
20.4801230013249 R 15.0782726134 0.13
21.4567762658443 R 15.0935921746 0.01
23.498869455283 R 15.1177566948 0.01
25.4225804308386 R 15.1678627831 0.013
27.3561565908862 R 15.2192720284 0.014
29.3686542268559 R 15.3008425141 0.024
31.2726348334346 R 15.4298254227 0.012
33.2949976538964 R 15.5663680146 0.011
35.258169367413 R 15.701482642 0.015
42.1243377724823 R 15.9736717734 0.013
45.0937583039874 R 16.1071300911 0.019
-11.0786021823219 I 15.4515899969 0.018
-10.0427578108644 I 15.2397948043 0.015
-8.08945128183986 I 14.917991396 0.011
-7.15225875528144 I 14.8247111883 0.013
-6.13614475280812 I 14.7493675334 0.015
-5.12989593482686 I 14.6818682355 0.011
-4.16310785479945 I 14.6561088724 0.015
-3.19631977477922 I 14.6474101015 0.011
-2.21966651025976 I 14.6389053112 0.014
-1.18382213880951 I 14.6282253689 0.013
1.74613765473452 I 14.6475899904 0.012
2.7227909192468 I 14.6974359169 0.01
3.70930936825114 I 14.7072690649 0.014
9.52976821737816 I 14.9679345886 0.021
15.5278003873262 I 15.1244351086 0.023
17.5304328388039 I 15.1064975354 0.022
19.4640089988515 I 15.0715250763 0.014
23.390352425892 I 14.9622189398 0.018
25.4324456153306 I 14.9381695651 0.021
27.3561565908862 I 14.9077526127 0.015
29.2897327509339 I 14.9110556191 0.013
31.3022303869036 I 14.9639511277 0.022
33.2062109934822 I 15.0309003786 0.017
35.228573813944 I 15.1631107136 0.025
37.1917455274606 I 15.3045368742 0.029
44.0579139325299 I 15.6655928264 0.04
47.027334464035 I 15.8322638317 0.021
