Phase Band Mag Sigma
-12.6609011944141 B 17.7018053868 0.07
-11.7642091929571 B 17.3655891856 0.027
-10.76030401742 B 17.1573797804 0.026
-9.85386536377843 B 16.9359841287 0.022
-8.84996018824137 B 16.6934423407 0.019
-7.83630836051263 B 16.5202868314 0.015
-6.88113644592685 B 16.3841385211 0.016
-5.96495114009361 B 16.2743401629 0.013
-3.0507021353779 B 16.0923178223 0.076
-2.04679695984084 B 16.0295468336 0.011
-1.07213174087171 B 16.0065399538 0.013
0.857705392690278 B 16.0882273806 0.081
1.80313065509147 B 16.0079026333 0.01
2.76804922186891 B 16.0429062081 0.02
3.78170104959766 B 16.0735558656 0.01
4.74661961637511 B 16.1051483282 0.025
6.70569670650504 B 16.1875227632 0.02
7.64137531671455 B 16.2400092266 0.017
20.3315164676965 B 17.2623304262 0.126
22.2321136446835 B 17.4769782992 0.04
26.1502678249363 B 17.9169503544 0.068
28.0801049584983 B 17.949686869 0.072
45.6338255521342 B 18.9064761624 0.139
-15.8285631560637 V 17.8205802475 0.064
-14.9318711546067 V 17.5908560182 0.039
-13.9279659790697 V 17.234166574 0.02
-13.0215273254281 V 17.0209117373 0.018
-12.017622149891 V 16.752292906 0.015
-11.0039703221623 V 16.594003807 0.016
-10.0487984075765 V 16.5002885443 0.012
-9.13261310174327 V 16.3717318959 0.012
-8.07997466525491 V 16.2496942353 0.016
-5.2144589214905 V 16.0801754116 0.015
-4.23979370252137 V 16.0590578205 0.01
-1.36453130655819 V 15.9738993119 0.012
-0.399612739780746 V 15.9999075915 0.013
0.614039087947997 V 15.9852037221 0.01
1.57895765472545 V 15.9836700034 0.019
3.53803474485538 V 16.0583358471 0.019
4.47371335506489 V 16.0842495058 0.027
17.1638545060469 V 16.7039991789 0.045
19.0644516830338 V 16.7471746732 0.029
22.9826058632866 V 16.859107609 0.033
24.9124429968486 V 17.0111084369 0.053
42.4661635904845 V 17.7637324366 0.063
61.9789612742433 V 18.4905532193 0.15
-16.0429895042239 R 17.8218420477 0.074
-15.1462975027669 R 17.5517520508 0.044
-14.1423923272298 R 17.2340189176 0.023
-13.2359536735883 R 17.0049858713 0.018
-11.2183966703224 R 16.5991839634 0.019
-10.2632247557367 R 16.4782303911 0.013
-9.34703944990343 R 16.3688781589 0.015
-8.29440101341507 R 16.2653109686 0.022
-5.42888526965066 R 16.1070869057 0.014
-4.45422005068153 R 16.0966240182 0.011
-1.57895765471835 R 16.0314949091 0.011
-0.614039087940905 R 16.0153945962 0.011
0.399612739787837 R 16.0147940618 0.015
1.36453130656529 R 15.9897559855 0.02
3.32360839669522 R 16.0785018146 0.014
4.25928700690473 R 16.0875838945 0.022
16.9494281578867 R 16.8315805519 0.105
18.8500253348737 R 16.7137117803 0.025
22.7681795151264 R 16.7628283553 0.018
42.2517372423244 R 17.5833666598 0.047
61.7645349260832 R 18.3741836527 0.103
-12.855834238198 I 17.9638693104 0.152
-11.959142236741 I 17.5318851669 0.067
-10.9552370612039 I 17.3389557668 0.063
-10.0487984075623 I 17.0666385551 0.043
-9.04489323202526 I 16.8552979261 0.038
-8.03124140429652 I 16.6779591142 0.031
-7.07606948971075 I 16.603912497 0.035
-6.1598841838775 I 16.4714428973 0.027
-5.10724574738914 I 16.3980708064 0.079
-2.24173000362474 I 16.3262252439 0.032
-1.26706478465561 I 16.3112519011 0.022
1.60819761130757 I 16.3633521917 0.025
2.57311617808502 I 16.3312719167 0.032
3.58676800581376 I 16.3889760232 0.024
6.51076366272114 I 16.5446734843 0.045
7.44644227293065 I 16.6670915307 0.086
22.0371806008996 I 16.9467736171 0.046
25.9553347811524 I 16.9641691663 0.121
45.4388925083503 I 17.5705648068 0.127
64.9516901921091 I 18.6811446945 0.426
