Phase Band Mag Sigma
-7.93417092856315 B 14.0849514123 0.01
-6.9510884230233 B 13.8498469751 0.01
-5.91835528588754 B 13.6305749857 0.01
-4.92534265402707 B 13.4647956944 0.01
-1.98602526372094 B 13.1789978825 0.012
-0.993012631860472 B 13.1213957119 0.01
0.993012631860472 B 13.1090963265 0.01
1.98602526372094 B 13.120084992 0.01
2.98896802190204 B 13.1533637383 0.01
4.95513303298896 B 13.2587485205 0.01
5.96800591748346 B 13.3222635559 0.01
6.9510884230233 B 13.3895912887 0.01
7.9540311812044 B 13.4526364547 0.01
8.97683419201953 B 13.5225804552 0.01
9.9599166975666 B 13.6019738608 0.01
10.9628594557405 B 13.6929220878 0.01
12.8992340878727 B 13.8362137204 0.01
14.875329225273 B 14.0150457751 0.01
16.9110051205899 B 14.2242932503 0.01
18.8374496263943 B 14.4159991303 0.01
20.8234748901152 B 14.6240753321 0.01
26.7815506812781 B 15.328952602 0.01
28.7377855660444 B 15.5387975656 0.01
31.736683714267 B 15.7942702679 0.01
33.7524993569426 B 15.9694679852 0.045
37.7344800106979 B 16.1291802096 0.047
39.6410642638755 B 16.160768938 0.013
40.5546358851854 B 16.1912913934 0.013
42.6498925384116 B 16.2410899572 0.016
44.5862671705366 B 16.2937903522 0.017
53.5829616151974 B 16.4993697496 0.02
58.5877452797678 B 16.626780296 0.024
60.4843994066248 B 16.6254723323 0.021
61.417831280576 B 16.6392769206 0.017
65.4891830712024 B 16.7288605277 0.023
69.4314432196897 B 16.732 0.024
73.3637732418563 B 16.829 0.037
80.3446520438342 B 17.019 0.066
84.2670519396802 B 17.016 0.024
88.2986832250386 B 17.143 0.032
93.263746384341 B 17.25 0.11
97.2258667854623 B 17.434 0.145
101.148266681308 B 17.378 0.027
109.092367736192 B 17.52 0.061
113.044558011 B 17.653 0.036
120.899287929012 B 17.737 0.032
128.813598604942 B 17.897 0.029
136.737839407191 B 18.017 0.104
144.701800714709 B 18.234 0.086
152.556530632729 B 18.357 0.102
161.543294951062 B 18.362 0.501
-11.0125100873292 V 14.0146027792 0.01
-10.0294275817893 V 13.7908232226 0.01
-8.99669444465356 V 13.5921986348 0.01
-8.00368181279309 V 13.4422525731 0.01
-5.06436442248696 V 13.1767081153 0.032
-4.07135179062649 V 13.1134159477 0.01
-2.08532652690555 V 13.0574286796 0.01
-1.09231389504507 V 13.0467545353 0.01
-0.0893711368639744 V 13.0537498548 0.01
1.87679387422294 V 13.0882806281 0.01
2.88966675871744 V 13.1183296553 0.01
3.87274926425729 V 13.1689706741 0.01
4.87569202243838 V 13.2072532382 0.01
5.89849503325351 V 13.260115642 0.01
6.88157753880058 V 13.3346033256 0.01
7.88452029697446 V 13.4080287364 0.01
9.82089492910671 V 13.55924888 0.01
11.796990066507 V 13.700390302 0.01
13.8326659618239 V 13.8345299551 0.01
15.7591104676283 V 13.9324678261 0.01
17.7451357313492 V 14.045980485 0.01
23.7032115225121 V 14.5333751775 0.01
25.6594464072783 V 14.7008178545 0.01
28.658344555501 V 14.9577398654 0.01
32.6403252092563 V 15.2106918734 0.019
34.6561408519319 V 15.2921525861 0.023
36.5627251051095 V 15.3703218975 0.012
37.4762967264194 V 15.3903636226 0.01
39.5715533796456 V 15.4914519946 0.01
41.5079280117706 V 15.554530301 0.011
50.5046224564314 V 15.8864240508 0.011
55.5094061210018 V 16.0611385434 0.01
57.4060602478588 V 16.1039557713 0.015
58.3394921218099 V 16.1185960479 0.016
62.4108439124364 V 16.2640832712 0.017
66.3531040609237 V 16.4 0.014
70.2854340830903 V 16.497 0.023
81.1887127809142 V 16.776 0.045
85.2203440662726 V 16.91 0.024
90.185407225575 V 17.058 0.062
94.1475276266962 V 17.095 0.101
98.0699275225422 V 17.285 0.039
106.014028577426 V 17.447 0.047
109.966218852234 V 17.525 0.041
117.820948770246 V 17.691 0.043
125.735259446176 V 17.837 0.039
133.659500248425 V 17.956 0.056
141.623461555943 V 18.326 0.142
-8.03347219174775 R 14.0244982503 0.01
-7.0503896862079 R 13.8228734067 0.01
-6.01765654907215 R 13.6310334042 0.01
-5.02464391721167 R 13.5291459759 0.01
-2.08532652690555 R 13.3076838442 0.035
-1.09231389504507 R 13.2646412002 0.01
0.89371136867587 R 13.2195243934 0.01
1.88672400053634 R 13.2209304184 0.01
2.88966675871744 R 13.2350330781 0.01
4.85583176980435 R 13.2757330213 0.01
5.86870465429886 R 13.344237084 0.01
6.8517871598387 R 13.4167729383 0.01
7.8547299180198 R 13.498529166 0.01
8.87753292883493 R 13.5605460012 0.01
9.860615434382 R 13.6977268674 0.01
10.8635581925559 R 13.8028814078 0.01
12.7999328246881 R 13.9805374932 0.01
