Phase Band Mag Sigma
-7.75177597471776 B 15.347884521 0.018
-6.76679808720539 B 15.1861166066 0.014
-5.82121931519438 B 15.0629879558 0.013
-4.84609120655914 B 14.933456659 0.011
-3.83156398242254 B 14.8368775297 0.014
-1.90100732289916 B 14.7696539421 0.04
0.0984977887498036 B 14.6915834456 0.012
2.06845356377454 B 14.746854664 0.012
4.01870978105219 B 14.7828902884 0.01
5.9788157771998 B 14.8471783361 0.013
7.94877155222453 B 14.9184496329 0.01
9.91872732724927 B 15.0443720753 0.01
12.8638112109164 B 15.2506244769 0.013
15.8581439889477 B 15.5332414039 0.014
18.7638287571135 B 15.8051547194 0.042
21.6990628618964 B 16.1895122648 0.035
24.6736960821877 B 16.4961955359 0.032
27.6483293024719 B 16.8564521052 0.065
30.5638638495077 B 17.0643242651 0.042
31.5586915158972 B 17.1066212325 0.045
33.5187975120448 B 17.2406288229 0.046
36.4540316168348 B 17.3077417467 0.053
39.428664837119 B 17.4090849528 0.055
44.3535542746808 B 17.4193954369 0.084
47.3183377160951 B 17.4848023016 0.072
52.1841284804085 B 17.6694628272 0.091
57.0893183602161 B 17.5887437484 0.062
62.004358018908 B 17.6797228372 0.066
66.9193976775927 B 17.7622403651 0.05
71.8048879996532 B 17.8004230964 0.07
76.7494769949621 B 17.941 0.095
86.5697065334616 B 18.057 0.094
91.4847461921535 B 18.167 0.072
-8.93374943972974 V 15.3555197639 0.013
-7.94877155221737 V 15.1934224983 0.011
-7.00319278020635 V 15.0722810605 0.013
-6.02806467157111 V 14.9690226837 0.012
-5.01353744743452 V 14.8864662828 0.011
-3.08298078791114 V 14.7715938359 0.017
-1.08347567626217 V 14.7193423689 0.01
0.886480098762566 V 14.7324397852 0.01
2.83673631604021 V 14.7528226556 0.01
4.79684231218782 V 14.7924569864 0.01
6.76679808721256 V 14.8447677655 0.01
8.7367538622373 V 14.9075050392 0.01
11.6818377459044 V 15.0442465109 0.01
14.6761705239357 V 15.1591977205 0.014
17.5818552921015 V 15.2807941431 0.033
20.5170893968844 V 15.424347914 0.025
23.4917226171757 V 15.5948009845 0.018
26.4663558374599 V 15.7994693225 0.03
29.3818903844957 V 15.9789522509 0.018
30.3767180508852 V 16.0499892378 0.012
32.3368240470328 V 16.130036611 0.023
35.2720581518228 V 16.2490043048 0.018
38.246691372107 V 16.3546572428 0.023
43.1715808096689 V 16.4778007557 0.036
46.1363642510831 V 16.5627815544 0.027
51.0021550153965 V 16.653517627 0.035
55.9073448952041 V 16.7676618777 0.026
60.822384553896 V 16.9240725579 0.036
65.7374242125807 V 17.0461472503 0.033
70.6229145346412 V 17.1753470225 0.031
75.5675035299501 V 17.313 0.054
85.3877330684496 V 17.56 0.04
90.3027727271415 V 17.669 0.052
-9.72173174973533 R 15.3683735706 0.01
-8.73675386222296 R 15.2143063949 0.013
-7.79117509021195 R 15.0933508353 0.011
-6.81604698157671 R 15.0016027765 0.031
-5.80151975744012 R 14.9425295893 0.017
-3.87096309791673 R 14.8734916505 0.019
-1.87145798626777 R 14.8113706844 0.01
0.0984977887569703 R 14.7659749863 0.013
2.04875400603462 R 14.7900048289 0.01
4.00886000218222 R 14.8245160424 0.01
5.97881577720696 R 14.9014527213 0.01
7.9487715522317 R 14.9902139497 0.011
10.8938554358988 R 15.1138208883 0.018
13.8881882139301 R 15.1806608056 0.013
16.7938729820959 R 15.1803374023 0.019
19.7291070868788 R 15.220337535 0.02
22.7037403071701 R 15.3066774858 0.019
25.6783735274544 R 15.4821587956 0.016
28.5939080744901 R 15.6203476704 0.012
29.5887357408796 R 15.6802662944 0.023
31.5488417370272 R 15.7538906784 0.02
34.4840758418172 R 15.9190011082 0.015
37.4587090621014 R 16.0516554828 0.013
42.3835984996633 R 16.2301068731 0.028
45.3483819410775 R 16.3179648735 0.019
50.2141727053909 R 16.4644182985 0.021
55.1193625851985 R 16.6369795134 0.025
60.0344022438904 R 16.7944022941 0.018
64.9494419025751 R 17.0091312744 0.022
69.8349322246356 R 17.1714589364 0.026
74.7795212199445 R 17.17 0.031
84.599750758444 R 17.523 0.041
89.5147904171359 R 17.653 0.041
-10.7855078682576 I 15.4450012692 0.018
-9.80052998074521 I 15.3320692169 0.017
-8.85495120873419 I 15.2059426995 0.013
-7.87982310009895 I 15.1413247912 0.017
-6.86529587596236 I 15.0579146091 0.022
-4.93473921643898 I 15.0385812544 0.035
-2.93523410479001 I 14.948209673 0.013
-0.965278329765275 I 14.9208966661 0.014
0.984977887512369 I 14.9054040455 0.015
2.94508388365998 I 14.9631271736 0.015
4.91503965868472 I 15.0453205482 0.013
6.88499543370946 I 15.1140769877 0.019
9.8300793173766 I 15.1545749183 0.014
12.8244120954079 I 15.1035279739 0.022
15.7300968635737 I 15.0627489302 0.032
18.6653309683565 I 15.0014442555 0.037
21.6399641886479 I 15.0186067373 0.023
24.6145974089321 I 15.1235576009 0.013
27.5301319559679 I 15.2554859169 0.016
28.5249596223574 I 15.3015870579 0.013
30.485065618505 I 15.3889887123 0.019
33.420299723295 I 15.5240129293 0.02
36.3949329435792 I 15.6689827116 0.023
41.319822381141 I 15.8976120141 0.036
44.2846058225553 I 15.9846001712 0.026
49.1503965868687 I 16.1536659681 0.03
54.0555864666763 I 16.4599364036 0.03
58.9706261253681 I 16.5297500165 0.038
63.8856657840529 I 16.7850810147 0.069
68.7711561061134 I 16.9141782495 0.068
73.7157451014223 I 16.879 0.053
83.5359746399218 I 17.279 0.08
88.4510142986136 I 17.465 0.072
