Phase Band Mag Sigma
-14.0349173884201 B 17.2380349989 0.078
-11.0608278780426 B 15.5762063837 0.012
-10.0860426873561 B 15.1934494122 0.013
-8.08673836767238 B 14.6680539261 0.019
-4.12791687894624 B 14.1121979926 0.01
-3.26254635252148 B 14.049797508 0.011
-2.14850613458679 B 13.9706281935 0.012
1.79042177881509 B 13.9583032734 0.011
4.84408559046793 B 14.0980782931 0.013
5.93823223307836 B 14.2187745279 0.014
6.73397524588989 B 14.2410449626 0.011
7.73860079956281 B 14.3391348256 0.01
8.72333277791147 B 14.4245654632 0.012
9.7279583315844 B 14.5076933647 0.01
11.8167837402056 B 14.7227699413 0.013
13.7365137586067 B 14.9170060555 0.018
15.7059777153041 B 15.1388207994 0.017
19.6647992040302 B 15.5776501687 0.013
26.6275505661058 B 16.1724327535 0.019
32.5657827991913 B 16.6445229497 0.037
35.5995530355199 B 16.6895923703 0.045
39.5086405859426 B 16.8602533677 0.046
42.492676883975 B 16.8978267505 0.022
46.4813387356803 B 16.9822196875 0.026
50.4600537997235 B 17.0491536253 0.028
52.4693049070621 B 17.0746901772 0.015
54.4387688637667 B 17.0688206762 0.019
60.4068414598314 B 17.1530442945 0.033
64.3955033115367 B 17.2054426236 0.035
68.3742183755799 B 17.248980735 0.029
72.362880227278 B 17.3049828564 0.028
74.3522377592996 B 17.286 0.028
79.3156848016986 B 17.356 0.039
-13.2491211632635 V 15.1980390351 0.01
-12.274335972577 V 14.8880042211 0.012
-10.2750316528932 V 14.3673901576 0.01
-6.31621016416709 V 13.8177397453 0.01
-5.45083963774233 V 13.7502476945 0.01
-4.33679941980764 V 13.6631384526 0.01
-3.44158853039648 V 13.6216085836 0.041
-0.397871506405765 V 13.5658219834 0.01
2.65579230524708 V 13.6347208857 0.019
3.74993894785751 V 13.629727233 0.011
4.54568196066904 V 13.6634078145 0.01
5.55030751434196 V 13.6956352932 0.01
6.53503949269062 V 13.7530967704 0.01
7.53966504636355 V 13.7745623452 0.011
9.62849045498477 V 13.9279547705 0.01
11.5482204733859 V 14.0746144633 0.013
13.5176844300832 V 14.1818408122 0.013
17.4765059188093 V 14.3673013272 0.01
24.4392572808849 V 14.6991696723 0.011
30.3774895139705 V 15.1755519935 0.032
33.4112597502991 V 15.3209294963 0.018
37.3203473007218 V 15.476871038 0.014
40.3043835987542 V 15.5810378615 0.011
44.2930454504595 V 15.6990223271 0.01
48.2717605145026 V 15.8033513732 0.011
50.2810116218413 V 15.8815522233 0.011
52.2504755785458 V 15.9149562594 0.013
58.2185481746106 V 16.087461619 0.014
62.2072100263159 V 16.1738593704 0.012
66.185925090359 V 16.2922634883 0.015
70.1745869420571 V 16.3996769015 0.016
72.1639444740787 V 16.446 0.019
77.1273915164778 V 16.578 0.018
-14.0349173884129 R 16.3061599341 0.03
-11.0608278780354 R 14.8788746369 0.01
-10.0860426873489 R 14.5550866287 0.024
-8.08673836766514 R 14.0796345614 0.01
-4.127916878939 R 13.6255856873 0.01
-3.26254635251424 R 13.5409613944 0.01
-2.14850613457955 R 13.5363832678 0.012
-1.25329524516839 R 13.5495434341 0.019
1.79042177882232 R 13.508438766 0.012
4.84408559047517 R 13.5646708902 0.01
5.93823223308559 R 13.5648383927 0.01
6.73397524589712 R 13.6349343246 0.01
7.73860079957005 R 13.6739106078 0.01
8.72333277791871 R 13.7438545915 0.01
9.72795833159164 R 13.832824669 0.01
11.8167837402129 R 13.9997142385 0.01
13.736513758614 R 14.0954701855 0.016
15.7059777153113 R 14.1180357027 0.013
19.6647992040374 R 14.1484767202 0.01
26.627550566113 R 14.2870858419 0.012
32.5657827991986 R 14.7055798499 0.013
35.5995530355272 R 14.9322415274 0.017
39.5086405859499 R 15.1165447782 0.011
42.4926768839822 R 15.206345932 0.02
46.4813387356876 R 15.3358859075 0.01
50.4600537997307 R 15.5198270229 0.017
52.4693049070693 R 15.5528967917 0.012
54.4387688637739 R 15.606444418 0.016
60.4068414598387 R 15.7922936842 0.018
64.395503311544 R 15.9304682867 0.01
68.3742183755871 R 16.0705514424 0.011
72.3628802272852 R 16.1750235358 0.028
74.3522377593068 R 16.187 0.042
79.3156848017059 R 16.376 0.02
-12.9805578964437 I 16.3808915126 0.033
-10.0064683860663 I 14.8519051876 0.012
-7.03237887569602 I 14.0511005543 0.016
-3.07355738696988 I 13.6190440626 0.01
-2.20818686054512 I 13.6252755015 0.01
-1.09414664261043 I 13.5588092598 0.013
-0.198935753199264 I 13.6016203895 0.016
2.84478127079145 I 13.6681728521 0.012
5.89844508244429 I 13.7895330458 0.031
6.99259172505472 I 13.8185462006 0.015
7.78833473786625 I 13.8594093802 0.01
8.79296029153918 I 13.9416544503 0.01
9.77769226988783 I 14.0191224749 0.01
10.7823178235608 I 14.0645641349 0.01
12.871143232182 I 14.1502893634 0.013
16.7603372072804 I 14.1014379899 0.013
20.7191586960066 I 14.0058912332 0.01
27.6819100580821 I 13.9398294207 0.013
33.6201422911677 I 14.2634557623 0.014
36.6539125274963 I 14.4986763026 0.016
40.563000077919 I 14.7149351801 0.014
43.5470363759514 I 14.8992851551 0.017
47.5356982276567 I 15.1015748127 0.019
53.5236643990385 I 15.3926506635 0.016
55.493128355743 I 15.4590598541 0.018
61.4612009518078 I 15.6826556738 0.021
65.4498628035131 I 15.8758143626 0.021
69.4285778675563 I 16.0567700218 0.024
73.4172397192543 I 16.2018841412 0.028
75.4065972512759 I 16.151 0.047
80.370044293675 I 16.432 0.024
