Phase Band Mag Sigma
0 B 16.7001151054 0.01
2.98606147452584 B 16.7508091331 0.01
3.97817310449558 B 16.8020353855 0.01
-4.83411254996688 B 16.8757212947 0.018
-3.84200091999714 B 16.8151161388 0.016
-2.89852221306105 B 16.7554530914 0.013
-1.86750424465308 B 16.7408091326 0.016
-0.924025537724056 B 16.717915869 0.034
0.982385045360177 B 16.72103726 0.012
1.98422325994655 B 16.7388350255 0.014
2.94715513609468 B 16.7612965229 0.024
3.91981359685238 B 16.8068755657 0.025
5.85540393375821 B 16.8929452786 0.019
7.78126768606156 B 16.9913789006 0.027
9.74603777678899 B 17.1935391142 0.02
11.6524483598732 B 17.3179130069 0.022
13.6074918659982 B 17.5704138952 0.038
16.5449204174833 B 17.9068430611 0.052
19.4531692151539 B 18.2442549995 0.034
22.3225116743863 B 18.5403793624 0.045
27.1858039781747 B 18.8371786043 0.068
32.0588228665728 B 19.3424923879 0.071
36.8248493242869 B 19.3818140207 0.099
41.6881416280754 B 19.8249443458 0.205
46.5514339318638 B 19.7557254694 0.077
51.4049996510428 B 19.8556435229 0.139
56.2682919548312 B 20.0109167843 0.124
-6.8766953175637 V 16.8201467936 0.017
-5.88458368759396 V 16.7540572077 0.017
-4.94110498065787 V 16.6895329985 0.018
-3.9100870122499 V 16.6266265847 0.016
-2.96660830532088 V 16.6147356282 0.015
-1.06019772223664 V 16.6180317184 0.015
-0.0583595076502741 V 16.5973335505 0.014
0.904572368497862 V 16.5974804676 0.013
1.87723082925556 V 16.6201265264 0.016
3.81282116616139 V 16.6428505654 0.014
5.73868491846474 V 16.6876750486 0.018
7.70345500919217 V 16.8296296088 0.023
9.6098655922764 V 16.9320314292 0.024
11.5649090984014 V 16.9962372334 0.039
14.5023376498865 V 17.2636054782 0.035
17.4105864475571 V 17.3592343296 0.021
20.2799289067895 V 17.4774673435 0.022
25.1432212105779 V 17.6683810364 0.028
30.016240098976 V 18.0575819949 0.024
34.7822665566901 V 18.4538240428 0.06
39.6455588604786 V 18.4919427239 0.089
44.508851164267 V 18.740459577 0.07
49.3624168834459 V 18.8717925186 0.081
54.2257091872344 V 19.0705496565 0.062
-2.04258276759682 V 16.5711425117 0.01
0.943478706929019 V 16.578923903 0.01
1.93559033689875 V 16.5731963572 0.01
-0.71976726096579 R 16.5206617458 0.01
2.26629421356005 R 16.5462448013 0.01
3.25840584352979 R 16.5592646488 0.01
-5.55387981093267 R 16.7230007842 0.013
-4.56176818096293 R 16.6526958872 0.019
-3.61828947402683 R 16.596465032 0.015
-2.58727150561887 R 16.5470540278 0.018
-1.64379279868985 R 16.5436586995 0.015
0.262617784394387 R 16.5229090796 0.018
1.26445599898076 R 16.4955593477 0.01
2.22738787512889 R 16.525019818 0.014
3.20004633588659 R 16.5620937235 0.012
5.13563667279242 R 16.5926788519 0.014
7.06150042509577 R 16.6482283415 0.027
9.0262705158232 R 16.7982814325 0.023
10.9326810989074 R 16.9989419516 0.018
12.8877246050324 R 17.1913604195 0.025
15.8251531565175 R 17.353712485 0.033
18.7334019541881 R 17.4556458635 0.022
21.6027444134205 R 17.2791462686 0.022
26.466036717209 R 17.2867280982 0.016
31.339055605607 R 17.6089643463 0.025
36.1050820633211 R 17.8936822506 0.028
40.9683743671096 R 18.0499548606 0.067
45.8316666708981 R 18.3740702852 0.044
50.685232390077 R 18.5738314976 0.05
55.5485246938655 R 18.5435105112 0.059
-4.34778331958803 I 16.8970362277 0.022
-3.35567168961829 I 16.8807811945 0.031
-2.4121929826822 I 16.8330287922 0.02
-1.38117501427423 I 16.8235466181 0.024
-0.437696307345209 I 16.8228192659 0.023
1.46871427573902 I 16.8890953797 0.032
2.47055249032539 I 16.8980545329 0.022
3.43348436647353 I 16.918737778 0.024
4.40614282723123 I 16.9244957346 0.021
6.34173316413706 I 16.9980478205 0.028
8.26759691644041 I 17.1109466887 0.027
10.2323670071678 I 17.2859460392 0.03
12.1387775902521 I 17.2723427226 0.029
14.093821096377 I 17.4231772897 0.07
17.0312496478621 I 17.4266862845 0.086
19.9394984455327 I 17.4457828598 0.063
22.8088409047651 I 17.2583044139 0.03
27.6721332085536 I 17.1423539857 0.026
32.5451520969516 I 17.2623636413 0.021
37.3111785546657 I 17.6996528135 0.042
42.1744708584542 I 18.182420811 0.237
47.0377631622427 I 18.292856373 0.084
51.8913288814216 I 18.5617906041 0.068
56.7546211852101 I 18.827318276 0.078
0.486329230378848 I 16.8020383303 0.014
3.47239070490469 I 16.8853124638 0.013
4.46450233487442 I 16.9111341105 0.016
