Phase Band Mag Sigma
0.792829185083793 B 14.2533341155 0.01
3.7659386291372 B 14.3566573205 0.01
26.5597777002133 B 16.6992067051 0.019
57.2323567980281 B 17.6568375554 0.053
58.2134829145637 B 17.6291592764 0.037
148.863589863753 B 18.921 0.071
-14.0132558463045 B 17.4772023552 0.036
-13.0717711890166 B 16.8265442064 0.02
-12.0807347076654 B 16.297111259 0.018
-11.0896982263143 B 15.8843455295 0.016
-10.0986617449632 B 15.5393215989 0.011
-9.10762526361204 B 15.2347965318 0.01
-8.12649914707643 B 15.0043042587 0.01
-7.12555230090977 B 14.8025216317 0.01
-6.14442618437416 B 14.6521108227 0.01
-5.14347933820749 B 14.5195356157 0.01
-4.15244285685636 B 14.4291508261 0.01
-3.17131674032075 B 14.3372575017 0.01
-2.18028025896962 B 14.2896271114 0.01
-1.18924377761848 B 14.26567197 0.01
4.74706474567281 B 14.4423335482 0.01
5.73810122702394 B 14.5194324686 0.01
8.70130030626182 B 14.797006304 0.01
9.69233678761296 B 14.8744310405 0.01
10.6833732689641 B 15.0082849662 0.012
12.6753565964819 B 15.2474917487 0.012
15.6682867701664 B 15.6398547984 0.015
18.6116651197732 B 15.9736171875 0.016
22.5659006803694 B 16.3681128884 0.023
25.5390101244228 B 16.6032180726 0.018
28.5121195684762 B 16.848871065 0.022
36.4305010544698 B 17.3168542974 0.098
38.4125740171721 B 17.3661995439 0.051
42.3767199425766 B 17.4508142648 0.047
46.3309555031656 B 17.5081863528 0.046
50.2851910637546 B 17.5585236018 0.078
54.2493369891592 B 17.4945099957 0.072
-15.995328809014 V 17.1243882481 0.036
-15.0538441517261 V 16.5778839488 0.014
-14.0628076703749 V 16.1661703849 0.017
-13.0717711890238 V 15.782858395 0.015
-12.0807347076727 V 15.462919488 0.012
-11.0896982263215 V 15.1621245832 0.01
-10.1085721097859 V 14.9439762707 0.01
-9.10762526361925 V 14.7541295777 0.01
-8.12649914708364 V 14.6057816129 0.01
-7.12555230091698 V 14.4861944848 0.01
-6.13451581956584 V 14.3701137675 0.01
-5.15338970303024 V 14.2892336567 0.01
-4.1623532216791 V 14.2324925435 0.01
-3.17131674032796 V 14.1849959639 0.01
2.76499178296333 V 14.1569392103 0.01
3.75602826431446 V 14.1981462457 0.01
6.71922734355234 V 14.317510458 0.01
7.71026382490348 V 14.3960387247 0.01
8.70130030625461 V 14.4525583368 0.01
10.6932836337724 V 14.5929160389 0.01
13.6862138074569 V 14.7960140311 0.011
16.6295921570637 V 14.9463252424 0.01
20.5838277176599 V 15.1596608637 0.01
23.5569371617133 V 15.3246768127 0.01
26.5300466057667 V 15.5565986302 0.01
36.4305010544626 V 16.1295722406 0.017
40.3946469798671 V 16.2340938188 0.03
44.3488825404561 V 16.3569338035 0.018
48.3031181010452 V 16.4778423736 0.025
52.2672640264497 V 16.5770579154 0.041
-1.18924377762569 V 14.1372871208 0.01
1.78386566642772 V 14.1556164839 0.01
24.5777047375039 V 15.4160047674 0.018
55.2502838353186 V 16.6449591918 0.029
56.2314099518542 V 16.6787333602 0.01
146.881516901044 V 18.777 0.038
-0.198207296267343 R 14.1004570596 0.01
2.77490214778607 R 14.1311601756 0.01
25.5687412188622 R 15.0949813398 0.011
56.241320316677 R 16.4738546938 0.015
57.2224464332126 R 16.5462594344 0.016
147.872553382402 R 19.069 0.088
-15.0042923276556 R 17.0023870895 0.021
-14.0628076703677 R 16.4727937398 0.017
-13.0717711890166 R 15.9690969469 0.012
-12.0807347076654 R 15.6335779388 0.013
-11.0896982263143 R 15.2967340469 0.01
-10.0986617449632 R 15.0130377109 0.01
-9.11753562842757 R 14.7842482678 0.01
-8.1165887822609 R 14.6016364485 0.01
-7.1354626657253 R 14.4345077635 0.01
-6.13451581955863 R 14.343076044 0.01
-5.14347933820749 R 14.2452523929 0.01
-4.16235322167189 R 14.2025267218 0.01
-3.17131674032075 R 14.1625976142 0.01
-2.18028025896962 R 14.1365402019 0.01
3.75602826432167 R 14.1636479013 0.01
4.74706474567281 R 14.2155038575 0.01
7.71026382491069 R 14.4266817626 0.01
8.70130030626182 R 14.5141811888 0.01
9.69233678761296 R 14.5919917139 0.01
11.6843201151308 R 14.7170520818 0.01
14.6772502888152 R 14.8091938 0.01
17.6206286384221 R 14.8625915648 0.011
21.5748641990183 R 14.8880736381 0.01
24.5479736430717 R 14.9941780937 0.01
27.5210830871251 R 15.1876180923 0.01
35.4394645731187 R 15.7148545013 0.038
37.4215375358209 R 15.8105521629 0.013
41.3856834612255 R 16.0063068103 0.023
45.3399190218145 R 16.1274224182 0.017
49.2941545824035 R 16.2515324727 0.023
53.258300507808 R 16.3794981289 0.052
-11.0401464022511 I 17.0986527579 0.044
-10.0986617449632 I 16.5319093341 0.02
-9.10762526361204 I 16.0334193275 0.016
-8.1165887822609 I 15.6838669437 0.013
-7.12555230090977 I 15.349058534 0.01
-6.13451581955863 I 15.07058467 0.013
-5.15338970302302 I 14.8529871861 0.012
-4.15244285685636 I 14.6854091675 0.01
-3.17131674032075 I 14.5254265482 0.013
-2.17036989415408 I 14.4301974564 0.016
-1.17933341280295 I 14.3419972763 0.01
-0.198207296267343 I 14.3230254561 0.01
0.792829185083793 I 14.2956044581 0.01
1.78386566643493 I 14.3076396822 0.01
7.72017418972622 I 14.5005504218 0.01
8.71121067107735 I 14.5502051672 0.012
11.6744097503152 I 14.7663788231 0.01
12.6654462316664 I 14.8191793097 0.01
13.6564827130175 I 14.8586899076 0.012
15.6484660405353 I 14.9174648444 0.01
18.6413962142198 I 14.8832539528 0.011
21.5847745638266 I 14.7920987892 0.01
25.5390101244228 I 14.6973515289 0.01
28.5121195684762 I 14.6981193686 0.01
31.4852290125296 I 14.8080943804 0.01
39.4036104985232 I 15.4585776686 0.05
41.3856834612255 I 15.5323076511 0.017
45.34982938663 I 15.7457008362 0.013
49.304064947219 I 15.96804928 0.02
53.258300507808 I 16.1551473648 0.025
57.2224464332126 I 16.3649555595 0.113
3.7659386291372 I 14.347234504 0.01
6.73904807319061 I 14.4428214041 0.01
29.5328871442667 I 14.7200830855 0.01
60.2054662420815 I 16.4190703912 0.035
61.1865923586171 I 16.4499560822 0.019
151.836699307807 I 18.926 0.198
