Phase Band Mag Sigma
-4.21491462449532 B 17.324301886 0.019
-3.22027355657023 B 17.1348194193 0.01
-0.354525529163827 B 16.8869530926 0.01
22.413891788205 B 19.3080153206 0.054
23.4479245816007 B 19.3090718502 0.052
52.8439997080524 B 20.132 0.05
53.7204655995943 B 20.147 0.093
83.2938034906279 B 20.8 0.11
90.1676595838519 B 20.8 0.11
-0.196958627317218 B 16.876418745 0.018
0.777986577886889 B 16.9119027267 0.018
1.72338798898804 B 16.9527261277 0.023
2.68848526281733 B 17.0032212165 0.028
3.69297426211723 B 16.9654675011 0.209
5.65271260387876 B 17.4579316609 0.022
6.57841815225177 B 17.628158383 0.044
8.53815649401331 B 17.9933036872 0.06
15.5006439695247 B 19.030146693 0.102
18.4451754478508 B 18.9906449542 0.088
20.4049137896195 B 19.179787305 0.074
27.1704426378137 B 19.4557242857 0.094
30.2331492925302 B 19.5822697645 0.102
33.1284411140324 B 19.7218422131 0.119
36.0040370727993 B 19.5613562416 0.173
42.0605148626729 B 19.649 0.332
44.8967190959764 B 19.78 0.111
47.9200340252294 B 20.138 0.179
59.6686161444453 B 20.135 0.15
-2.60970181190477 V 16.4846846217 0.015
-1.63475660670067 V 16.4099791856 0.01
-0.689355195599515 V 16.4059042728 0.018
0.275742078229775 V 16.3898725272 0.015
1.28023107752967 V 16.3458660507 0.281
3.23996941929121 V 16.4838116298 0.012
4.16567496766422 V 16.5722739553 0.025
6.12541330942576 V 16.7805862028 0.026
13.0879007849371 V 17.6005487895 0.038
16.0324322632633 V 17.8945368989 0.04
17.992170605032 V 17.9724731386 0.048
19.9420610154259 V 18.0917977983 0.266
24.7576994532262 V 18.3242732065 0.055
27.8204061079426 V 18.5303397135 0.056
30.7156979294448 V 18.6137069298 0.049
33.5912938882117 V 18.8484891913 0.153
39.6477716780854 V 19.106 0.164
42.4839759113888 V 19.126 0.079
45.5072908406419 V 19.088 0.083
49.3282882105171 V 19.207 0.227
57.2558729598578 V 19.541 0.13
61.175349643388 V 19.936 0.26
68.0689015993402 V 20.085 0.31
72.017922076959 V 20.166 0.362
75.9767904859527 V 20.227 0.191
79.8273316499165 V 20.336 0.202
-6.62765780908287 V 17.0563661684 0.012
-5.63301674115779 V 16.85184911 0.01
-2.76726871375138 V 16.505005594 0.012
20.0011486036174 V 18.0738088122 0.023
21.0351813970131 V 18.1235106912 0.022
50.4312565234648 V 19.277 0.041
51.3077224150067 V 19.285 0.034
80.8810603060404 V 20.095 0.053
87.7549163992644 V 20.141 0.058
-7.21853369101303 R 16.9720815189 0.013
-6.22389262308795 R 16.7607686007 0.01
-3.35814459568154 R 16.3994907879 0.01
19.4102727216873 R 17.687572911 0.013
20.444305515083 R 17.7741138251 0.026
49.8403806415347 R 19.177 0.053
50.7168465330766 R 19.257 0.045
80.2901844241102 R 20.536 0.155
87.1640405173342 R 21.021 0.369
-3.20057769383493 R 16.377838335 0.016
-2.22563248863082 R 16.3089786681 0.021
-1.28023107752967 R 16.2600794426 0.016
-0.315133803700383 R 16.2793903053 0.016
2.64909353736105 R 16.2871976817 0.01
3.57479908573406 R 16.3192430032 0.012
5.5345374274956 R 16.4497704151 0.017
12.497024903007 R 17.0943225419 0.041
15.4415563813331 R 17.3589257408 0.039
17.4012947231018 R 17.5048924066 0.033
24.166823571296 R 17.9090194849 0.049
27.2295302260125 R 18.024191071 0.03
30.1248220475147 R 18.1688725371 0.045
33.0004180062815 R 18.4600293541 0.087
39.0568957961552 R 18.791 0.117
41.8931000294587 R 18.884 0.12
44.9164149587117 R 18.734 0.073
48.7374123285869 R 19.273 0.318
56.6649970779276 R 19.267 0.085
60.5844737614578 R 19.702 0.162
67.47802571741 R 19.283 0.278
71.4270461950289 R 20.058 0.595
75.3859146040225 R 19.813 0.172
79.2364557679864 R 20.1 0.314
-3.29905700749712 I 16.2816333306 0.057
-2.32411180229301 I 16.2100423954 0.02
-1.37871039119186 I 16.1621997568 0.022
-0.413613117362575 I 16.1681245011 0.031
2.55061422369886 I 16.1782172677 0.015
3.47631977207187 I 16.1900371845 0.039
5.43605811383341 I 16.2197539813 0.023
12.3985455893448 I 16.552225403 0.016
15.3430770676709 I 16.8381541511 0.048
17.3028154094396 I 16.9929569032 0.03
24.0683442576338 I 17.4977939317 0.074
27.1310509123503 I 17.7418738648 0.045
30.0263427338525 I 17.7806291881 0.057
32.9019386926194 I 18.1032062505 0.184
38.958416482493 I 18.487 0.189
41.7946207157965 I 18.468 0.147
44.8179356450495 I 18.47 0.314
48.6389330149247 I 18.435 0.285
56.5665177642654 I 18.88 0.131
60.4859944477956 I 18.836 0.201
71.3285668813667 I 19.424 0.262
75.2874352903603 I 19.305 0.229
79.1379764543242 I 19.663 0.261
-7.31701300467522 I 16.8545393039 0.01
-6.32237193675014 I 16.6401144789 0.014
-3.45662390934373 I 16.2973750731 0.011
19.3117934080251 I 17.2598162896 0.022
20.3458262014208 I 17.264061764 0.032
49.7419013278725 I 18.972 0.128
50.6183672194144 I 18.896 0.077
80.191705110448 I 19.501 0.1
