Phase Band Mag Sigma
3.57489520902082 B 13.3244320023 0.011
4.52820059809255 B 13.3309693904 0.01
34.2594124197894 B 15.9897436325 0.01
35.2524388667401 B 16.0496554644 0.01
65.00351121738 B 16.6912662149 0.04
71.835533172405 B 16.8028080383 0.013
125.349728398574 B 17.509 0.039
-12.3035976777249 B 14.940425364 0.01
-11.3006409663028 B 14.5525488837 0.011
-10.3374053127595 B 14.233151312 0.01
-6.34543899602116 B 13.4876767811 0.01
-4.34945583764837 B 13.3559544271 0.01
-3.39615044857664 B 13.2687329158 0.01
0.605746132633236 B 13.2068536526 0.01
1.58884231511956 B 13.1954411109 0.01
2.5520779686556 B 13.2298489433 0.01
3.56496494454929 B 13.2637514545 0.01
5.53115730950748 B 13.3974994236 0.01
7.50727993894444 B 13.5370915777 0.01
11.4893159912113 B 13.8478712283 0.011
13.4257175627693 B 14.1000607644 0.013
14.4088137452484 B 14.1682421181 0.01
17.3978233505718 B 14.5377045461 0.01
26.3052705797201 B 15.3960308438 0.013
28.3111840025572 B 15.5808510667 0.016
31.3001936078806 B 15.7758467535 0.014
34.2494821553251 B 15.9339120013 0.014
40.2672224238436 B 16.1734911425 0.02
46.1360087253181 B 16.3643578988 0.019
56.0563429303601 B 16.5143525919 0.018
59.0056314778046 B 16.6073546061 0.026
62.0343621409997 B 16.6710850527 0.035
64.9737204239727 B 16.6590550541 0.018
67.9329392358887 B 16.7365509365 0.039
70.8921580477975 B 16.7546866403 0.021
82.8283359401481 B 16.975 0.029
95.6780981636916 B 17.148 0.049
114.505879597875 B 17.492 0.097
124.376562480559 B 17.56 0.103
-13.5945320587564 V 15.0588662887 0.032
-12.5915753473343 V 14.6678608373 0.01
-11.628339693791 V 14.3575995248 0.01
-7.63637337705264 V 13.6220359014 0.011
-5.64039021867986 V 13.4958930296 0.027
-4.68708482960812 V 13.4115131197 0.019
-0.685188248398245 V 13.2716930098 0.01
0.297907934088078 V 13.2711396465 0.01
1.26114358762412 V 13.3042317669 0.01
2.27403056351781 V 13.3270867336 0.01
4.240222928476 V 13.3715226243 0.01
6.21634555791295 V 13.4514566391 0.01
10.1983816101798 V 13.6694295337 0.01
13.1178793642169 V 13.8609664946 0.01
16.1068889695403 V 14.0293581062 0.013
21.1216725266367 V 14.2645533771 0.026
25.0143361986886 V 14.4504562452 0.012
27.0202496215257 V 14.5849555099 0.01
30.0092592268491 V 14.7618427685 0.017
32.9585477742937 V 14.9591431491 0.026
38.9762880428122 V 15.2681204335 0.026
44.8450743442866 V 15.4403785703 0.021
54.7654085493286 V 15.7267397237 0.014
57.7146970967731 V 15.789950516 0.014
60.7434277599682 V 15.9006470908 0.02
63.6827860429412 V 15.9435249024 0.019
66.6420048548572 V 16.067162599 0.028
69.601223666766 V 16.1373592066 0.039
81.5374015591166 V 16.453 0.03
94.3871637826601 V 16.738 0.019
107.286577328547 V 17.04 0.036
123.085628099527 V 17.448 0.035
2.28396082798933 V 13.325180765 0.01
3.23726621706107 V 13.3536074281 0.01
32.968478038758 V 14.9627825663 0.01
33.9615044857086 V 15.0057078945 0.01
63.7125768363485 V 15.9810882868 0.029
70.5445987913735 V 16.157032694 0.01
124.058794017542 V 17.377 0.015
2.37333320821865 R 13.4024339975 0.01
3.32663859729038 R 13.4209538545 0.01
33.0578504189873 R 14.678812041 0.01
34.0508768659379 R 14.7450349029 0.01
63.8019492165779 R 15.9212194116 0.01
70.6339711716028 R 16.1333477867 0.032
124.148166397772 R 17.617 0.031
-13.5051596785271 R 15.0112856543 0.013
-12.5022029671049 R 14.6474734635 0.01
-11.5389673135617 R 14.3280074776 0.01
-7.54700099682333 R 13.6119722165 0.01
-5.55101783845054 R 13.5228212973 0.018
-4.59771244937881 R 13.4435217579 0.01
-1.60870284405539 R 13.4340082599 0.011
-0.595815868168932 R 13.3449250305 0.018
0.387280314317392 R 13.3622209891 0.01
1.35051596785343 R 13.3682523705 0.01
2.36340294374712 R 13.4759960608 0.01
4.32959530870532 R 13.4651102026 0.01
6.30571793814227 R 13.5960229919 0.01
10.2877539904091 R 13.8822852848 0.01
12.2241555619671 R 14.0552877965 0.019
13.2072517444462 R 14.047565322 0.01
16.1962613497697 R 14.1058369874 0.011
21.211044906866 R 14.149057231 0.03
25.1037085789179 R 14.1793257888 0.015
27.109622001755 R 14.3019295647 0.013
30.0986316070784 R 14.4534364699 0.01
33.047920154523 R 14.6543047669 0.01
39.0656604230415 R 15.0264908699 0.017
44.9344467245159 R 15.2366131798 0.016
50.9521869930416 R 15.4952448851 0.042
54.8547809295579 R 15.6022242858 0.012
57.8040694770024 R 15.7146935417 0.012
60.8328001401975 R 15.7930208332 0.023
63.7721584231705 R 15.9183990831 0.015
66.7313772350865 R 15.9793835892 0.034
69.6905960469954 R 16.1704556959 0.029
70.7332738162964 R 16.1749153825 0.036
81.626773939346 R 16.549 0.026
94.4765361628894 R 16.88 0.02
107.375949708776 R 17.213 0.051
123.175000479757 R 17.636 0.169
-11.9858292146938 I 14.8517409702 0.025
-10.9828725032716 I 14.4943206012 0.02
-10.0196368497284 I 14.2174427147 0.01
-6.02767053299002 I 13.5797916944 0.014
-4.03168737461724 I 13.5298951756 0.02
-3.0783819855455 I 13.4812014777 0.011
-0.0893723802220884 I 13.5517684225 0.01
0.923514595664373 I 13.5382837794 0.01
1.9066107781507 I 13.5726169114 0.011
2.86984643168674 I 13.618235896 0.011
3.88273340758042 I 13.6657643631 0.01
5.84892577253862 I 13.7461259446 0.011
7.82504840197557 I 13.9126386201 0.01
11.8070844542424 I 14.1432523809 0.013
13.7434860258004 I 14.2255358107 0.029
14.7265822082795 I 14.2307326921 0.01
17.715591813603 I 14.198548608 0.012
22.7303753706993 I 14.1302528401 0.04
26.6230390427513 I 13.967941459 0.011
28.6289524655883 I 13.9841015262 0.01
31.6179620709118 I 14.066453584 0.022
34.5672506183563 I 14.2511494246 0.01
46.4537771883492 I 14.9704261986 0.02
52.4715174568749 I 15.325366918 0.039
56.3741113933912 I 15.4877631236 0.02
59.3233999408357 I 15.5858861171 0.018
62.3521306040308 I 15.7406306359 0.026
65.2914888870038 I 15.901107618 0.033
68.2507076989198 I 16.1273695766 0.028
71.2099265108287 I 16.0763560724 0.035
72.2526042801297 I 16.2274878993 0.065
83.1461044031793 I 16.535 0.07
95.9958666267227 I 17.044 0.075
108.895280172609 I 17.723 0.136
114.823648060906 I 17.96 0.275
124.69433094359 I 18.066 0.139
3.89266367205195 I 13.6398365845 0.01
4.84596906112369 I 13.6922457649 0.017
34.5771808828206 I 14.2799386276 0.01
35.5702073297712 I 14.3183436779 0.01
65.3212796804112 I 15.7283468568 0.06
72.1533016354361 I 16.0935377659 0.026
125.667496861605 I 17.703 0.082
