Phase Band Mag Sigma
-10.0928202710317 B 16.4128682522 0.01
-9.10121049732644 B 16.1400757444 0.01
-8.13905447926764 B 15.9060412799 0.01
-7.13762678700876 B 15.6975237038 0.011
111.413739723421 B 19.162 0.035
112.316988230173 B 19.093 0.03
-10.0830023524853 B 16.452993248 0.011
-9.09139257877285 B 16.1382603055 0.014
-8.12923656071405 B 15.9457594548 0.014
-6.17547076894996 B 15.5909438246 0.015
-5.19367891379112 B 15.4526077321 0.011
-4.18243330297866 B 15.3785227829 0.012
-3.27918479623424 B 15.3414188651 0.01
-2.2483033483146 B 15.2621503947 0.011
-1.27632941170935 B 15.203359643 0.011
2.6606559274796 B 15.2821335014 0.011
3.68171945684565 B 15.3219171728 0.01
4.59478588214365 B 15.3965488039 0.011
5.58639565584894 B 15.3762139026 0.012
6.4896441626005 B 15.4967911566 0.02
13.391640904366 B 16.1080721131 0.016
14.4225223522785 B 16.2603156601 0.019
15.3846783703373 B 16.3971129847 0.016
17.2991724878942 B 16.6510625619 0.017
19.3020278724191 B 16.9192265989 0.023
21.2557936641903 B 17.2108334598 0.02
23.2095594559544 B 17.4144997904 0.02
25.1927790033721 B 17.5757324602 0.031
28.2068799987095 B 17.801897439 0.036
31.0933480528787 B 17.9122617073 0.035
33.999451944148 B 18.0950256558 0.044
40.8229053374991 B 18.080489462 0.05
43.8370063328436 B 18.1836014437 0.042
49.7375753823431 B 18.2359796189 0.061
53.674560721532 B 18.2741426422 0.066
58.5737020787726 B 18.3487431169 0.063
68.283623526293 B 18.6590563922 0.088
74.1841925757996 B 18.532 0.056
84.9642671454468 B 18.622 0.07
88.8619808104214 B 18.821 0.121
-11.9582247958421 V 16.2434157091 0.011
-10.9666150221297 V 16.0200883263 0.014
-10.0044590040709 V 15.814618595 0.016
-8.05069321230677 V 15.5099743166 0.014
-7.06890135714793 V 15.365227468 0.012
-6.05765574633547 V 15.3131832059 0.013
-5.15440723959105 V 15.2611154023 0.012
-4.12352579167141 V 15.1554594435 0.015
-3.15155185506616 V 15.1296210222 0.013
0.785433484122785 V 15.1191382488 0.013
1.80649701348884 V 15.1667313844 0.011
2.71956343878684 V 15.2404099436 0.014
3.71117321249213 V 15.1901714073 0.013
4.61442171924369 V 15.3621169062 0.026
5.55694190019532 V 15.4272712822 0.02
11.5164184610092 V 15.5341017552 0.014
12.5472999089217 V 15.5959715459 0.014
13.5094559269805 V 15.6394209281 0.019
15.4239500445374 V 15.8258429116 0.013
17.4268054290623 V 15.9011024782 0.014
19.3805712208335 V 16.0980950481 0.017
21.3343370125976 V 16.2539377367 0.015
23.3175565600153 V 16.3451780316 0.023
26.3316575553526 V 16.6058206579 0.02
29.2181256095219 V 16.6190099188 0.025
32.1242295007912 V 16.9128806951 0.028
38.9476828941423 V 16.9619838858 0.03
41.9617838894868 V 17.0676157574 0.03
47.8623529389863 V 17.1996556319 0.037
51.7993382781752 V 17.373375156 0.06
56.6984796354158 V 17.421970317 0.058
66.4084010829362 V 17.8351639826 0.128
72.3089701324428 V 17.866 0.041
83.08904470209 V 18.093 0.044
86.9867583670646 V 18.235 0.092
-11.9680427143885 V 16.3836563656 0.01
-10.9764329406833 V 16.1283815987 0.01
-10.0142769226244 V 15.9125798491 0.01
-9.01284923036557 V 15.713159097 0.026
109.538517280064 V 18.787 0.022
110.441765786816 V 18.767 0.065
-10.5935341171647 R 16.3476573512 0.01
-9.60192434345945 R 16.1296928697 0.01
-8.63976832540065 R 15.94919846 0.01
-7.63834063314177 R 15.7930032972 0.016
110.913025877288 R 19.029 0.042
111.81627438404 R 19.073 0.061
-10.5837161986183 R 16.3380687121 0.017
-9.59210642490586 R 16.0691353642 0.015
-8.62995040684706 R 15.9366532022 0.012
-6.67618461508297 R 15.6751317355 0.017
-5.69439275992413 R 15.5340063288 0.014
-4.68314714911166 R 15.476378688 0.017
-3.77989864236725 R 15.4792265902 0.012
-2.74901719444761 R 15.3565648899 0.014
-1.77704325784236 R 15.3492224176 0.013
2.15994208134659 R 15.2825642704 0.015
3.18100561071264 R 15.340904805 0.012
4.09407203601065 R 15.3790437413 0.011
5.08568180971593 R 15.4770890694 0.012
