Phase Band Mag Sigma
-12.0096982981343 B 17.2149815423 0.017
-11.0308279370176 B 16.7591502318 0.017
-10.0465080197741 B 16.379648315 0.017
-9.01243257104615 B 16.0990176401 0.017
-8.03165043074212 B 15.8469026038 0.008
-7.09083827176141 B 15.6614023338 0.017
-6.10070418070255 B 15.4984233178 0.017
-5.10342555403251 B 15.3833219295 0.017
-4.1381741559799 B 15.2976625962 0.017
-3.15496780083625 B 15.2208982687 0.017
-2.09776376576895 B 15.1749503363 0.019
-1.18670243855134 B 15.1387952474 0.017
-0.197090637679899 B 15.1271508408 0.017
0.796531957663859 B 15.1285971846 0.017
1.77310621284853 B 15.1539068889 0.017
2.75724874852262 B 15.192834695 0.017
8.73085903151747 B 15.7112009898 0.017
9.70989691967547 B 15.8269636116 0.017
10.7140145914796 B 15.9474627625 0.017
11.6888347399902 B 16.0784476722 0.017
12.6578407146854 B 16.2141599551 0.017
13.6473046975787 B 16.3470873725 0.017
15.575373424302 B 16.6081645175 0.017
16.5523122971679 B 16.7253489251 0.017
19.5349243353524 B 17.0653115417 0.017
21.4859048487118 B 17.2427862942 0.017
22.4723040721841 B 17.3080481698 0.017
23.4572645340018 B 17.4014717793 0.017
24.4497144400559 B 17.5199637437 0.017
25.437769224886 B 17.5546900615 0.036
26.4162158411315 B 17.6038639876 0.028
28.4227857688468 B 17.7692731459 0.033
29.3800944142007 B 17.8174705851 0.017
30.3583045216798 B 17.8828692118 0.017
31.350833263987 B 17.9339379732 0.017
32.3341480189822 B 17.9737153084 0.017
50.0902997856488 B 18.4912695255 0.035
61.9212762935372 B 18.6174726662 0.038
-14.5711670617095 V 17.0155157745 0.016
-13.5922967005929 V 16.634214617 0.016
-12.6079767833494 V 16.3312548962 0.016
-11.5739013346214 V 16.0005296064 0.017
-10.5931191943174 V 15.7975620803 0.016
-9.6523070353367 V 15.6280027019 0.016
-8.66217294427785 V 15.4737759015 0.016
-7.66489431760781 V 15.3692235538 0.017
-6.69964291955519 V 15.2796382015 0.016
-5.71643656441154 V 15.2015960804 0.017
-4.65923252934425 V 15.146979532 0.017
-3.74817120212663 V 15.098124658 0.016
-2.75855940125519 V 15.0689120917 0.016
-1.76493680591144 V 15.058955301 0.016
-0.788362550726766 V 15.0538022887 0.016
0.195779984947323 V 15.0567767133 0.016
4.19887807238708 V 15.1484331669 0.019
6.16939026794218 V 15.2430766861 0.017
7.14842815610018 V 15.305120782 0.017
8.15254582790429 V 15.3659889436 0.016
9.12736597641488 V 15.4429484268 0.016
10.0963719511101 V 15.5234893343 0.016
11.0858359340035 V 15.6002512308 0.016
13.0139046607267 V 15.7253564785 0.017
13.9908435335926 V 15.797060702 0.016
16.9734555717771 V 15.9755059381 0.016
18.9244360851365 V 16.0869177829 0.016
19.9108353086088 V 16.1393076896 0.017
20.8957957704265 V 16.1953376451 0.016
21.8882456764806 V 16.2601086037 0.016
22.8763004613107 V 16.4119418069 0.034
23.8547470775562 V 16.4070772882 0.017
25.8613170052715 V 16.5650376669 0.017
26.8186256506254 V 16.6443471356 0.016
27.7968357581045 V 16.7150595889 0.016
28.7893645004117 V 16.7909159575 0.016
29.7726792554069 V 16.8469497231 0.016
47.5288310220735 V 17.4570730301 0.016
59.3598075299619 V 17.7195250521 0.025
-12.304624728362 r 17.0400208747 0.016
-11.3257543672454 r 16.6653222661 0.016
-10.3414344500019 r 16.3544432015 0.016
-7.38576470198918 r 15.6838916918 0.016
-6.39563061093033 r 15.5444805986 0.016
-5.39835198426029 r 15.4271399383 0.016
-4.43310058620767 r 15.3492994414 0.016
-3.44989423106402 r 15.2999238517 0.017
-2.39269019599673 r 15.2537262506 0.016
-1.48162886877911 r 15.2471013954 0.016
-0.492017067907674 r 15.2311988968 0.016
0.501605527436084 r 15.2201195095 0.016
1.47817978262075 r 15.2181339735 0.016
2.46232231829484 r 15.2233950681 0.016
3.45374735303018 r 15.2258008284 0.016
8.4359326012897 r 15.4722710284 0.016
9.4149704894477 r 15.5377327585 0.016
10.4190881612518 r 15.6131181435 0.016
11.3939083097624 r 15.6622523498 0.016
12.3629142844576 r 15.7024422646 0.016
13.352378267351 r 15.7313441702 0.016
15.2804469940742 r 15.7940245777 0.017
16.2573858669401 r 15.8215108354 0.016
19.2399979051246 r 15.8889459296 0.016
21.190978418484 r 15.9589991456 0.017
22.1773776419563 r 15.9992982222 0.016
23.1623381037741 r 16.0374225279 0.016
24.1547880098281 r 16.0955423457 0.016
25.1428427946582 r 16.1457829584 0.017
26.1212894109037 r 16.2108916408 0.016
28.127859338619 r 16.3626622716 0.016
29.0851679839729 r 16.4392312105 0.016
30.063378091452 r 16.511494539 0.016
31.0559068337592 r 16.5800540092 0.016
32.0392215887544 r 16.6520175829 0.016
33.0263796111806 r 16.7148497265 0.016
41.9265000823447 r 17.1343920759 0.016
49.795373355421 r 17.3909320558 0.016
61.6263498633094 r 17.7786960694 0.016
-10.0104798512124 i 17.2009644334 0.016
-9.0316094900958 i 16.8189107919 0.016
-8.04728957285228 i 16.4979997596 0.016
-5.09161982483958 i 15.9196445858 0.017
-4.10148573378072 i 15.7907090069 0.016
-3.10420710711068 i 15.6763293588 0.016
-2.13895570905806 i 15.616411226 0.017
-1.15574935391441 i 15.5693891693 0.017
-0.0985453188471197 i 15.5546299318 0.016
0.812516008370497 i 15.5742824762 0.016
1.80212780924194 i 15.6071611417 0.016
2.79575040458569 i 15.6415555288 0.016
3.77232465977036 i 15.6679777424 0.017
4.75646719544445 i 15.6896356752 0.017
5.74789223017979 i 15.7332896976 0.016
10.7300774784393 i 15.9441388072 0.016
11.7091153665973 i 15.9753976304 0.017
12.7132330384014 i 15.9709221884 0.017
13.688053186912 i 15.9725377151 0.016
14.6570591616073 i 15.9623486522 0.017
15.6465231445006 i 15.9444222554 0.016
17.5745918712238 i 15.8696869622 0.017
18.5515307440897 i 15.8488960187 0.016
21.5341427822742 i 15.8218975732 0.016
23.4851232956336 i 15.8599310168 0.017
24.4715225191059 i 15.8882942178 0.017
25.4564829809237 i 15.9121035987 0.017
26.4489328869777 i 15.9265704142 0.016
27.4369876718078 i 15.9328472117 0.017
28.4154342880533 i 16.0182440572 0.016
30.4220042157686 i 16.1555365209 0.017
31.3793128611225 i 16.2452996625 0.017
32.3575229686016 i 16.3319095054 0.017
33.3500517109088 i 16.4074859188 0.017
34.333366465904 i 16.4794591491 0.017
35.3205244883302 i 16.5543043431 0.017
44.2206449594943 i 17.032017356 0.016
52.0895182325706 i 17.4434576967 0.016
63.9204947404591 i 17.9263689169 0.027
