Phase Band Mag Sigma
-8.59532054794667 B 15.5143891634 0.006
-5.49085937349532 B 15.0727527169 0.005
-4.662112146203 B 14.9766813679 0.006
-3.6498504095627 B 14.9030425681 0.004
-2.67231855483013 B 14.846540451 0.005
-1.67029641730526 B 14.8056798445 0.005
-0.689867120667396 B 14.7801751688 0.006
0.309139312013018 B 14.7803350234 0.006
1.27824493263025 B 14.7938401124 0.006
3.28681276492514 B 14.859758438 0.006
4.24299815990411 B 14.8906824733 0.004
5.22527038727866 B 14.9456156289 0.006
6.21122847613374 B 14.9852729137 0.004
7.16194421036148 B 15.0456078649 0.005
10.1634870656551 B 15.265876597 0.004
11.1422508259614 B 15.3535796858 0.006
23.9399462156505 B 16.711502899 0.009
25.9531558681441 B 16.9159835255 0.013
26.8811848293532 B 16.9980374517 0.011
30.8301813329182 B 17.2927907043 0.01
32.794873616343 B 17.4202604913 0.014
33.8020204810424 B 17.4984608415 0.01
34.7874266762006 B 17.5608631378 0.011
35.775247406281 B 17.5883915839 0.011
37.7240826011706 B 17.7262606523 0.02
39.6998521795042 B 17.7621463689 0.012
41.6831610199489 B 17.8056144568 0.012
43.6487698411145 B 17.8841465794 0.014
46.6048208874246 B 17.9019737166 0.021
47.5915476853519 B 17.9661003087 0.022
-10.2677752638072 V 15.6491082166 0.007
-7.16331408935589 V 15.1888777232 0.007
-6.33456686206357 V 15.1141654187 0.008
-5.32230512542326 V 15.0326349215 0.007
-4.34477327069069 V 14.9631969474 0.006
-3.34275113316583 V 14.904366295 0.007
-2.36232183652796 V 14.8761552633 0.008
-1.36331540384755 V 14.8585017656 0.007
-0.394209783230317 V 14.8535693967 0.008
1.61435804906457 V 14.8767746188 0.006
2.57054344404354 V 14.8852804625 0.006
3.55281567141809 V 14.9096032426 0.007
4.53877376027317 V 14.929468291 0.006
5.48948949450092 V 14.9607053846 0.006
8.49103234979449 V 15.100618798 0.004
9.46979611010082 V 15.1562049294 0.008
22.26749149979 V 15.815447384 0.009
24.2807011522835 V 15.9446866966 0.01
25.2087301134927 V 16.0026001373 0.009
29.1577266170576 V 16.2491642687 0.01
31.1224189004825 V 16.3518081618 0.01
32.1295657651818 V 16.4218997564 0.007
33.11497196034 V 16.5012608541 0.009
34.1027926904204 V 16.5481025997 0.01
36.05162788531 V 16.6279139504 0.027
38.0273974636436 V 16.7188079114 0.011
40.0107063040883 V 16.8075383185 0.011
41.9763151252539 V 16.8695844605 0.012
44.932366171564 V 16.9759608739 0.009
45.9190929694913 V 16.9817469807 0.018
-10.0870892096722 r 15.7392286112 0.006
-6.9826280352208 r 15.3016641716 0.006
-6.15388080792848 r 15.2594395369 0.009
-5.14161907128818 r 15.1790458293 0.009
-4.16408721655561 r 15.123662223 0.006
-3.16206507903074 r 15.0903171746 0.006
-2.18163578239288 r 15.077761695 0.008
-1.18262934971246 r 15.0408823586 0.008
-0.213523729095233 r 15.0418363382 0.007
1.79504410319966 r 15.0619669597 0.005
2.75122949817863 r 15.0842194479 0.006
3.73350172555317 r 15.1080852191 0.008
4.71945981440825 r 15.1565009985 0.006
5.670175548636 r 15.206657594 0.006
6.67641573083532 r 15.2824488185 0.009
8.67171840392958 r 15.4233777162 0.006
9.65048216423591 r 15.5042524578 0.006
14.5600200808821 r 15.7738193217 0.006
22.448177553925 r 15.8538033479 0.006
24.4613872064186 r 15.9066924296 0.006
25.3894161676277 r 15.9268531981 0.006
29.3384126711927 r 16.0848253214 0.005
31.3031049546176 r 16.1951325147 0.007
32.3102518193169 r 16.2490626829 0.008
33.2956580144751 r 16.3178322161 0.007
34.2834787445555 r 16.3903128027 0.008
36.2323139394451 r 16.521413934 0.007
38.2080835177787 r 16.6375257517 0.009
40.1913923582234 r 16.7406676679 0.008
42.157001179389 r 16.8179915043 0.01
45.1130522256991 r 16.9210234205 0.009
46.0997790236264 r 16.9651911689 0.009
-6.51431666796919 i 16.0196628431 0.006
-3.40985549351784 i 15.6309032559 0.006
-2.58110826622552 i 15.5880957244 0.008
-1.56884652958522 i 15.5320437909 0.009
-0.591314674852646 i 15.5220238325 0.006
0.410707462672218 i 15.528773528 0.006
1.39113675931008 i 15.5422354737 0.009
2.3901431919905 i 15.5428861458 0.012
3.35924881260773 i 15.5832835894 0.01
5.36781664490262 i 15.6750349443 0.006
6.32400203988159 i 15.7116080769 0.007
7.30627426725614 i 15.7619511197 0.007
8.29223235611122 i 15.8008120917 0.007
9.24294809033896 i 15.8541598951 0.007
10.2491882725383 i 15.9025379172 0.01
12.2444909456325 i 16.0843622266 0.007
13.2232547059389 i 16.1486944814 0.008
18.1327926225851 i 16.2472940939 0.008
26.020950095628 i 16.0388418049 0.01
28.0341597481216 i 15.9982586868 0.007
28.9621887093307 i 15.9750938422 0.007
32.9111852128957 i 16.0160648297 0.006
34.8758774963205 i 16.1003671471 0.008
35.8830243610199 i 16.1408391028 0.008
36.868430556178 i 16.2378914797 0.008
37.8562512862585 i 16.3144637486 0.009
39.8050864811481 i 16.4666999887 0.009
41.7808560594816 i 16.5621152561 0.01
43.7641648999264 i 16.6968872086 0.01
45.729773721092 i 16.8184027575 0.011
48.685824767402 i 16.9682862494 0.015
49.6725515653293 i 17.0239207735 0.014
