Phase Band Mag Sigma
-3.49235631624226 B 17.3476641647 0.008
-2.54992706408355 B 17.2776010615 0.007
0.388991539435432 B 17.1966098965 0.007
1.30473597199796 B 17.2300773885 0.008
5.18261207819253 B 17.5052597154 0.009
6.16203442575796 B 17.6219327206 0.009
7.15538267043004 B 17.7443908118 0.012
9.06357094233354 B 17.9946149773 0.021
15.8710979286242 B 18.9170000383 0.026
16.8792862005329 B 19.0427048569 0.029
19.8117378197059 B 19.3467133373 0.018
20.7158805796043 B 19.3919767371 0.02
23.6627637848936 B 19.6508305348 0.031
24.6179325099724 B 19.7469453151 0.031
26.5793931732 B 19.8767621216 0.031
28.516113974529 B 19.9671637425 0.022
29.4661966352273 B 19.9903352308 0.025
30.4543615676436 B 20.0607573358 0.032
31.4126033258841 B 20.131120816 0.04
32.3533404648466 B 20.1422494647 0.053
33.3157736069283 B 20.1155643474 0.049
34.2502577069002 B 20.0863342978 0.072
35.2564815715278 B 20.0022261182 0.097
36.2743849071325 B 20.1265925211 0.216
37.2530778955622 B 20.195590458 0.161
41.0848487795462 B 20.1894879234 0.107
42.989847320822 B 20.3375515903 0.059
45.9309540017551 B 20.4371379851 0.031
48.8554896431025 B 20.4884816727 0.025
49.8489643100323 B 20.546 0.05
50.8055236798613 B 20.587 0.03
51.7742098609407 B 20.559 0.029
52.7635320431823 B 20.61 0.031
53.7206554507505 B 20.668 0.047
54.6873091510275 B 20.557 0.052
57.604356705246 B 20.675 0.027
58.6009141301222 B 20.732 0.029
59.5345035495548 B 20.705 0.038
60.5051152387482 B 20.688 0.047
61.5414567733233 B 20.699 0.049
63.4656423222817 B 20.615 0.202
68.2687153554488 B 20.755 0.153
69.2299328989616 B 21.024 0.201
71.14266264709 B 20.847 0.067
74.1596032286376 B 21.049 0.081
85.7239521540435 B 21.204 0.045
86.698346785965 B 21.155 0.043
87.6675970047694 B 21.146 0.063
96.413128464458 B 21.411 0.317
-5.96406690653944 V 17.1839383943 0.093
-5.02163765438073 V 17.1516226922 0.008
-2.08271905086175 V 17.0014438824 0.009
-1.16697461829922 V 16.9759396965 0.009
2.71090148789535 V 17.0261985775 0.01
3.69032383546078 V 17.0685476973 0.009
4.68367208013285 V 17.1252918172 0.011
6.59186035203636 V 17.2667487681 0.015
13.3993873383271 V 17.8151075918 0.013
14.4075756102357 V 17.8681751077 0.014
17.3400272294087 V 18.1047819618 0.014
18.2441699893071 V 18.1560349195 0.015
21.1910531945964 V 18.4146428812 0.036
22.1462219196752 V 18.4412952095 0.027
24.1076825829029 V 18.5981141142 0.022
25.0335018963369 V 18.6883610184 0.037
26.0444033842318 V 18.7421570101 0.019
26.9944860449302 V 18.7973725856 0.021
27.9826509773464 V 18.8214749123 0.026
28.9408927355869 V 18.9591832401 0.029
29.8816298745494 V 18.9885482836 0.031
30.8440630166312 V 18.9963351221 0.027
31.7785471166031 V 19.0148217044 0.041
32.7847709812306 V 19.0112453347 0.095
33.8026743168353 V 19.0935434252 0.131
34.7813673052651 V 19.1879339039 0.08
38.613138189249 V 19.2248331439 0.045
40.5181367305248 V 19.3110190741 0.032
43.459243411458 V 19.4809491366 0.017
46.3837790528053 V 19.5571948338 0.016
47.3772537197351 V 19.644 0.023
48.3338130895641 V 19.701 0.016
49.3024992706435 V 19.72 0.021
50.2918214528851 V 19.772 0.019
51.2489448604533 V 19.743 0.022
52.2155985607303 V 19.762 0.024
55.1326461149488 V 19.886 0.017
56.129203539825 V 19.917 0.018
57.0627929592576 V 19.969 0.027
58.033404648451 V 19.942 0.027
59.0697461830261 V 19.929 0.029
59.9826509773447 V 20.058 0.055
60.9939317319845 V 19.996 0.115
63.8619469026577 V 20.263 0.173
64.8175337936415 V 20.222 0.13
65.7970047651516 V 20.237 0.082
66.7582223086644 V 20.039 0.064
67.6851988719239 V 20.102 0.18
68.6709520567928 V 20.242 0.038
71.6878926383405 V 20.249 0.044
83.2522415637464 V 20.501 0.03
84.2266361956678 V 20.602 0.033
85.1958864144722 V 20.604 0.051
93.9414178741608 V 20.75 0.158
99.7391617232361 V 20.933 0.057
-4.11635709423352 r 17.2360545671 0.009
-3.17392784207481 r 17.173284714 0.007
-0.235009238555829 r 17.1019742981 0.007
0.6807351940067 r 17.0948585838 0.007
4.55861130020127 r 17.163561456 0.008
5.5380336477667 r 17.2300516128 0.009
6.53138189243877 r 17.3123058389 0.01
8.43957016434228 r 17.427785845 0.012
15.247097150633 r 17.7061400724 0.009
16.2552854225417 r 17.7471002428 0.009
19.1877370417146 r 17.8747540624 0.01
20.091879801613 r 17.8913370619 0.011
23.0387630069023 r 18.2040141251 0.023
25.9553923952088 r 18.4652690748 0.021
26.8812117086429 r 18.5606032598 0.025
