Phase Band Mag Sigma
-7.83655860698127 B 14.7832629805 0.006
-5.84358619395256 B 14.5057711392 0.006
-3.8666296415236 B 14.3058568331 0.006
-2.87691097957016 B 14.2469654296 0.006
-1.8837390837405 B 14.2077670256 0.006
-0.893077728627608 B 14.1815045108 0.006
0.099687320680672 B 14.2081495308 0.007
1.09206536964605 B 14.2078214505 0.016
2.07818195142089 B 14.2241555291 0.011
3.07120500096981 B 14.2650878596 0.011
4.05941535386525 B 14.2914445827 0.013
5.05435355898633 B 14.389754621 0.014
6.04632476142311 B 14.4517108227 0.021
7.03307642069949 B 14.539324759 0.028
8.01925254099529 B 14.6117810314 0.021
9.01885459647467 B 14.7430418982 0.019
12.9842387886015 B 15.1531659058 0.04
13.9693134463607 B 15.2490168421 0.032
14.9641821898788 B 15.4334355235 0.034
16.9520541367746 B 15.5907214724 0.034
-10.3178559989361 V 14.6903451089 0.006
-8.32488358590742 V 14.3978923916 0.006
-6.34792703347846 V 14.2096977842 0.006
-5.35820837152501 V 14.1451771788 0.006
-4.36503647569536 V 14.0967375502 0.007
-3.37437512058247 V 14.0608071993 0.006
-2.38161007127419 V 14.0601321745 0.006
-1.38923202230881 V 14.0242263264 0.011
-0.403115440533964 V 14.0716857259 0.011
0.589907609014953 V 14.052757869 0.009
1.57811796191039 V 14.0523578558 0.011
2.57305616703147 V 14.055998979 0.01
4.55177902874463 V 14.1247263453 0.016
5.53795514904043 V 14.1268040598 0.013
6.53755720451981 V 14.2305665758 0.018
7.52251278524428 V 14.2976473075 0.023
10.5029413966466 V 14.4505470065 0.017
11.4880160544058 V 14.5467555747 0.016
12.4828847979239 V 14.6108925349 0.014
14.4707567448197 V 14.7011415436 0.013
-8.02935424241215 r 14.6743600948 0.005
-6.03638182938344 r 14.4011704806 0.006
-4.05942527695448 r 14.2525345118 0.008
-3.06970661500104 r 14.1954298989 0.006
-2.07653471917139 r 14.1560782789 0.011
-1.08587336405849 r 14.1554203783 0.007
-0.093108314750209 r 14.1450851436 0.006
0.899269734215167 r 14.1324398965 0.009
1.88538631599001 r 14.1173088852 0.007
2.87840936553893 r 14.1640845146 0.006
3.86661971843437 r 14.1656687196 0.004
4.86155792355544 r 14.2147124261 0.008
6.8402807852686 r 14.2911241937 0.011
7.82645690556441 r 14.4122845395 0.035
8.82605896104379 r 14.4156882251 0.043
9.81101454176826 r 14.5639365299 0.018
12.7914431531706 r 14.7318744476 0.014
13.7765178109298 r 14.7193858521 0.019
14.7713865544479 r 14.818792592 0.014
16.7592585013437 r 14.7927196076 0.009
-5.75435780577117 i 14.9008069227 0.006
-3.76138539274246 i 14.6643083661 0.006
-1.7844288403135 i 14.5205653998 0.013
-0.794710178360058 i 14.5201060651 0.006
0.198461717469593 i 14.4914769207 0.009
1.18912307258249 i 14.5083897006 0.006
2.18188812189077 i 14.5701864584 0.008
3.17426617085615 i 14.5869111615 0.011
4.16038275263099 i 14.6276921418 0.01
5.15340580217991 i 14.6544826178 0.011
6.14161615507535 i 14.6930265897 0.012
7.13655436019642 i 14.7624012497 0.012
9.11527722190958 i 14.824996102 0.012
10.1014533422054 i 14.8166986122 0.045
12.0860109784092 i 15.0063519061 0.041
15.0664395898116 i 15.0869263058 0.017
16.0515142475708 i 15.1027191797 0.029
17.0463829910889 i 15.0571881795 0.024
19.0342549379847 i 14.9649700942 0.014
