Phase Band Mag Sigma
-5.47581441861232 B 19.2432021024 0.016
-4.47804443608619 B 19.0384485817 0.017
-3.47766989580418 B 18.8602045078 0.017
-2.51433470305863 B 18.7267889763 0.025
-1.53350897827627 B 18.6683740399 0.02
-0.600355439810578 B 18.6272380244 0.022
1.36568571382989 B 18.6154302405 0.035
2.36585540124935 B 18.6721622148 0.037
7.19034503823053 B 19.4114880165 0.028
8.17456546750098 B 19.6150665409 0.018
9.11765924698466 B 19.7671349651 0.017
29.5955800065594 B 21.0715607235 0.175
-8.03676777898529 V 18.8153247381 0.015
-7.03899779645916 V 18.5524903548 0.013
-6.03862325617715 V 18.3271389473 0.016
-5.0752880634316 V 18.1769957768 0.019
-4.09446233864925 V 18.0189565628 0.014
-3.16130880018355 V 17.9120945451 0.015
-1.19526764654309 V 17.7383940612 0.015
-0.195097959123625 V 17.6603213867 0.017
4.62939167785756 V 17.9034203493 0.011
5.613612107128 V 18.0432748365 0.011
6.55670588661168 V 18.1525725579 0.013
27.0346266461864 V 19.7142897496 0.057
-8.32941471766718 r 18.8238700258 0.011
-7.33164473514105 r 18.5814112616 0.012
-6.33127019485904 r 18.3559577198 0.011
-5.36793500211349 r 18.205628619 0.023
-4.38710927733114 r 18.0202457241 0.01
-3.45395573886544 r 17.9400524819 0.01
-1.48791458522498 r 17.7797377705 0.009
-0.487744897805515 r 17.7000409683 0.026
4.33674473917567 r 17.8418257075 0.007
5.32096516844611 r 17.9314097067 0.01
6.26405894792979 r 18.013958469 0.012
26.7419797075045 r 19.5173334496 0.03
-12.0808655794862 i 18.8116802903 0.028
-11.08309559696 i 18.6119684491 0.014
-10.082721056678 i 18.3895830214 0.014
-9.11938586393248 i 18.2352295519 0.028
-8.13856013915012 i 18.0731620757 0.014
-7.20540660068443 i 17.9302416962 0.012
-5.23936544704396 i 17.7904677518 0.012
-4.2391957596245 i 17.7291738952 0.023
0.585293877356681 i 17.6975186382 0.009
1.56951430662713 i 17.7172295391 0.012
2.51260808611081 i 17.7285082275 0.014
22.9905288456855 i 19.4553724703 0.037
