Phase Band Mag Sigma
-10.0789947519202 B 14.162167813 0.01
-9.12571051922663 B 13.9637890195 0.01
24.6463694327955 B 15.4391073503 0.01
-13.0778680672757 B 15.2621289094 0.011
-11.9855632173075 B 14.7954672192 0.01
-10.9925588082507 B 14.4565889764 0.01
-10.0194144873791 B 14.1964489721 0.01
-7.04040126020889 B 13.6608198513 0.01
-6.05732689524473 B 13.552631788 0.01
-3.08824371215985 B 13.3503071318 0.01
-2.06544917083255 B 13.3415735271 0.01
-1.09230484996098 B 13.3114545887 0.01
-0.109230484989596 B 13.333378277 0.01
0.883773924067155 B 13.3183105379 0.01
1.87677833312391 B 13.3489457717 0.01
7.72557430246759 B 13.7656053164 0.01
8.81787915242857 B 13.8734510466 0.01
9.78109342921477 B 13.9404430367 0.01
10.7939579264495 B 14.049835188 0.01
11.7174520268725 B 14.1160244193 0.01
12.7898967886556 B 14.2356363113 0.01
13.7431810213492 B 14.3336685181 0.01
14.7461154744985 B 14.462343929 0.01
15.7291898394627 B 14.5585836116 0.01
16.6626139839783 B 14.6629647016 0.01
18.6585528461844 B 14.8696881262 0.01
20.6743517965685 B 15.0916400375 0.01
22.6305704824114 B 15.2767813015 0.011
24.5867891682472 B 15.4355498272 0.01
26.5926580745459 B 15.6071168197 0.01
28.5786668926594 B 15.7845840775 0.01
30.5448156225877 B 15.9033873151 0.01
35.4999076237861 B 16.1702070184 0.025
37.4958464859849 B 16.3097957902 0.035
39.4818553040984 B 16.3512115146 0.02
41.4877242103971 B 16.4138714048 0.016
43.4439428962401 B 16.4171022411 0.017
45.4299517143536 B 16.4608548361 0.026
47.4159605324671 B 16.5230351269 0.025
49.4019693505806 B 16.539352927 0.021
51.3780481246015 B 16.5681217396 0.017
53.3739869868076 B 16.6027552779 0.027
55.3500657608285 B 16.6527304127 0.025
57.336074578942 B 16.7023842805 0.025
61.308092215169 B 16.7433464406 0.063
64.2771753982467 B 16.7585479169 0.056
67.2462585813315 B 16.7933743003 0.041
70.2252718085018 B 16.9252399975 0.019
73.204285035672 B 16.885 0.039
76.1832982628423 B 16.857 0.027
79.15238144592 B 16.927 0.038
82.1313946730902 B 16.913 0.034
83.124399082147 B 17.104 0.042
86.1034123093172 B 17.137 0.028
89.0724954923949 B 17.04 0.078
-14.0609424322471 V 15.0352059073 0.01
-12.9686375822789 V 14.6868880876 0.01
-11.9756331732221 V 14.4058831517 0.01
-11.0024888523505 V 14.1636848299 0.01
-8.02347562518028 V 13.6852062759 0.01
-7.04040126021612 V 13.5745099974 0.01
-4.07131807713123 V 13.382594251 0.01
-3.04852353580394 V 13.3361677518 0.01
-2.07537921493237 V 13.3063630931 0.01
-1.09230484996098 V 13.2876991997 0.01
0.893703968152521 V 13.2943754061 0.01
1.87677833311668 V 13.3081077359 0.01
6.7424999374962 V 13.4805524633 0.01
7.83480478745719 V 13.5404762304 0.01
8.79801906424339 V 13.6002632408 0.01
9.8108835614781 V 13.6314555508 0.01
10.7343776619012 V 13.6930194088 0.01
11.8068224236842 V 13.7628232989 0.01
12.7601066563778 V 13.7999739212 0.01
13.7630411095271 V 13.8649078255 0.01
14.7461154744913 V 13.9157138435 0.01
15.679539619007 V 13.9593813414 0.01
17.6754784812131 V 14.0604128116 0.01
19.6912774315971 V 14.1745513024 0.01
21.6474961174401 V 14.259172396 0.01
23.6037148032758 V 14.3760425795 0.01
25.6095837095745 V 14.4814803628 0.01
27.595592527688 V 14.592610299 0.01
29.5617412576163 V 14.7057669053 0.01
34.5168332588147 V 15.0624988366 0.01
36.5127721210135 V 15.1131251726 0.015
38.498780939127 V 15.222286732 0.01
40.5046498454257 V 15.3105192134 0.01
42.4608685312687 V 15.3444250978 0.01
44.4468773493822 V 15.4054444249 0.01
46.4328861674957 V 15.4444852874 0.012
48.4188949856092 V 15.5371410194 0.013
50.3949737596301 V 15.5914912689 0.012
52.3909126218362 V 15.6512291808 0.012
54.3669913958571 V 15.6780537304 0.011
56.3530002139706 V 15.7149981901 0.013
60.3250178501976 V 15.8505917362 0.052
63.2941010332753 V 15.9097451834 0.01
66.2631842163602 V 16.0097985477 0.023
69.2421974435304 V 16.0830143745 0.02
72.2212106707007 V 16.197 0.019
75.2002238978709 V 16.234 0.019
78.1693070809486 V 16.322 0.028
81.1483203081188 V 16.418 0.025
82.1413247171756 V 16.416 0.029
85.1203379443458 V 16.454 0.029
88.0894211274235 V 16.583 0.028
-11.0620691168916 V 14.2105226275 0.01
-10.108784884198 V 14.0565802116 0.01
23.6632950678241 V 14.423540563 0.01
-10.9627686759874 R 14.1462611194 0.01
-10.0094844432938 R 13.9899373723 0.01
23.7625955087283 R 14.2154627221 0.01
-13.9616419913428 R 15.0488050275 0.01
-12.8693371413746 R 14.6293231955 0.01
-11.8763327323179 R 14.3595104655 0.01
-10.9031884114463 R 14.1160682844 0.01
-7.92417518427605 R 13.6016520238 0.01
-6.94110081931189 R 13.5154408636 0.01
-3.972017636227 R 13.3904819005 0.01
-2.94922309489971 R 13.3869816949 0.01
-1.97607877402814 R 13.3377909869 0.01
-0.993004409056751 R 13.3425696172 0.01
0 R 13.3005476642 0.01
0.993004409056751 R 13.3249518194 0.01
1.97607877402091 R 13.3627682486 0.01
6.84180037840043 R 13.6144016268 0.011
7.93410522836142 R 13.6739433982 0.01
8.89731950514762 R 13.751448602 0.01
9.91018400238233 R 13.815077885 0.01
10.8336781028054 R 13.8796842986 0.01
11.9061228645884 R 13.9106912193 0.01
12.859407097282 R 13.9412509521 0.01
13.8623415504314 R 13.9928336377 0.01
14.8454159153955 R 14.0217112861 0.01
15.7788400599112 R 14.0270126571 0.01
17.7747789221173 R 14.0609420361 0.01
19.7905778725013 R 14.1144879925 0.01
21.7467965583443 R 14.1277353547 0.01
23.70301524418 R 14.1632146249 0.01
25.7088841504787 R 14.2363690155 0.01
27.6948929685922 R 14.3167695365 0.01
29.6610416985205 R 14.4290972636 0.01
34.6161336997189 R 14.7966948177 0.01
36.6120725619178 R 14.8740787979 0.01
38.5980813800313 R 15.0071513745 0.01
40.60395028633 R 15.0841390388 0.01
42.5601689721729 R 15.1669122367 0.01
44.5461777902864 R 15.2311827652 0.01
46.5321866083999 R 15.2887480355 0.01
48.5181954265134 R 15.368128489 0.01
50.4942742005343 R 15.4475761759 0.011
52.4902130627404 R 15.5203131819 0.01
54.4662918367613 R 15.5809321972 0.017
56.4523006548748 R 15.6290128384 0.013
60.4243182911018 R 15.7146883612 0.053
63.3934014741795 R 15.8418520223 0.017
66.3624846572644 R 15.9569637391 0.015
69.3414978844346 R 16.0401699602 0.015
72.3205111116049 R 16.104 0.021
75.2995243387751 R 16.184 0.02
78.2686075218528 R 16.265 0.027
81.2476207490231 R 16.399 0.022
82.2406251580798 R 16.376 0.023
85.2196383852501 R 16.521 0.031
88.1887215683277 R 16.531 0.031
-13.9914321236134 I 15.2125970541 0.01
-12.8991272736452 I 14.8097662711 0.011
-11.9061228645884 I 14.5153524515 0.01
-10.9329785437168 I 14.2681445522 0.01
-7.9539653165466 I 13.7717916501 0.01
-6.97089095158244 I 13.6979232927 0.01
-4.00180776849755 I 13.6160913534 0.01
-2.97901322717025 I 13.6149587266 0.01
-2.00586890629868 I 13.6278774698 0.01
-1.0227945413273 I 13.6472031382 0.01
0.963214276786204 I 13.7087442063 0.01
1.94628864175036 I 13.7635398976 0.011
6.81201024612989 I 14.0024804756 0.016
7.90431509609087 I 14.039033385 0.01
8.86752937287707 I 14.1120374058 0.01
9.88039387011178 I 14.1378349479 0.01
10.8038879705348 I 14.1886061471 0.01
11.8763327323179 I 14.2013718821 0.01
12.8296169650115 I 14.2001083176 0.01
13.8325514181608 I 14.2057015684 0.01
14.815625783125 I 14.1946993299 0.01
15.7490499276406 I 14.1728831716 0.01
17.7449887898467 I 14.1306907334 0.01
19.7607877402308 I 14.1148385589 0.01
21.7170064260737 I 14.0685698382 0.01
23.6732251119095 I 14.0508633188 0.01
25.6790940182082 I 14.0325429737 0.01
27.6651028363217 I 14.0459952511 0.01
29.63125156625 I 14.1222320304 0.01
34.5863435674484 I 14.464013454 0.01
36.5822824296472 I 14.4790369702 0.036
38.5682912477607 I 14.7242890832 0.01
40.5741601540594 I 14.8262287081 0.01
42.5303788399024 I 14.9507673026 0.01
44.5163876580159 I 15.0241060528 0.01
46.5023964761294 I 15.128778089 0.01
48.4884052942429 I 15.2215517446 0.014
50.4644840682638 I 15.3227349753 0.01
52.4604229304699 I 15.4315190647 0.013
54.4365017044908 I 15.5091506317 0.017
56.4225105226043 I 15.5867159998 0.017
63.363611341909 I 15.8482698895 0.024
66.3326945249938 I 16.0425713505 0.038
69.3117077521641 I 16.1496153628 0.024
72.2907209793343 I 16.277 0.037
75.2697342065046 I 16.326 0.028
78.2388173895823 I 16.353 0.043
81.2178306167525 I 16.545 0.037
82.2108350258093 I 16.635 0.045
85.1898482529795 I 16.809 0.062
88.1589314360572 I 16.832 0.048
-10.0392745755643 I 14.0550621095 0.01
23.7328053764578 I 14.1550182462 0.01
