Phase Band Mag Sigma
-9.45316240206394 B 16.7940341203 0.009
-8.49860500252447 B 16.6111928454 0.029
-8.43278027400116 B 16.5643140704 0.01
-6.42927716299517 B 16.217135915 0.006
-5.50891699479058 B 16.1323541279 0.006
-4.46155265817953 B 16.0296013382 0.009
-3.58517447825722 B 15.9711716745 0.007
-3.56787819073015 B 15.958165308 0.008
-2.62419274334809 B 15.9148187089 0.01
-2.47554350656024 B 15.9147785875 0.007
-1.59778162362771 B 15.9035289022 0.017
-1.58137485946539 B 15.8775082903 0.016
3.45263549783866 B 15.9871589869 0.016
4.35935630788698 B 16.0402713163 0.011
6.41632965632244 B 16.2490637245 0.016
7.38373572660123 B 16.3665995217 0.018
8.39146685579152 B 16.5038924519 0.018
9.3606519727854 B 16.6769827102 0.018
10.3171860908996 B 16.765993752 0.011
11.299022206766 B 16.9135702901 0.014
12.2398414122158 B 17.0520940751 0.017
16.1698544457612 B 17.773963256 0.026
20.0702167006857 B 17.9530746414 0.02
22.1678116158328 B 18.0957316499 0.023
24.1069725372448 B 18.2362468388 0.026
42.8257067486691 B 18.7717679474 0.073
43.8606177582529 B 18.7206278817 0.037
45.8234993025616 B 18.6579956563 0.054
66.5409925004111 B 19.0897549183 0.051
72.5022815409277 B 19.1807193682 0.067
-13.8872386720569 V 16.8286298427 0.009
-12.9325824365912 V 16.6027801777 0.015
-12.8688332625689 V 16.599224172 0.009
-11.8571486962291 V 16.4005987977 0.011
-10.8673068701304 V 16.2421105494 0.011
-9.9450688192845 V 16.1433005201 0.006
-8.89968120124818 V 16.0260356096 0.009
-8.02320418539246 V 15.9518976226 0.007
-8.0060067337988 V 15.9397797069 0.015
-7.06034456784201 V 15.9022956973 0.013
-6.91159649512795 V 15.8660439651 0.008
-6.03591016669636 V 15.8095643353 0.011
-6.01940456660063 V 15.7955481839 0.009
-0.985394209296584 V 15.6806208017 0.012
-0.0766966806807201 V 15.6793543913 0.007
0.988359287162271 V 15.6633531441 0.01
1.97820111325379 V 15.6919969425 0.009
2.9457060194588 V 15.7369764621 0.009
3.95343714864908 V 15.7805267461 0.007
4.92252342970956 V 15.8355364503 0.007
5.87905754783095 V 15.8664541442 0.007
6.86099249962356 V 15.929990693 0.008
7.80368958772185 V 16.0089558013 0.011
11.7357781757682 V 16.3624433376 0.007
15.6362392666261 V 16.6449469273 0.01
17.7338341817661 V 16.7555317431 0.011
19.6728962672518 V 16.8447418575 0.009
34.5805170673787 V 17.391567642 0.03
38.3917293146024 V 17.4790658827 0.018
39.42654148826 V 17.4597457579 0.018
41.3895218684948 V 17.4766036261 0.022
55.2055986718831 V 17.6999184613 0.04
62.1070150663444 V 17.8587953721 0.023
68.0682052709348 V 18.0405724079 0.03
73.9700939182977 V 18.1812344938 0.029
-16.1354595425739 r' 16.9115949797 0.011
-15.1809021430344 r' 16.6853919964 0.025
-15.1164611175069 r' 16.6588511391 0.013
-14.1110032146772 r' 16.445809511 0.013
-13.1212602245119 r' 16.3284173311 0.011
-12.1925978382963 r' 16.2215282008 0.007
-11.1535357197035 r' 16.1136366743 0.012
-10.2770587038477 r' 16.0451343968 0.01
-10.2598612522541 r' 16.0513173919 0.01
-9.30787358685385 r' 15.9984337253 0.01
-9.159224350066 r' 15.9823555772 0.009
-8.28976468515164 r' 15.9357475524 0.018
-8.2732590850559 r' 15.9318168692 0.009
-3.23934756367808 r' 15.8169572461 0.012
-2.32422569969256 r' 15.7681133263 0.01
-1.26549523128582 r' 15.7741646326 0.008
-0.275653405194298 r' 15.7663491702 0.008
0.691851501010713 r' 15.7570156303 0.009
1.69948379426759 r' 15.7804675758 0.006
2.66866891126147 r' 15.8076664131 0.007
3.62520302937567 r' 15.8327345445 0.007
4.60703914524206 r' 15.8650033957 0.011
5.55616056870283 r' 15.9195947487 0.01
9.48755730525125 r' 16.143574968 0.006
13.3879195601829 r' 16.3538511078 0.008
15.4855144753229 r' 16.4531456156 0.011
17.4246753967348 r' 16.5457713228 0.01
32.3321973609355 r' 17.1002577327 0.018
36.1435084440926 r' 17.2773185303 0.016
37.1783206177502 r' 17.2616325031 0.016
39.1413009979779 r' 17.3310161602 0.014
52.9573778013662 r' 17.6420096761 0.026
59.8586953599012 r' 17.8520247862 0.019
65.819984400425 r' 18.0544042645 0.026
71.721873047788 r' 18.1426540771 0.025
-21.5715344578926 i' 17.1570946388 0.014
-20.6169770583531 i' 17.0301530427 0.041
-20.5517453454015 i' 16.9197987958 0.015
-19.5470781300031 i' 16.6823619502 0.016
-18.5572363039044 i' 16.561930326 0.011
-17.6279809021171 i' 16.4659540901 0.006
-16.5896106350222 i' 16.3390219347 0.012
-15.7131336191664 i' 16.2667983142 0.009
-15.6959361675728 i' 16.255586315 0.017
-14.7432566506746 i' 16.1929432453 0.013
-14.5945085779606 i' 16.1869231382 0.011
-13.7258396004704 i' 16.1276248202 0.012
-13.7093340003746 i' 16.1335168418 0.011
-7.75960876351335 i' 15.8888540175 0.01
-6.70157014661172 i' 15.8778941391 0.009
-5.7117283205202 i' 15.8591158387 0.011
-4.74422341431519 i' 15.8414570728 0.009
-3.7364922851249 i' 15.8123166725 0.006
-2.76740600405723 i' 15.7958149631 0.008
-1.81087188594304 i' 15.8022061775 0.009
-0.828936934150429 i' 15.8019984065 0.011
0.120777504882036 i' 15.8096260206 0.01
4.05148238993254 i' 15.8477714201 0.008
7.95184464485703 i' 15.9972767861 0.009
10.0494395600042 i' 16.1013982286 0.012
11.9886004814161 i' 16.1827431356 0.009
26.8961224456096 i' 16.8532455352 0.016
30.7074335287667 i' 16.9158908028 0.026
31.7422457024243 i' 17.0198573528 0.014
33.7051272467329 i' 17.0523199478 0.016
47.5213028860403 i' 17.5127608826 0.03
54.4227192805087 i' 17.715927618 0.022
60.3839094850991 i' 17.9281220644 0.024
66.285798132462 i' 18.0229738739 0.025
