Phase Band Mag Sigma
-2.60121695163646 B 18.5311661184 0.023
-1.67379502491473 B 18.49538703 0.016
-0.711465173057723 B 18.4974731753 0.017
2.06300816138099 B 18.5139252431 0.031
4.85369870984871 B 18.6221889619 0.043
8.61766386985492 B 18.8415101919 0.02
9.52870120305614 B 18.8986050098 0.018
12.2751570685575 B 19.1335358114 0.022
16.9490529972805 B 19.5557698055 0.026
20.6990512676909 B 19.9357994952 0.032
34.5779550393706 B 20.8904735725 0.112
40.1889437105141 B 21.3437195149 0.077
-4.10629343804587 V 18.5396115181 0.023
-3.17887151132414 V 18.4590978428 0.023
-2.21654165946713 V 18.4772624215 0.019
0.557931674971577 V 18.4070254784 0.027
3.3486222234393 V 18.454791594 0.03
7.11258738344551 V 18.6401593812 0.016
8.02362471664673 V 18.7187770839 0.016
10.7700805821481 V 18.7995248401 0.017
15.4439765108711 V 19.1336154668 0.019
19.1939747812815 V 19.2511634959 0.018
33.0728785529611 V 20.2203040671 0.043
38.6838672241047 V 20.3794828504 0.04
47.9259682245858 V 20.7322855644 0.063
49.7669195793283 V 20.664173468 0.061
-5.12916817549489 r 18.6477272137 0.021
-4.20174624877316 r 18.608290844 0.014
-3.23941639691615 r 18.5888961499 0.014
-0.464943062477442 r 18.5093839071 0.021
2.32574748599028 r 18.5809368872 0.019
6.08971264599649 r 18.7018714184 0.015
7.00074997919771 r 18.8299378392 0.02
9.74720584469905 r 18.9238280142 0.016
14.4211017734221 r 19.224771549 0.02
18.1711000438325 r 19.3109145831 0.017
-3.6565354159876 i 18.9807745549 0.055
-2.72911348926587 i 18.895944349 0.02
-1.76678363740887 i 18.8272418019 0.025
3.79838024549757 i 18.9142022641 0.029
7.56234540550378 i 19.1304109085 0.032
8.473382738705 i 19.1857390889 0.027
11.2198386042063 i 19.438111865 0.041
15.8937345329293 i 19.5958402292 0.041
19.6437328033397 i 19.528726089 0.037
33.5226365750194 i 20.0795527673 0.034
39.1336252461629 i 20.3497347905 0.047
48.3757262466441 i 20.6738201473 0.054
